family,lang,style,k,n,accuracy,style_only,judge_ok,unscorable,ci_lo,ci_hi,label
py_fstring,Python,nat,0,50,0.18,0.18,0.84,0.62,0.0977008273245379,0.3079631945470261,f-strings
py_fstring,Python,nat,4,50,0.72,0.72,1.0,0.26,0.5833461285401034,0.8252598564231963,f-strings
py_fstring,Python,alt,0,50,0.2,0.2,1.0,0.62,0.11243629945973886,0.3303737210448524,str.format
py_fstring,Python,alt,4,50,0.86,0.86,1.0,0.14,0.738135428014719,0.9304925473797714,str.format
js_template,JavaScript,nat,0,49,0.08163265306122448,0.08163265306122448,0.8775510204081632,0.6938775510204082,0.032202296241712225,0.19189387041486136,template literals
js_template,JavaScript,nat,4,49,0.8571428571428571,0.9183673469387755,0.9387755102040817,0.061224489795918366,0.7333202681083708,0.9290366627945541,template literals
js_template,JavaScript,alt,0,49,0.1836734693877551,0.20408163265306123,0.8775510204081632,0.6530612244897959,0.09976228838458358,0.31357871567282575,string concatenation
js_template,JavaScript,alt,4,49,0.8367346938775511,0.8367346938775511,1.0,0.12244897959183673,0.7096339333048477,0.9148740301179102,string concatenation
num_separators,Python,nat,0,35,0.2857142857142857,0.2857142857142857,0.8285714285714286,0.7142857142857143,0.16326363398295565,0.45055248069821086,plain numeric literals
num_separators,Python,nat,4,35,0.7142857142857143,0.8,0.8857142857142857,0.17142857142857143,0.5494475193017891,0.8367363660170444,plain numeric literals
num_separators,Python,alt,0,35,0.0,0.0,0.8571428571428571,0.7428571428571429,0.0,0.09890426758938868,underscore digit separators
num_separators,Python,alt,4,35,0.6571428571428571,0.6857142857142857,0.9714285714285714,0.11428571428571428,0.4915164687273671,0.7916850471731106,underscore digit separators
hex_constants,JavaScript,nat,0,43,0.23255813953488372,0.27906976744186046,0.9302325581395349,0.6976744186046512,0.1315353846924483,0.37744808299439414,decimal constants
hex_constants,JavaScript,nat,4,43,0.6046511627906976,0.627906976744186,0.9534883720930233,0.37209302325581395,0.4557879659331908,0.7363489380154359,decimal constants
hex_constants,JavaScript,alt,0,43,0.0,0.0,0.9534883720930233,0.6744186046511628,0.0,0.08201257002322722,hexadecimal constants
hex_constants,JavaScript,alt,4,43,0.7441860465116279,0.8372093023255814,0.9069767441860465,0.09302325581395349,0.5976131013174515,0.8507063412293445,hexadecimal constants
float_literals,Python,nat,0,38,0.42105263157894735,0.4473684210526316,0.868421052631579,0.5263157894736842,0.2785227481181953,0.5780792938687267,full float literals
float_literals,Python,nat,4,38,0.47368421052631576,0.5526315789473685,0.8947368421052632,0.18421052631578946,0.3247877880894159,0.6274128925728913,full float literals
float_literals,Python,alt,0,38,0.0,0.0,0.7631578947368421,0.42105263157894735,0.0,0.09181293258383999,abbreviated float literals
float_literals,Python,alt,4,38,0.631578947368421,0.6578947368421053,0.868421052631579,0.23684210526315788,0.47283672824260115,0.7661598684458619,abbreviated float literals
sql_bool_case,SQL,nat,0,32,0.3125,0.3125,1.0,0.03125,0.17952352116618736,0.4856699969803239,lowercase true/false
sql_bool_case,SQL,nat,4,32,0.96875,0.96875,1.0,0.03125,0.8425539219962727,0.9944622826374491,lowercase true/false
sql_bool_case,SQL,alt,0,32,0.625,0.625,1.0,0.09375,0.45254100589525126,0.7706633153404079,uppercase TRUE/FALSE
sql_bool_case,SQL,alt,4,32,0.96875,0.96875,1.0,0.03125,0.8425539219962727,0.9944622826374491,uppercase TRUE/FALSE
py2_print,Python,nat,0,50,0.12,0.26,0.64,0.72,0.05617523710624646,0.23805078886623582,print() function
py2_print,Python,nat,4,50,0.84,0.86,0.98,0.14,0.7148551903823401,0.9166267863791231,print() function
py2_print,Python,alt,0,50,0.0,0.0,0.46,0.78,0.0,0.07135003417431873,print statement
py2_print,Python,alt,4,50,0.72,0.76,0.96,0.24,0.5833461285401034,0.8252598564231963,print statement
py2_iter,Python,nat,0,38,0.5,0.631578947368421,0.7894736842105263,0.3684210526315789,0.3484967553286069,0.6515032446713931,range/items/keys
py2_iter,Python,nat,4,38,0.7368421052631579,0.8421052631578947,0.8421052631578947,0.15789473684210525,0.5799084979362465,0.8502853761029869,range/items/keys
py2_iter,Python,alt,0,38,0.0,0.0,0.868421052631579,0.2631578947368421,0.0,0.09181293258383999,xrange/iteritems/iterkeys
py2_iter,Python,alt,4,38,0.631578947368421,0.6578947368421053,0.8947368421052632,0.13157894736842105,0.47283672824260115,0.7661598684458619,xrange/iteritems/iterkeys
py2_except,Python,nat,0,45,0.08888888888888889,0.13333333333333333,0.9555555555555556,0.8666666666666667,0.035110548134203154,0.20733851168365702,except E as e
py2_except,Python,nat,4,45,1.0,1.0,1.0,0.0,0.9213457380593594,1.0000000000000002,except E as e
py2_except,Python,alt,0,45,0.0,0.0,0.9555555555555556,0.8666666666666667,0.0,0.07865426194064076,"except E, e"
py2_except,Python,alt,4,45,0.9333333333333333,0.9333333333333333,1.0,0.044444444444444446,0.8214312561135918,0.977068383537853,"except E, e"
js_var,JavaScript,nat,0,50,0.4,0.46,0.76,0.52,0.2760818978624575,0.5381881089724063,const/let
js_var,JavaScript,nat,4,50,0.46,0.48,0.9,0.52,0.3296943460178263,0.5960136567161192,const/let
js_var,JavaScript,alt,0,50,0.04,0.04,0.62,0.52,0.011038652660826577,0.13460337877954667,var
js_var,JavaScript,alt,4,50,0.5,0.52,0.96,0.46,0.36644286412332855,0.6335571358766714,var
js_arrow,JavaScript,nat,0,49,0.7755102040816326,0.8979591836734694,0.8571428571428571,0.02040816326530612,0.6412094381295426,0.8697516228527138,arrow functions
js_arrow,JavaScript,nat,4,49,0.6122448979591837,0.6530612244897959,0.9387755102040817,0.3469387755102041,0.4724574648805242,0.735711856260395,arrow functions
js_arrow,JavaScript,alt,0,49,0.061224489795918366,0.061224489795918366,0.8979591836734694,0.0,0.021039764955529186,0.16520743422087725,function expressions
js_arrow,JavaScript,alt,4,49,0.5918367346938775,0.6326530612244898,0.8979591836734694,0.2857142857142857,0.4524706997204626,0.7178496539402894,function expressions
js_semicolons,JavaScript,nat,0,31,0.7741935483870968,0.8387096774193549,0.9032258064516129,0.0967741935483871,0.6018723994130262,0.8860500840550121,semicolons
js_semicolons,JavaScript,nat,4,31,0.6774193548387096,0.7741935483870968,0.9032258064516129,0.22580645161290322,0.5014068555995079,0.8143076925268695,semicolons
js_semicolons,JavaScript,alt,0,31,0.06451612903225806,0.06451612903225806,0.9354838709677419,0.0967741935483871,0.017874407775063147,0.20718988318746434,no semicolons
js_semicolons,JavaScript,alt,4,31,0.4838709677419355,0.5161290322580645,0.9032258064516129,0.41935483870967744,0.3196998603127883,0.6515988171302683,no semicolons
js_strict_eq,JavaScript,nat,0,28,0.8214285714285714,0.8214285714285714,1.0,0.14285714285714285,0.644082084514089,0.9212161417056989,=== / !==
js_strict_eq,JavaScript,nat,4,28,0.75,0.8571428571428571,0.8928571428571429,0.10714285714285714,0.566439747592954,0.8732366505779922,=== / !==
js_strict_eq,JavaScript,alt,0,28,0.07142857142857142,0.07142857142857142,0.8928571428571429,0.07142857142857142,0.019811647447770794,0.2264573842591786,== / !=
js_strict_eq,JavaScript,alt,4,28,0.5714285714285714,0.7857142857142857,0.7142857142857143,0.17857142857142858,0.390704789856154,0.7349170381926877,== / !=
trailing_commas,Python,nat,0,34,0.08823529411764706,0.11764705882352941,0.8235294117647058,0.4411764705882353,0.030465390304310128,0.22960817952360413,trailing commas
trailing_commas,Python,nat,4,34,0.7647058823529411,0.7941176470588235,0.9705882352941176,0.08823529411764706,0.6000353719173557,0.8756316189075566,trailing commas
trailing_commas,Python,alt,0,34,0.35294117647058826,0.47058823529411764,0.8235294117647058,0.4117647058823529,0.21487714895296073,0.5208634116998658,no trailing commas
trailing_commas,Python,alt,4,34,0.7058823529411765,0.7352941176470589,0.9117647058823529,0.08823529411764706,0.5383077411853625,0.8316554739006805,no trailing commas
py_paren_if,Python,nat,0,50,0.68,0.8,0.88,0.18,0.5418944286372394,0.792419559060006,if x:
py_paren_if,Python,nat,4,50,0.68,0.82,0.8,0.18,0.5418944286372394,0.792419559060006,if x:
py_paren_if,Python,alt,0,50,0.02,0.02,0.96,0.22,0.0035391680889764604,0.10495686471836953,if (x):
py_paren_if,Python,alt,4,50,0.54,0.62,0.86,0.24,0.40398634328388083,0.6703056539821737,if (x):
py_type_hints,Python,nat,0,49,0.04081632653061224,0.061224489795918366,0.9183673469387755,0.08163265306122448,0.011265396927928273,0.13713283476831106,type hints
py_type_hints,Python,nat,4,49,0.6326530612244898,0.6326530612244898,1.0,0.08163265306122448,0.49266811386889864,0.7533501747521878,type hints
py_type_hints,Python,alt,0,49,0.7959183673469388,0.8979591836734694,0.8979591836734694,0.08163265306122448,0.6636272988905616,0.885182729571862,no type hints
py_type_hints,Python,alt,4,49,0.8163265306122449,0.8163265306122449,1.0,0.16326530612244897,0.6864212843271743,0.9002377116154164,no type hints
py_optional,Python,nat,0,49,0.14285714285714285,0.14285714285714285,0.7755102040816326,0.8571428571428571,0.07096333720544586,0.2666797318916292,X | None
py_optional,Python,nat,4,49,0.5918367346938775,0.6122448979591837,0.9591836734693877,0.3877551020408163,0.4524706997204626,0.7178496539402894,X | None
py_optional,Python,alt,0,49,0.0,0.0,0.7142857142857143,0.8979591836734694,0.0,0.07270029673590504,Optional[X]
py_optional,Python,alt,4,49,0.4489795918367347,0.4897959183673469,0.9387755102040817,0.46938775510204084,0.3185262492963633,0.5868513320032188,Optional[X]
py_builtin_generics,Python,nat,0,31,0.06451612903225806,0.06451612903225806,0.6774193548387096,0.9354838709677419,0.017874407775063147,0.20718988318746434,list[int] builtins
py_builtin_generics,Python,nat,4,31,0.9354838709677419,0.967741935483871,0.967741935483871,0.03225806451612903,0.7928101168125354,0.9821255922249368,list[int] builtins
py_builtin_generics,Python,alt,0,31,0.03225806451612903,0.03225806451612903,0.7419354838709677,0.9032258064516129,0.00571707408694444,0.16194457176169622,typing.List
py_builtin_generics,Python,alt,4,31,0.9032258064516129,0.9354838709677419,0.967741935483871,0.03225806451612903,0.7509971000182295,0.966535963905356,typing.List
py_literal_ctor,Python,nat,0,35,0.3142857142857143,0.37142857142857144,0.8857142857142857,0.6,0.18550658059782457,0.47980071879251973,{} / [] literals
py_literal_ctor,Python,nat,4,35,0.2,0.2857142857142857,0.8285714285714286,0.6571428571428571,0.10042319445900802,0.35891936609462516,{} / [] literals
py_literal_ctor,Python,alt,0,35,0.05714285714285714,0.08571428571428572,0.8285714285714286,0.5714285714285714,0.015812829614043955,0.1860738073937003,dict() / list() constructors
py_literal_ctor,Python,alt,4,35,0.6285714285714286,0.6571428571428571,0.8285714285714286,0.34285714285714286,0.46336640488021064,0.7683439263110894,dict() / list() constructors
py_comprehension,Python,nat,0,46,0.34782608695652173,0.41304347826086957,0.8043478260869565,0.45652173913043476,0.22680806269918055,0.49230207822727434,list comprehensions
py_comprehension,Python,nat,4,46,0.6521739130434783,0.717391304347826,0.8695652173913043,0.2391304347826087,0.5076979217727255,0.7731919373008194,list comprehensions
py_comprehension,Python,alt,0,46,0.21739130434782608,0.2391304347826087,0.8478260869565217,0.41304347826086957,0.12260774618580751,0.35573965839189464,explicit loops
py_comprehension,Python,alt,4,46,0.6304347826086957,0.7391304347826086,0.8478260869565217,0.10869565217391304,0.48599833149184785,0.7547644048569049,explicit loops
py_not_in,Python,nat,0,45,0.3333333333333333,0.37777777777777777,0.8444444444444444,0.6,0.21358692207276764,0.479297831907446,x not in y
py_not_in,Python,nat,4,45,0.5111111111111111,0.6444444444444445,0.7555555555555555,0.3333333333333333,0.3700422432648975,0.6504321064697549,x not in y
py_not_in,Python,alt,0,45,0.0,0.0,0.9111111111111111,0.6444444444444445,0.0,0.07865426194064076,not x in y
py_not_in,Python,alt,4,45,0.35555555555555557,0.37777777777777777,0.8888888888888888,0.4,0.23218891356904048,0.5016445398804781,not x in y
py_is_none,Python,nat,0,31,0.1935483870967742,0.1935483870967742,0.9354838709677419,0.7741935483870968,0.09186883586347633,0.36280603555459856,is None
py_is_none,Python,nat,4,31,0.8387096774193549,0.8387096774193549,0.9354838709677419,0.16129032258064516,0.6736529727502113,0.9290748009456006,is None
py_is_none,Python,alt,0,31,0.03225806451612903,0.03225806451612903,0.7741935483870968,0.8387096774193549,0.00571707408694444,0.16194457176169622,== None
py_is_none,Python,alt,4,31,0.6774193548387096,0.7096774193548387,0.8709677419354839,0.22580645161290322,0.5014068555995079,0.8143076925268695,== None
py_ternary,Python,nat,0,48,0.041666666666666664,0.041666666666666664,0.8958333333333334,0.5,0.011501652078965613,0.13975911147771472,conditional expressions
py_ternary,Python,nat,4,48,0.3958333333333333,0.5,0.7916666666666666,0.3333333333333333,0.2702062649595057,0.5368984540306487,conditional expressions
py_ternary,Python,alt,0,48,0.3333333333333333,0.375,0.8333333333333334,0.5208333333333334,0.2167660137089678,0.47460153667527943,if/else blocks
py_ternary,Python,alt,4,48,0.5208333333333334,0.5208333333333334,0.9166666666666666,0.3541666666666667,0.3832899563598438,0.6552890998421255,if/else blocks
early_return,Python,nat,0,50,0.32,0.34,0.9,0.4,0.20758044093999403,0.45810557136276076,guard clauses
early_return,Python,nat,4,50,0.48,0.5,0.88,0.4,0.3479691239550571,0.6148848774119157,guard clauses
early_return,Python,alt,0,50,0.2,0.2,0.9,0.52,0.11243629945973886,0.3303737210448524,nested if/else
early_return,Python,alt,4,50,0.84,0.9,0.9,0.04,0.7148551903823401,0.9166267863791231,nested if/else
py_join_concat,Python,nat,0,44,0.38636363636363635,0.38636363636363635,0.9545454545454546,0.45454545454545453,0.25720998886701985,0.5337669015379832,str.join
py_join_concat,Python,nat,4,44,0.6590909090909091,0.7727272727272727,0.8636363636363636,0.22727272727272727,0.5113886797193951,0.7812436737136005,str.join
py_join_concat,Python,alt,0,44,0.1590909090909091,0.1590909090909091,0.8863636363636364,0.4318181818181818,0.07926576557718398,0.29366490563782555,+ concatenation
py_join_concat,Python,alt,4,44,0.5,0.5,0.9090909090909091,0.29545454545454547,0.35831521095931473,0.6416847890406853,+ concatenation
py_with_open,Python,nat,0,50,0.08,0.08,0.92,0.92,0.031549003255790686,0.18838502545063704,with open(...)
py_with_open,Python,nat,4,50,0.66,0.68,0.94,0.26,0.5215356854148285,0.7756323036493895,with open(...)
py_with_open,Python,alt,0,50,0.0,0.0,0.82,0.94,0.0,0.07135003417431873,open() / close()
py_with_open,Python,alt,4,50,0.84,0.9,0.92,0.04,0.7148551903823401,0.9166267863791231,open() / close()
py_enumerate,Python,nat,0,49,0.1836734693877551,0.1836734693877551,0.9183673469387755,0.5918367346938775,0.09976228838458358,0.31357871567282575,enumerate
py_enumerate,Python,nat,4,49,0.7755102040816326,0.9795918367346939,0.7959183673469388,0.02040816326530612,0.6412094381295426,0.8697516228527138,enumerate
py_enumerate,Python,alt,0,49,0.42857142857142855,0.46938775510204084,0.8979591836734694,0.3469387755102041,0.3002310889895705,0.5672975248298444,range(len())
py_enumerate,Python,alt,4,49,0.6326530612244898,0.7755102040816326,0.7755102040816326,0.16326530612244897,0.49266811386889864,0.7533501747521878,range(len())
py_self_name,Python,nat,0,50,0.96,0.96,1.0,0.04,0.8653966212204534,0.9889613473391734,self
py_self_name,Python,nat,4,50,0.96,0.98,0.98,0.02,0.8653966212204534,0.9889613473391734,self
py_self_name,Python,alt,0,50,0.0,0.0,0.92,0.04,0.0,0.07135003417431873,this
py_self_name,Python,alt,4,50,0.86,0.96,0.86,0.04,0.738135428014719,0.9304925473797714,this
py_indent,Python,nat,0,50,0.78,0.8,0.92,0.1,0.6475818431054045,0.8724621377569771,4-space indentation
py_indent,Python,nat,4,50,0.96,0.98,0.96,0.02,0.8653966212204534,0.9889613473391734,4-space indentation
py_indent,Python,alt,0,50,0.1,0.12,0.82,0.04,0.04347512399157111,0.2136049033478839,2-space indentation
py_indent,Python,alt,4,50,0.7,0.7,0.94,0.04,0.562493877226366,0.8089661091039063,2-space indentation
py_tabs,Python,nat,0,50,0.8,0.9,0.86,0.08,0.6696262789551477,0.8875637005402612,spaces
py_tabs,Python,nat,4,50,0.9,1.0,0.9,0.0,0.7863950966521162,0.956524876008429,spaces
py_tabs,Python,alt,0,50,0.02,0.02,0.72,0.12,0.0035391680889764604,0.10495686471836953,tabs
py_tabs,Python,alt,4,50,0.96,1.0,0.96,0.0,0.8653966212204534,0.9889613473391734,tabs
c_braces,C,nat,0,47,0.7659574468085106,0.851063829787234,0.8723404255319149,0.14893617021276595,0.6277546774315923,0.8639686357607541,K&R braces
c_braces,C,nat,4,47,0.7659574468085106,0.9148936170212766,0.851063829787234,0.06382978723404255,0.6277546774315923,0.8639686357607541,K&R braces
c_braces,C,alt,0,47,0.0,0.0,0.9787234042553191,0.14893617021276595,6.938893903907228e-18,0.0755601711983887,Allman braces
c_braces,C,alt,4,47,0.06382978723404255,0.0851063829787234,0.9574468085106383,0.0851063829787234,0.0219449870207728,0.17162877934377904,Allman braces
operator_spaces,Python,nat,0,45,0.7555555555555555,0.7777777777777778,0.9555555555555556,0.17777777777777778,0.6132633941520986,0.8576466497449071,spaces around operators
operator_spaces,Python,nat,4,45,0.8888888888888888,0.8888888888888888,1.0,0.08888888888888889,0.7650062450910905,0.9515959956217445,spaces around operators
operator_spaces,Python,alt,0,45,0.1111111111111111,0.1111111111111111,0.9111111111111111,0.08888888888888889,0.04840400437825558,0.23499375490890945,no spaces around operators
operator_spaces,Python,alt,4,45,0.6888888888888889,0.7555555555555555,0.9111111111111111,0.08888888888888889,0.5433492001245104,0.8047147453645809,no spaces around operators
comma_space,Python,nat,0,47,0.7659574468085106,0.7872340425531915,0.9787234042553191,0.19148936170212766,0.6277546774315923,0.8639686357607541,space after comma
comma_space,Python,nat,4,47,0.7872340425531915,0.851063829787234,0.9361702127659575,0.14893617021276595,0.6509569794902073,0.8801041987575269,space after comma
comma_space,Python,alt,0,47,0.0,0.0,0.8936170212765957,0.2553191489361702,6.938893903907228e-18,0.0755601711983887,no space after comma
comma_space,Python,alt,4,47,0.48936170212765956,0.5531914893617021,0.9361702127659575,0.1702127659574468,0.3527532433660351,0.6275778241062712,no space after comma
line_wrap,Python,nat,0,50,0.04,0.04,0.9,0.3,0.011038652660826577,0.13460337877954667,wrapped long calls
line_wrap,Python,nat,4,50,0.82,0.82,1.0,0.18,0.6920368054529739,0.902299172675462,wrapped long calls
line_wrap,Python,alt,0,50,0.58,0.68,0.86,0.32,0.4423319668777783,0.7062520276543307,single long lines
line_wrap,Python,alt,4,50,0.38,0.44,0.88,0.56,0.2586259584257722,0.5184980497760643,single long lines
blank_lines,Python,nat,0,34,0.14705882352941177,0.20588235294117646,0.7941176470588235,0.11764705882352941,0.06449346382626417,0.30128388174051957,two blank lines between defs
blank_lines,Python,nat,4,34,0.5,0.6176470588235294,0.7352941176470589,0.3235294117647059,0.34069062628048985,0.6593093737195102,two blank lines between defs
blank_lines,Python,alt,0,34,0.5294117647058824,0.5882352941176471,0.8235294117647058,0.29411764705882354,0.3673644042005483,0.6854874836688863,one blank line
blank_lines,Python,alt,4,34,0.38235294117647056,0.5,0.6764705882352942,0.5,0.23899964851608782,0.5495928000061734,one blank line
docstring_style,Python,nat,0,50,0.64,0.64,0.94,0.3,0.5014076201030195,0.7586143703281711,Google docstrings
docstring_style,Python,nat,4,50,1.0,1.0,1.0,0.0,0.9286499658256813,1.0,Google docstrings
docstring_style,Python,alt,0,50,0.04,0.04,0.92,0.3,0.011038652660826577,0.13460337877954667,NumPy docstrings
docstring_style,Python,alt,4,50,0.92,0.96,0.94,0.02,0.8116149745493629,0.9684509967442093,NumPy docstrings
docstring_quotes,Python,nat,0,50,0.08,0.08,0.98,0.92,0.031549003255790686,0.18838502545063704,triple double quotes
docstring_quotes,Python,nat,4,50,0.92,0.94,0.98,0.06,0.8116149745493629,0.9684509967442093,triple double quotes
docstring_quotes,Python,alt,0,50,0.0,0.0,1.0,0.74,0.0,0.07135003417431873,triple single quotes
docstring_quotes,Python,alt,4,50,0.96,0.96,1.0,0.04,0.8653966212204534,0.9889613473391734,triple single quotes
comment_case,Python,nat,0,50,0.22,0.38,0.68,0.6,0.12753786224302288,0.35241815689459555,capitalised comments
comment_case,Python,nat,4,50,0.58,0.62,0.96,0.32,0.4423319668777783,0.7062520276543307,capitalised comments
comment_case,Python,alt,0,50,0.08,0.1,0.64,0.7,0.031549003255790686,0.18838502545063704,lowercase comments
comment_case,Python,alt,4,50,0.62,0.62,0.96,0.32,0.4815019502239357,0.7413740415742278,lowercase comments
comment_language,Python,nat,0,50,0.22,0.3,0.68,0.7,0.12753786224302288,0.35241815689459555,English comments
comment_language,Python,nat,4,50,0.7,0.74,0.94,0.26,0.562493877226366,0.8089661091039063,English comments
comment_language,Python,alt,0,50,0.0,0.0,0.72,0.68,0.0,0.07135003417431873,Spanish comments
comment_language,Python,alt,4,50,0.54,0.56,0.98,0.36,0.40398634328388083,0.6703056539821737,Spanish comments
c_comment_style,JavaScript,nat,0,50,0.34,0.36,0.94,0.64,0.2243676963506106,0.47846431458517147,// comments
c_comment_style,JavaScript,nat,4,50,0.96,0.96,1.0,0.04,0.8653966212204534,0.9889613473391734,// comments
c_comment_style,JavaScript,alt,0,50,0.0,0.0,0.9,0.82,0.0,0.07135003417431873,/* */ comments
c_comment_style,JavaScript,alt,4,50,0.84,0.84,0.98,0.14,0.7148551903823401,0.9166267863791231,/* */ comments
sql_keyword_case,SQL,nat,0,50,0.66,0.74,0.68,0.22,0.5215356854148285,0.7756323036493895,uppercase keywords
