family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,unsteered,k4
c_comment_style,alt,24,2.0,40,0.175,0.0875,0.3195,0.25,0.825,0.7,2.2148,0.175,0.0,0.8
c_comment_style,alt,24,4.0,40,0.3,0.1807,0.4543,0.525,0.7,0.4,6.6979,0.65,0.0,0.8
c_comment_style,alt,26,2.0,40,0.2,0.105,0.3476,0.325,0.775,0.625,6.1506,0.45,0.0,0.8
c_comment_style,alt,26,4.0,40,0.25,0.1419,0.4019,0.425,0.775,0.525,11.8792,0.65,0.0,0.8
js_camel_snake,nat,24,2.0,40,0.725,0.5716,0.8389,0.775,0.875,0.175,8.7359,0.375,0.525,0.87
js_camel_snake,nat,24,4.0,40,0.725,0.5716,0.8389,0.825,0.9,0.175,8.9957,0.35,0.525,0.87
js_camel_snake,nat,26,2.0,40,0.125,0.0546,0.2611,0.225,0.7,0.775,3.4306,0.0,0.525,0.87
js_camel_snake,nat,26,4.0,40,0.025,0.0044,0.1288,0.1,0.45,0.875,-2.4622,0.0,0.525,0.87
js_camel_snake,alt,24,2.0,40,0.5,0.352,0.648,0.575,0.875,0.3,4.0469,0.425,0.025,0.79
js_camel_snake,alt,24,4.0,40,0.25,0.1419,0.4019,0.45,0.725,0.45,4.8148,0.4,0.025,0.79
js_camel_snake,alt,26,2.0,40,0.45,0.3071,0.6017,0.55,0.775,0.375,9.7844,0.4,0.025,0.79
js_camel_snake,alt,26,4.0,40,0.05,0.0138,0.165,0.075,0.775,0.675,1.8281,0.1,0.025,0.79
py_class_naming,nat,24,2.0,40,0.35,0.2213,0.5049,0.6,0.625,0.275,0.1738,0.025,0.725,0.935
py_class_naming,nat,24,4.0,40,0.5,0.352,0.648,0.775,0.575,0.225,3.503,0.025,0.725,0.935
py_class_naming,nat,26,2.0,40,0.7,0.5457,0.8193,0.975,0.725,0.025,8.1891,0.125,0.725,0.935
py_class_naming,nat,26,4.0,40,0.175,0.0875,0.3195,0.3,0.35,0.45,-1.1445,0.075,0.725,0.935
py_class_naming,alt,24,2.0,40,0.55,0.3983,0.6929,0.75,0.75,0.225,4.1753,0.225,0.0,0.78
py_class_naming,alt,24,4.0,40,0.475,0.3294,0.625,0.75,0.65,0.175,4.9253,0.125,0.0,0.78
py_class_naming,alt,26,2.0,40,0.475,0.3294,0.625,0.675,0.7,0.3,5.9878,0.2,0.0,0.78
py_class_naming,alt,26,4.0,40,0.025,0.0044,0.1288,0.1,0.25,0.8,-0.1141,0.0,0.0,0.78
docstring_quotes,nat,24,2.0,40,0.15,0.0706,0.2907,0.175,0.8,0.825,5.1906,0.0,0.1,0.815
docstring_quotes,nat,24,4.0,40,0.05,0.0138,0.165,0.075,0.8,0.925,4.1094,0.025,0.1,0.815
docstring_quotes,nat,26,2.0,40,0.0,0.0,0.0876,0.0,0.725,0.975,4.0211,0.0,0.1,0.815
docstring_quotes,nat,26,4.0,40,0.0,0.0,0.0876,0.0,0.675,1.0,2.8898,0.0,0.1,0.815
docstring_quotes,alt,24,2.0,40,0.0,0.0,0.0876,0.0,0.85,0.975,2.068,0.0,0.025,0.775
docstring_quotes,alt,24,4.0,40,0.1,0.0396,0.2305,0.1,0.8,0.875,4.2625,0.0,0.025,0.775
docstring_quotes,alt,26,2.0,40,0.0,0.0,0.0876,0.0,0.7,1.0,5.9613,0.0,0.025,0.775
docstring_quotes,alt,26,4.0,40,0.0,0.0,0.0876,0.025,0.5,0.95,0.8547,0.0,0.025,0.775
py_enumerate,nat,24,2.0,40,0.675,0.5202,0.7992,0.8,0.85,0.2,8.3141,0.975,0.075,0.77
py_enumerate,nat,24,4.0,40,0.725,0.5716,0.8389,0.8,0.875,0.2,14.5133,0.825,0.075,0.77
py_enumerate,nat,26,2.0,40,0.725,0.5716,0.8389,0.825,0.9,0.175,6.5531,0.975,0.075,0.77
py_enumerate,nat,26,4.0,40,0.7,0.5457,0.8193,0.8,0.875,0.2,11.8797,0.875,0.075,0.77
py_enumerate,alt,24,2.0,40,0.4,0.2635,0.554,0.4,1.0,0.55,14.1375,0.825,0.3,0.79
py_enumerate,alt,24,4.0,40,0.35,0.2213,0.5049,0.4,0.925,0.6,18.3418,0.825,0.3,0.79
py_enumerate,alt,26,2.0,40,0.35,0.2213,0.5049,0.35,0.975,0.575,13.1453,0.825,0.3,0.79
py_enumerate,alt,26,4.0,40,0.35,0.2213,0.5049,0.375,0.875,0.625,16.2543,0.825,0.3,0.79
py_fstring,nat,24,2.0,40,0.85,0.7093,0.9294,0.875,0.925,0.125,10.041,0.975,0.175,0.81
py_fstring,nat,24,4.0,40,0.875,0.7389,0.9454,0.925,0.925,0.075,13.659,0.975,0.175,0.81
py_fstring,nat,26,2.0,40,0.9,0.7695,0.9604,0.95,0.95,0.05,12.1484,1.0,0.175,0.81
py_fstring,nat,26,4.0,40,0.725,0.5716,0.8389,0.825,0.8,0.175,14.6429,1.0,0.175,0.81
py_fstring,alt,24,2.0,40,0.325,0.2008,0.4798,0.325,0.975,0.65,16.0289,0.975,0.125,0.765
py_fstring,alt,24,4.0,40,0.275,0.1611,0.4284,0.275,0.95,0.7,18.0965,0.975,0.125,0.765
py_fstring,alt,26,2.0,40,0.2,0.105,0.3476,0.2,0.975,0.75,15.8605,0.95,0.125,0.765
py_fstring,alt,26,4.0,40,0.2,0.105,0.3476,0.2,0.925,0.8,19.4451,0.95,0.125,0.765
js_template,nat,24,2.0,40,0.75,0.5981,0.8581,0.775,0.925,0.15,8.1656,0.775,0.125,0.775
js_template,nat,24,4.0,40,0.75,0.5981,0.8581,0.825,0.875,0.175,12.4456,0.8,0.125,0.775
js_template,nat,26,2.0,40,0.725,0.5716,0.8389,0.875,0.825,0.1,10.2997,0.775,0.125,0.775
js_template,nat,26,4.0,40,0.925,0.8014,0.9742,0.95,0.975,0.05,13.5855,0.85,0.125,0.775
js_template,alt,24,2.0,40,0.375,0.2422,0.5297,0.375,0.925,0.6,12.9383,0.975,0.175,0.76
js_template,alt,24,4.0,40,0.375,0.2422,0.5297,0.425,0.85,0.55,18.7579,0.8,0.175,0.76
js_template,alt,26,2.0,40,0.35,0.2213,0.5049,0.45,0.85,0.55,17.2185,0.875,0.175,0.76
js_template,alt,26,4.0,40,0.25,0.1419,0.4019,0.325,0.825,0.675,26.8514,0.7,0.175,0.76
py_type_hints,nat,24,2.0,40,0.875,0.7389,0.9454,0.9,0.95,0.025,2.9594,1.0,0.075,0.76
py_type_hints,nat,24,4.0,40,0.875,0.7389,0.9454,0.925,0.925,0.05,5.0406,1.0,0.075,0.76
py_type_hints,nat,26,2.0,40,0.9,0.7695,0.9604,0.95,0.95,0.025,2.8188,1.0,0.075,0.76
py_type_hints,nat,26,4.0,40,0.875,0.7389,0.9454,0.95,0.925,0.0,5.0609,1.0,0.075,0.76
py_type_hints,alt,24,2.0,40,0.75,0.5981,0.8581,0.825,0.875,0.125,14.3109,0.95,0.825,0.83
py_type_hints,alt,24,4.0,40,0.7,0.5457,0.8193,0.8,0.875,0.175,12.7672,0.85,0.825,0.83
py_type_hints,alt,26,2.0,40,0.625,0.4703,0.7578,0.7,0.75,0.25,15.6781,0.85,0.825,0.83
py_type_hints,alt,26,4.0,40,0.025,0.0044,0.1288,0.025,0.425,0.875,5.9648,0.0,0.825,0.83
py_quotes,nat,24,2.0,40,0.35,0.2213,0.5049,0.375,0.85,0.525,3.3062,0.375,0.275,0.78
py_quotes,nat,24,4.0,40,0.475,0.3294,0.625,0.5,0.875,0.425,3.4109,0.35,0.275,0.78
py_quotes,nat,26,2.0,40,0.475,0.3294,0.625,0.475,0.975,0.475,7.0777,0.375,0.275,0.78
py_quotes,nat,26,4.0,40,0.15,0.0706,0.2907,0.25,0.825,0.7,5.0813,0.05,0.275,0.78
py_quotes,alt,24,2.0,40,0.4,0.2635,0.554,0.425,0.95,0.475,6.9625,0.375,0.25,0.75
py_quotes,alt,24,4.0,40,0.45,0.3071,0.6017,0.5,0.95,0.4,9.0992,0.375,0.25,0.75
py_quotes,alt,26,2.0,40,0.475,0.3294,0.625,0.5,0.925,0.375,6.7531,0.375,0.25,0.75
py_quotes,alt,26,4.0,40,0.175,0.0875,0.3195,0.175,0.95,0.475,-3.8719,0.1,0.25,0.75
py_snake_camel,nat,24,2.0,40,0.6,0.446,0.7365,0.725,0.825,0.275,7.7424,0.45,0.55,0.835
py_snake_camel,nat,24,4.0,40,0.4,0.2635,0.554,0.55,0.7,0.45,6.6016,0.125,0.55,0.835
py_snake_camel,nat,26,2.0,40,0.775,0.625,0.8768,0.825,0.925,0.175,6.4957,0.425,0.55,0.835
py_snake_camel,nat,26,4.0,40,0.075,0.0258,0.1986,0.175,0.7,0.225,-2.5391,0.0,0.55,0.835
py_snake_camel,alt,24,2.0,40,0.775,0.625,0.8768,0.875,0.9,0.075,3.6707,0.425,0.05,0.75
py_snake_camel,alt,24,4.0,40,0.8,0.6524,0.895,0.85,0.925,0.125,7.474,0.425,0.05,0.75
py_snake_camel,alt,26,2.0,40,0.125,0.0546,0.2611,0.225,0.85,0.65,3.8189,0.1,0.05,0.75
py_snake_camel,alt,26,4.0,40,0.025,0.0044,0.1288,0.15,0.45,0.675,-5.6712,0.0,0.05,0.75
bash_test,nat,24,2.0,40,0.875,0.7389,0.9454,0.925,0.95,0.075,4.9531,0.875,0.2,0.845
bash_test,nat,24,4.0,40,0.825,0.6805,0.9125,0.875,0.95,0.075,8.8102,0.925,0.2,0.845
bash_test,nat,26,2.0,40,0.75,0.5981,0.8581,0.875,0.875,0.1,9.2102,0.875,0.2,0.845
bash_test,nat,26,4.0,40,0.7,0.5457,0.8193,0.75,0.95,0.175,14.4444,0.875,0.2,0.845
bash_test,alt,24,2.0,40,0.8,0.6524,0.895,0.875,0.9,0.1,8.1242,0.925,0.575,0.74
