family,direction,context,target,k_ctx,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k,step3_context_k
py_const_naming,alt2nat,alt,nat,1,alt2nat_top2,6,2.0,,200,0.51,0.441,0.578,0.675,0.015,0.31,0.7,0.36,2.7,0.65,0.37
py_class_naming,nat2alt,nat,alt,1,base,0,0.0,,200,0.15,0.107,0.206,0.16,0.37,0.47,0.88,0.245,2.1,0.44,0.35
py_class_naming,nat2alt,nat,alt,1,nat2alt_top1,4,2.0,,200,0.33,0.269,0.398,0.44,0.08,0.48,0.78,0.26,2.1,0.44,0.35
py_class_naming,nat2alt,nat,alt,1,nat2alt_top2,6,2.0,,200,0.34,0.278,0.408,0.46,0.065,0.475,0.815,0.22,2.1,0.44,0.35
py_class_naming,alt2nat,alt,nat,1,base,0,0.0,,200,0.035,0.017,0.07,0.04,0.51,0.45,0.875,0.26,2.2,0.35,0.44
py_class_naming,alt2nat,alt,nat,1,alt2nat_top1,5,2.0,,200,0.355,0.292,0.423,0.39,0.175,0.435,0.895,0.235,2.2,0.35,0.44
py_class_naming,alt2nat,alt,nat,1,alt2nat_top2,14,2.0,,200,0.31,0.25,0.377,0.34,0.225,0.435,0.885,0.265,2.2,0.35,0.44
py_private,nat2alt,nat,alt,1,base,0,0.0,,200,0.0,0.0,0.019,0.005,0.535,0.46,0.965,0.11,1.0,0.42,0.47
py_private,nat2alt,nat,alt,1,nat2alt_top1,7,2.0,,200,0.435,0.368,0.504,0.465,0.02,0.515,0.94,0.125,1.0,0.42,0.47
py_private,nat2alt,nat,alt,1,nat2alt_top2,9,2.0,,200,0.435,0.368,0.504,0.46,0.045,0.495,0.96,0.145,1.0,0.42,0.47
py_private,alt2nat,alt,nat,1,base,0,0.0,,200,0.015,0.005,0.043,0.015,0.48,0.505,0.945,0.12,1.0,0.47,0.42
py_private,alt2nat,alt,nat,1,alt2nat_top1,18,1.0,,200,0.425,0.359,0.494,0.44,0.035,0.525,0.935,0.13,1.0,0.47,0.42
py_private,alt2nat,alt,nat,1,alt2nat_top2,1,1.0,,200,0.43,0.363,0.499,0.445,0.01,0.545,0.955,0.14,1.0,0.47,0.42
py_bool_prefix,nat2alt,nat,alt,1,base,0,0.0,,200,0.01,0.003,0.036,0.01,0.925,0.065,0.92,0.42,2.0,0.55,0.84
py_bool_prefix,nat2alt,nat,alt,1,nat2alt_top1,2,4.0,,200,0.38,0.316,0.449,0.475,0.005,0.52,0.7,0.5,2.0,0.55,0.84
py_bool_prefix,nat2alt,nat,alt,1,nat2alt_top2,9,4.0,,200,0.27,0.213,0.335,0.33,0.02,0.65,0.785,0.535,2.0,0.55,0.84
py_bool_prefix,alt2nat,alt,nat,1,base,0,0.0,,200,0.01,0.003,0.036,0.01,0.63,0.36,0.815,0.495,1.0,0.84,0.55
py_bool_prefix,alt2nat,alt,nat,1,alt2nat_top1,0,4.0,,200,0.475,0.407,0.544,0.68,0.065,0.255,0.705,0.51,1.0,0.84,0.55
py_bool_prefix,alt2nat,alt,nat,1,alt2nat_top2,8,4.0,,200,0.355,0.292,0.423,0.585,0.12,0.295,0.6,0.48,1.0,0.84,0.55
py_loop_vars,nat2alt,nat,alt,1,base,0,0.0,,188,0.016,0.005,0.046,0.021,0.686,0.293,0.894,0.309,1.0,0.596,0.606
py_loop_vars,nat2alt,nat,alt,1,nat2alt_top1,11,2.0,,188,0.293,0.232,0.361,0.537,0.032,0.431,0.473,0.394,1.0,0.596,0.606
py_loop_vars,nat2alt,nat,alt,1,nat2alt_top2,17,2.0,,188,0.197,0.146,0.259,0.495,0.064,0.441,0.388,0.399,1.0,0.596,0.606
py_loop_vars,alt2nat,alt,nat,1,base,0,0.0,,188,0.037,0.018,0.075,0.043,0.649,0.309,0.851,0.309,1.1,0.606,0.596
py_loop_vars,alt2nat,alt,nat,1,alt2nat_top1,2,1.0,,188,0.532,0.461,0.602,0.638,0.032,0.33,0.803,0.309,1.1,0.606,0.596
py_loop_vars,alt2nat,alt,nat,1,alt2nat_top2,1,1.0,,188,0.537,0.466,0.607,0.644,0.027,0.33,0.798,0.399,1.1,0.606,0.596
js_hungarian,nat2alt,nat,alt,1,base,0,0.0,,200,0.005,0.001,0.028,0.01,0.67,0.32,0.915,0.435,1.5,0.68,0.57
js_hungarian,nat2alt,nat,alt,1,nat2alt_top1,3,4.0,,200,0.13,0.09,0.184,0.235,0.445,0.32,0.615,0.44,1.5,0.68,0.57
js_hungarian,nat2alt,nat,alt,1,nat2alt_top2,2,4.0,,200,0.03,0.014,0.064,0.075,0.54,0.385,0.525,0.53,1.5,0.68,0.57
js_hungarian,alt2nat,alt,nat,1,base,0,0.0,,200,0.165,0.12,0.223,0.185,0.695,0.12,0.875,0.47,2.9,0.57,0.68
js_hungarian,alt2nat,alt,nat,1,alt2nat_top1,1,4.0,,200,0.51,0.441,0.578,0.66,0.005,0.335,0.755,0.45,2.9,0.57,0.68
js_hungarian,alt2nat,alt,nat,1,alt2nat_top2,3,4.0,,200,0.405,0.339,0.474,0.53,0.005,0.465,0.695,0.47,2.9,0.57,0.68
py_abbrev,nat2alt,nat,alt,1,base,0,0.0,,200,0.135,0.094,0.189,0.14,0.52,0.34,0.91,0.415,1.3,0.585,0.44
py_abbrev,nat2alt,nat,alt,1,nat2alt_top1,2,2.0,,200,0.42,0.354,0.489,0.51,0.145,0.345,0.8,0.42,1.3,0.585,0.44
py_abbrev,nat2alt,nat,alt,1,nat2alt_top2,18,2.0,,200,0.345,0.283,0.413,0.475,0.14,0.385,0.765,0.38,1.3,0.585,0.44
py_abbrev,alt2nat,alt,nat,1,base,0,0.0,,200,0.055,0.031,0.096,0.055,0.61,0.335,0.94,0.36,1.3,0.44,0.585
py_abbrev,alt2nat,alt,nat,1,alt2nat_top1,1,2.0,,200,0.16,0.116,0.217,0.215,0.34,0.445,0.76,0.465,1.3,0.44,0.585
py_abbrev,alt2nat,alt,nat,1,alt2nat_top2,5,2.0,,200,0.15,0.107,0.206,0.21,0.325,0.465,0.8,0.385,1.3,0.44,0.585
py_quotes,nat2alt,nat,alt,1,base,0,0.0,,192,0.016,0.005,0.045,0.016,0.964,0.021,0.901,0.417,1.2,0.823,0.87
py_quotes,nat2alt,nat,alt,1,nat2alt_top1,1,1.0,,192,0.839,0.78,0.884,0.922,0.057,0.021,0.901,0.365,1.2,0.823,0.87
py_quotes,nat2alt,nat,alt,1,nat2alt_top2,3,2.0,,192,0.771,0.706,0.825,0.901,0.062,0.036,0.839,0.422,1.2,0.823,0.87
py_quotes,alt2nat,alt,nat,1,base,0,0.0,,192,0.052,0.029,0.093,0.057,0.911,0.031,0.891,0.38,1.2,0.87,0.823
py_quotes,alt2nat,alt,nat,1,alt2nat_top1,5,1.0,,192,0.75,0.684,0.806,0.927,0.052,0.021,0.818,0.401,1.2,0.87,0.823
py_quotes,alt2nat,alt,nat,1,alt2nat_top2,0,2.0,,192,0.823,0.763,0.87,0.953,0.021,0.026,0.859,0.344,1.2,0.87,0.823
js_quotes,nat2alt,nat,alt,1,base,0,0.0,,187,0.053,0.029,0.096,0.064,0.877,0.059,0.936,0.326,1.5,0.873,0.831
js_quotes,nat2alt,nat,alt,1,nat2alt_top1,1,1.0,,187,0.829,0.768,0.876,0.898,0.032,0.07,0.93,0.337,1.5,0.873,0.831
js_quotes,nat2alt,nat,alt,1,nat2alt_top2,0,2.0,,187,0.845,0.786,0.89,0.909,0.032,0.059,0.93,0.342,1.5,0.873,0.831
js_quotes,alt2nat,alt,nat,1,base,0,0.0,,187,0.032,0.015,0.068,0.037,0.898,0.064,0.941,0.332,1.6,0.831,0.873
js_quotes,alt2nat,alt,nat,1,alt2nat_top1,11,2.0,,187,0.754,0.688,0.81,0.861,0.059,0.08,0.882,0.326,1.6,0.831,0.873
js_quotes,alt2nat,alt,nat,1,alt2nat_top2,15,2.0,,187,0.77,0.705,0.825,0.877,0.075,0.048,0.877,0.337,1.6,0.831,0.873
py_fstring,nat2alt,nat,alt,1,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.61,0.385,0.985,0.325,1.1,0.335,0.67
py_fstring,nat2alt,nat,alt,1,nat2alt_top1,21,4.0,,200,0.615,0.546,0.68,0.685,0.045,0.27,0.9,0.345,1.1,0.335,0.67
py_fstring,nat2alt,nat,alt,1,nat2alt_top2,8,4.0,,200,0.555,0.486,0.622,0.58,0.075,0.345,0.925,0.34,1.1,0.335,0.67
py_fstring,alt2nat,alt,nat,1,base,0,0.0,,198,0.051,0.028,0.09,0.056,0.338,0.606,0.914,0.247,1.1,0.67,0.335
py_fstring,alt2nat,alt,nat,1,alt2nat_top1,3,4.0,,198,0.379,0.314,0.448,0.394,0.354,0.253,0.934,0.409,1.1,0.67,0.335
py_fstring,alt2nat,alt,nat,1,alt2nat_top2,0,4.0,,198,0.439,0.372,0.509,0.495,0.01,0.495,0.823,0.374,1.1,0.67,0.335
js_template,nat2alt,nat,alt,1,base,0,0.0,,198,0.005,0.001,0.028,0.005,0.965,0.03,0.965,0.303,1.6,0.53,0.894
js_template,nat2alt,nat,alt,1,nat2alt_top1,22,4.0,,198,0.475,0.406,0.544,0.677,0.015,0.308,0.692,0.343,1.6,0.53,0.894
js_template,nat2alt,nat,alt,1,nat2alt_top2,21,4.0,,198,0.5,0.431,0.569,0.646,0.04,0.313,0.717,0.379,1.6,0.53,0.894
js_template,alt2nat,alt,nat,1,base,0,0.0,,198,0.03,0.014,0.065,0.03,0.556,0.414,0.919,0.222,1.7,0.894,0.53
js_template,alt2nat,alt,nat,1,alt2nat_top1,4,4.0,,198,0.742,0.677,0.798,0.894,0.056,0.051,0.833,0.247,1.7,0.894,0.53
js_template,alt2nat,alt,nat,1,alt2nat_top2,13,4.0,,198,0.768,0.704,0.821,0.899,0.056,0.045,0.854,0.258,1.7,0.894,0.53
num_separators,nat2alt,nat,alt,1,base,0,0.0,,131,0.008,0.001,0.042,0.008,0.74,0.252,0.847,0.366,4.6,0.458,0.679
num_separators,nat2alt,nat,alt,1,nat2alt_top1,22,4.0,,131,0.611,0.525,0.69,0.733,0.023,0.244,0.771,0.412,4.6,0.458,0.679
num_separators,nat2alt,nat,alt,1,nat2alt_top2,8,1.0,,131,0.389,0.31,0.475,0.473,0.237,0.29,0.809,0.336,4.6,0.458,0.679
num_separators,alt2nat,alt,nat,1,base,0,0.0,,131,0.229,0.165,0.308,0.252,0.504,0.244,0.908,0.313,1.9,0.679,0.458
num_separators,alt2nat,alt,nat,1,alt2nat_top1,6,2.0,,131,0.626,0.541,0.704,0.748,0.038,0.214,0.847,0.313,1.9,0.679,0.458
num_separators,alt2nat,alt,nat,1,alt2nat_top2,10,1.0,,131,0.519,0.434,0.603,0.634,0.038,0.328,0.817,0.366,1.9,0.679,0.458
hex_constants,nat2alt,nat,alt,1,base,0,0.0,,177,0.006,0.001,0.031,0.006,0.537,0.458,0.938,0.277,1.7,0.576,0.548
hex_constants,nat2alt,nat,alt,1,nat2alt_top1,9,4.0,,177,0.316,0.252,0.388,0.39,0.249,0.362,0.87,0.356,1.7,0.576,0.548
hex_constants,nat2alt,nat,alt,1,nat2alt_top2,6,4.0,,177,0.271,0.211,0.341,0.316,0.26,0.424,0.859,0.395,1.7,0.576,0.548
hex_constants,alt2nat,alt,nat,1,base,0,0.0,,177,0.158,0.112,0.219,0.175,0.525,0.299,0.87,0.299,2.8,0.548,0.576
hex_constants,alt2nat,alt,nat,1,alt2nat_top1,15,2.0,,177,0.395,0.326,0.469,0.429,0.073,0.497,0.864,0.299,2.8,0.548,0.576
hex_constants,alt2nat,alt,nat,1,alt2nat_top2,21,4.0,,177,0.35,0.284,0.423,0.384,0.085,0.531,0.876,0.35,2.8,0.548,0.576
float_literals,nat2alt,nat,alt,1,base,0,0.0,,162,0.154,0.107,0.218,0.179,0.5,0.321,0.852,0.259,2.5,0.321,0.457
float_literals,nat2alt,nat,alt,1,nat2alt_top1,16,2.0,,162,0.327,0.26,0.403,0.383,0.296,0.321,0.784,0.352,2.5,0.321,0.457
float_literals,nat2alt,nat,alt,1,nat2alt_top2,14,4.0,,162,0.34,0.271,0.415,0.432,0.167,0.401,0.735,0.34,2.5,0.321,0.457
float_literals,alt2nat,alt,nat,1,base,0,0.0,,157,0.242,0.182,0.315,0.268,0.395,0.338,0.822,0.325,1.0,0.457,0.321
float_literals,alt2nat,alt,nat,1,alt2nat_top1,14,2.0,,157,0.363,0.292,0.441,0.414,0.127,0.459,0.803,0.306,1.0,0.457,0.321
float_literals,alt2nat,alt,nat,1,alt2nat_top2,7,1.0,,157,0.369,0.298,0.447,0.42,0.185,0.395,0.758,0.363,1.0,0.457,0.321
sql_bool_case,nat2alt,nat,alt,1,base,0,0.0,,133,0.0,-0.0,0.028,0.0,0.947,0.053,0.977,0.278,1.0,0.94,0.91
sql_bool_case,nat2alt,nat,alt,1,nat2alt_top1,5,1.0,,133,0.932,0.876,0.964,0.94,0.015,0.045,0.992,0.323,1.0,0.94,0.91
sql_bool_case,nat2alt,nat,alt,1,nat2alt_top2,16,1.0,,133,0.932,0.876,0.964,0.932,0.008,0.06,0.97,0.398,1.0,0.94,0.91
sql_bool_case,alt2nat,alt,nat,1,base,0,0.0,,133,0.015,0.004,0.053,0.015,0.932,0.053,0.992,0.353,1.0,0.91,0.94
sql_bool_case,alt2nat,alt,nat,1,alt2nat_top1,5,1.0,,133,0.925,0.867,0.959,0.932,0.015,0.053,0.977,0.338,1.0,0.91,0.94
sql_bool_case,alt2nat,alt,nat,1,alt2nat_top2,14,1.0,,133,0.857,0.788,0.907,0.857,0.068,0.075,0.977,0.331,1.0,0.91,0.94
py2_print,nat2alt,nat,alt,1,base,0,0.0,,200,0.005,0.001,0.028,0.01,0.455,0.535,0.885,0.43,1.0,0.34,0.37
py2_print,nat2alt,nat,alt,1,nat2alt_top1,2,4.0,,200,0.355,0.292,0.423,0.455,0.01,0.535,0.75,0.55,1.0,0.34,0.37
py2_print,nat2alt,nat,alt,1,nat2alt_top2,4,4.0,,200,0.33,0.269,0.398,0.425,0.035,0.54,0.72,0.615,1.0,0.34,0.37
py2_print,alt2nat,alt,nat,1,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.415,0.585,0.78,0.495,1.0,0.37,0.34
py2_print,alt2nat,alt,nat,1,alt2nat_top1,6,4.0,,200,0.355,0.292,0.423,0.435,0.005,0.56,0.73,0.475,1.0,0.37,0.34
py2_print,alt2nat,alt,nat,1,alt2nat_top2,10,2.0,,200,0.23,0.177,0.293,0.28,0.13,0.59,0.755,0.425,1.0,0.37,0.34
py2_iter,nat2alt,nat,alt,1,base,0,0.0,,144,0.0,0.0,0.026,0.0,0.826,0.174,0.826,0.299,1.2,0.333,0.674
py2_iter,nat2alt,nat,alt,1,nat2alt_top1,1,4.0,,144,0.403,0.326,0.484,0.479,0.278,0.243,0.785,0.271,1.2,0.333,0.674
py2_iter,nat2alt,nat,alt,1,nat2alt_top2,1,2.0,,144,0.368,0.294,0.449,0.458,0.326,0.215,0.826,0.292,1.2,0.333,0.674
py2_iter,alt2nat,alt,nat,1,base,0,0.0,,144,0.271,0.205,0.349,0.292,0.507,0.201,0.882,0.285,1.1,0.674,0.333
py2_iter,alt2nat,alt,nat,1,alt2nat_top1,2,2.0,,144,0.681,0.601,0.751,0.778,0.007,0.215,0.854,0.201,1.1,0.674,0.333
py2_iter,alt2nat,alt,nat,1,alt2nat_top2,6,1.0,,144,0.674,0.593,0.745,0.792,0.0,0.208,0.847,0.257,1.1,0.674,0.333
py2_except,nat2alt,nat,alt,1,base,0,0.0,,177,0.0,0.0,0.021,0.0,0.836,0.164,1.0,0.085,1.0,0.757,0.819
py2_except,nat2alt,nat,alt,1,nat2alt_top1,9,2.0,,177,0.802,0.737,0.854,0.847,0.0,0.153,0.955,0.107,1.0,0.757,0.819
py2_except,nat2alt,nat,alt,1,nat2alt_top2,12,2.0,,177,0.718,0.647,0.779,0.757,0.011,0.232,0.955,0.136,1.0,0.757,0.819
py2_except,alt2nat,alt,nat,1,base,0,0.0,,177,0.051,0.027,0.094,0.051,0.734,0.215,0.994,0.068,1.0,0.819,0.757
py2_except,alt2nat,alt,nat,1,alt2nat_top1,1,4.0,,177,0.847,0.787,0.893,0.853,0.0,0.147,0.983,0.13,1.0,0.819,0.757
py2_except,alt2nat,alt,nat,1,alt2nat_top2,5,4.0,,177,0.864,0.806,0.907,0.87,0.0,0.13,0.989,0.107,1.0,0.819,0.757
js_var,nat2alt,nat,alt,1,base,0,0.0,,200,0.01,0.003,0.036,0.01,0.675,0.315,0.88,0.37,1.0,0.41,0.64
js_var,nat2alt,nat,alt,1,nat2alt_top1,21,4.0,,200,0.435,0.368,0.504,0.505,0.13,0.365,0.83,0.525,1.0,0.41,0.64
js_var,nat2alt,nat,alt,1,nat2alt_top2,23,4.0,,200,0.52,0.451,0.588,0.57,0.09,0.34,0.86,0.365,1.0,0.41,0.64
js_var,alt2nat,alt,nat,1,base,0,0.0,,200,0.185,0.137,0.245,0.205,0.43,0.365,0.845,0.495,1.0,0.64,0.41
js_var,alt2nat,alt,nat,1,alt2nat_top1,2,1.0,,200,0.61,0.541,0.675,0.66,0.0,0.34,0.875,0.435,1.0,0.64,0.41
js_var,alt2nat,alt,nat,1,alt2nat_top2,5,2.0,,200,0.595,0.526,0.661,0.67,0.0,0.33,0.85,0.37,1.0,0.64,0.41
js_arrow,nat2alt,nat,alt,1,base,0,0.0,,193,0.005,0.001,0.029,0.005,0.803,0.192,0.876,0.326,1.6,0.219,0.724
js_arrow,nat2alt,nat,alt,1,nat2alt_top1,1,4.0,,193,0.14,0.098,0.196,0.197,0.244,0.56,0.731,0.347,1.6,0.219,0.724
js_arrow,nat2alt,nat,alt,1,nat2alt_top2,5,4.0,,193,0.135,0.094,0.19,0.187,0.321,0.492,0.694,0.389,1.6,0.219,0.724
js_arrow,alt2nat,alt,nat,1,base,0,0.0,,196,0.199,0.149,0.26,0.24,0.184,0.577,0.811,0.372,2.6,0.724,0.219
js_arrow,alt2nat,alt,nat,1,alt2nat_top1,1,4.0,,196,0.587,0.517,0.653,0.862,0.0,0.138,0.684,0.327,2.6,0.724,0.219
js_arrow,alt2nat,alt,nat,1,alt2nat_top2,2,4.0,,196,0.648,0.579,0.711,0.878,0.0,0.122,0.735,0.372,2.6,0.724,0.219
js_semicolons,nat2alt,nat,alt,1,base,0,0.0,,146,0.034,0.015,0.078,0.034,0.76,0.205,0.959,0.233,1.1,0.651,0.712
js_semicolons,nat2alt,nat,alt,1,nat2alt_top1,24,4.0,,146,0.637,0.556,0.711,0.719,0.021,0.26,0.788,0.274,1.1,0.651,0.712
js_semicolons,nat2alt,nat,alt,1,nat2alt_top2,8,4.0,,146,0.637,0.556,0.711,0.719,0.075,0.205,0.836,0.329,1.1,0.651,0.712
js_semicolons,alt2nat,alt,nat,1,base,0,0.0,,146,0.089,0.053,0.146,0.089,0.726,0.185,0.836,0.253,1.1,0.712,0.651
js_semicolons,alt2nat,alt,nat,1,alt2nat_top1,3,4.0,,146,0.685,0.606,0.755,0.733,0.034,0.233,0.911,0.24,1.1,0.712,0.651
js_semicolons,alt2nat,alt,nat,1,alt2nat_top2,1,2.0,,146,0.726,0.649,0.792,0.753,0.027,0.219,0.904,0.219,1.1,0.712,0.651
js_strict_eq,nat2alt,nat,alt,1,base,0,0.0,,107,0.0,0.0,0.035,0.009,0.916,0.075,0.916,0.299,1.0,0.57,0.897
js_strict_eq,nat2alt,nat,alt,1,nat2alt_top1,24,4.0,,107,0.85,0.771,0.906,0.869,0.047,0.084,0.972,0.308,1.0,0.57,0.897
js_strict_eq,nat2alt,nat,alt,1,nat2alt_top2,13,4.0,,107,0.673,0.579,0.754,0.729,0.187,0.084,0.935,0.439,1.0,0.57,0.897
js_strict_eq,alt2nat,alt,nat,1,base,0,0.0,,107,0.252,0.18,0.342,0.262,0.654,0.084,0.944,0.308,1.0,0.897,0.57
js_strict_eq,alt2nat,alt,nat,1,alt2nat_top1,2,4.0,,107,0.822,0.739,0.883,0.907,0.009,0.084,0.907,0.402,1.0,0.897,0.57
js_strict_eq,alt2nat,alt,nat,1,alt2nat_top2,13,4.0,,107,0.869,0.792,0.92,0.879,0.028,0.093,0.963,0.346,1.0,0.897,0.57
trailing_commas,nat2alt,nat,alt,1,base,0,0.0,,130,0.346,0.27,0.431,0.362,0.5,0.138,0.938,0.331,1.1,0.608,0.538
trailing_commas,nat2alt,nat,alt,1,nat2alt_top1,0,2.0,,130,0.662,0.577,0.737,0.692,0.162,0.146,0.938,0.315,1.1,0.608,0.538
trailing_commas,nat2alt,nat,alt,1,nat2alt_top2,2,2.0,,130,0.638,0.553,0.716,0.669,0.185,0.146,0.931,0.231,1.1,0.608,0.538
trailing_commas,alt2nat,alt,nat,1,base,0,0.0,,130,0.169,0.114,0.243,0.169,0.708,0.123,0.938,0.315,1.0,0.538,0.608
trailing_commas,alt2nat,alt,nat,1,alt2nat_top1,1,1.0,,130,0.346,0.27,0.431,0.369,0.469,0.162,0.931,0.331,1.0,0.538,0.608
trailing_commas,alt2nat,alt,nat,1,alt2nat_top2,4,4.0,,130,0.408,0.327,0.494,0.454,0.415,0.131,0.892,0.308,1.0,0.538,0.608
py_paren_if,nat2alt,nat,alt,1,base,0,0.0,,199,0.0,0.0,0.019,0.0,0.789,0.211,0.94,0.467,1.0,0.452,0.653
py_paren_if,nat2alt,nat,alt,1,nat2alt_top1,0,4.0,,199,0.196,0.147,0.257,0.362,0.236,0.402,0.573,0.477,1.0,0.452,0.653
py_paren_if,nat2alt,nat,alt,1,nat2alt_top2,8,4.0,,199,0.256,0.201,0.321,0.352,0.347,0.302,0.704,0.457,1.0,0.452,0.653
py_paren_if,alt2nat,alt,nat,1,base,0,0.0,,199,0.186,0.138,0.246,0.216,0.492,0.291,0.859,0.482,1.1,0.653,0.452
py_paren_if,alt2nat,alt,nat,1,alt2nat_top1,2,2.0,,199,0.578,0.508,0.644,0.719,0.015,0.266,0.839,0.422,1.1,0.653,0.452
py_paren_if,alt2nat,alt,nat,1,alt2nat_top2,2,4.0,,199,0.583,0.513,0.649,0.739,0.005,0.256,0.794,0.467,1.1,0.653,0.452
py_type_hints,nat2alt,nat,alt,1,base,0,0.0,,192,0.318,0.256,0.387,0.344,0.443,0.214,0.927,0.427,4.9,0.734,0.406
py_type_hints,nat2alt,nat,alt,1,nat2alt_top1,12,4.0,,192,0.589,0.518,0.656,0.625,0.005,0.37,0.901,0.333,4.9,0.734,0.406
py_type_hints,nat2alt,nat,alt,1,nat2alt_top2,19,2.0,,192,0.677,0.608,0.739,0.714,0.021,0.266,0.932,0.37,4.9,0.734,0.406
py_type_hints,alt2nat,alt,nat,1,base,0,0.0,,192,0.005,0.001,0.029,0.005,0.76,0.234,0.948,0.411,1.0,0.406,0.734
py_type_hints,alt2nat,alt,nat,1,alt2nat_top1,4,2.0,,192,0.365,0.3,0.435,0.38,0.401,0.219,0.953,0.443,1.0,0.406,0.734
py_type_hints,alt2nat,alt,nat,1,alt2nat_top2,10,2.0,,192,0.312,0.251,0.381,0.323,0.469,0.208,0.948,0.453,1.0,0.406,0.734
py_optional,nat2alt,nat,alt,1,base,0,0.0,,191,0.01,0.003,0.037,0.01,0.194,0.796,0.932,0.466,1.0,0.571,0.188
py_optional,nat2alt,nat,alt,1,nat2alt_top1,25,0.5,,191,0.0,0.0,0.02,0.0,0.194,0.806,0.942,0.492,1.0,0.571,0.188
py_optional,nat2alt,nat,alt,1,nat2alt_top2,8,1.0,,191,0.005,0.001,0.029,0.005,0.209,0.785,0.937,0.414,1.0,0.571,0.188
py_optional,alt2nat,alt,nat,1,base,0,0.0,,191,0.073,0.044,0.119,0.079,0.565,0.356,0.948,0.445,3.9,0.188,0.571
py_optional,alt2nat,alt,nat,1,alt2nat_top1,13,4.0,,191,0.351,0.287,0.421,0.377,0.0,0.623,0.921,0.414,3.9,0.188,0.571
py_optional,alt2nat,alt,nat,1,alt2nat_top2,14,4.0,,191,0.335,0.272,0.405,0.361,0.01,0.628,0.901,0.445,3.9,0.188,0.571
py_builtin_generics,nat2alt,nat,alt,1,base,0,0.0,,113,0.221,0.155,0.306,0.239,0.23,0.531,0.947,0.469,1.0,0.788,0.257
py_builtin_generics,nat2alt,nat,alt,1,nat2alt_top1,0,4.0,,113,0.442,0.354,0.534,0.487,0.168,0.345,0.876,0.451,1.0,0.788,0.257
py_builtin_generics,nat2alt,nat,alt,1,nat2alt_top2,7,2.0,,113,0.301,0.224,0.391,0.319,0.23,0.451,0.947,0.389,1.0,0.788,0.257
py_builtin_generics,alt2nat,alt,nat,1,base,0,0.0,,113,0.009,0.002,0.048,0.009,0.903,0.088,0.912,0.478,7.4,0.257,0.788
