family,arm,alpha,ctrl_family,exec_cos,real_shift_exec_cos,exec_cos_fp16,cf_exec_cos_fp16,dircos
blank_lines,read,1.0,line_wrap,0.9441,0.9414,0.9441,0.9414,0.9928
blank_lines,read,2.0,line_wrap,0.935,0.9414,0.935,0.9414,0.9879
blank_lines,read,4.0,line_wrap,0.9065,0.9414,0.9065,0.9414,0.9572
blank_lines,read,8.0,line_wrap,0.8513,0.9414,0.8513,0.9414,0.8979
blank_lines,ctrl_family,0.5,line_wrap,0.1016,0.9414,0.1016,0.9414,0.1269
blank_lines,ctrl_family,1.0,line_wrap,0.0957,0.9414,0.0957,0.9414,0.1247
blank_lines,ctrl_family,2.0,line_wrap,0.2012,0.9414,0.2012,0.9414,0.2362
blank_lines,ctrl_family,4.0,line_wrap,0.2693,0.9414,0.2693,0.9414,0.3089
blank_lines,ctrl_family,8.0,line_wrap,0.5236,0.9414,0.5236,0.9414,0.5628
blank_lines,ctrl_random,0.5,line_wrap,0.0638,0.9414,0.0638,0.9414,0.0668
blank_lines,ctrl_random,1.0,line_wrap,0.0538,0.9414,0.0538,0.9414,0.0554
blank_lines,ctrl_random,2.0,line_wrap,-0.0269,0.9414,-0.0269,0.9414,-0.0289
blank_lines,ctrl_random,4.0,line_wrap,-0.0944,0.9414,-0.0944,0.9414,-0.0929
blank_lines,ctrl_random,8.0,line_wrap,0.3941,0.9414,0.3941,0.9414,0.4302
c_comment_style,read,0.5,js_quotes,0.5285,0.6644,0.5285,0.6644,0.7033
c_comment_style,read,1.0,js_quotes,0.6264,0.6644,0.6264,0.6644,0.8001
c_comment_style,read,2.0,js_quotes,0.6714,0.6644,0.6714,0.6644,0.8168
c_comment_style,read,4.0,js_quotes,0.6127,0.6644,0.6127,0.6644,0.7048
c_comment_style,read,8.0,js_quotes,0.3641,0.6644,0.3641,0.6644,0.4353
c_comment_style,ctrl_family,0.5,js_quotes,-0.0696,0.6644,-0.0696,0.6644,-0.0255
c_comment_style,ctrl_family,1.0,js_quotes,-0.0592,0.6644,-0.0592,0.6644,-0.0165
c_comment_style,ctrl_family,2.0,js_quotes,-0.0387,0.6644,-0.0387,0.6644,-0.0113
c_comment_style,ctrl_family,4.0,js_quotes,-0.0199,0.6644,-0.0199,0.6644,0.0066
c_comment_style,ctrl_family,8.0,js_quotes,-0.0252,0.6644,-0.0252,0.6644,-0.0029
c_comment_style,ctrl_random,0.5,js_quotes,-0.0176,0.6644,-0.0176,0.6644,-0.0018
c_comment_style,ctrl_random,1.0,js_quotes,-0.0111,0.6644,-0.0111,0.6644,0.0131
c_comment_style,ctrl_random,2.0,js_quotes,0.0118,0.6644,0.0118,0.6644,0.0757
c_comment_style,ctrl_random,4.0,js_quotes,0.0336,0.6644,0.0336,0.6644,0.0901
c_comment_style,ctrl_random,8.0,js_quotes,0.0864,0.6644,0.0864,0.6644,0.0919
comma_space,read,0.5,py_const_naming,0.4187,0.561,0.4187,0.561,0.6126
comma_space,read,1.0,py_const_naming,0.5354,0.561,0.5354,0.561,0.8501
comma_space,read,2.0,py_const_naming,0.5294,0.561,0.5294,0.561,0.8412
comma_space,read,4.0,py_const_naming,0.4752,0.561,0.4752,0.561,0.7497
comma_space,read,8.0,py_const_naming,0.4121,0.561,0.4121,0.561,0.6407
comma_space,ctrl_family,0.5,py_const_naming,0.0873,0.561,0.0873,0.561,0.1
comma_space,ctrl_family,1.0,py_const_naming,0.1264,0.561,0.1264,0.561,0.1593
comma_space,ctrl_family,2.0,py_const_naming,0.1902,0.561,0.1902,0.561,0.3199
comma_space,ctrl_family,4.0,py_const_naming,0.2016,0.561,0.2016,0.561,0.3605
comma_space,ctrl_family,8.0,py_const_naming,0.1659,0.561,0.1659,0.561,0.2923
comma_space,ctrl_random,0.5,py_const_naming,0.0132,0.561,0.0132,0.561,0.0376
comma_space,ctrl_random,1.0,py_const_naming,0.0273,0.561,0.0273,0.561,0.0611
comma_space,ctrl_random,2.0,py_const_naming,0.0266,0.561,0.0266,0.561,0.0618
comma_space,ctrl_random,4.0,py_const_naming,0.0145,0.561,0.0145,0.561,0.0876
comma_space,ctrl_random,8.0,py_const_naming,0.0453,0.561,0.0453,0.561,0.1607
comment_case,read,0.5,trailing_commas,0.4274,0.9373,0.4274,0.9373,0.4844
comment_case,read,1.0,trailing_commas,0.6025,0.9373,0.6025,0.9373,0.6671
comment_case,read,2.0,trailing_commas,0.8029,0.9373,0.8029,0.9373,0.8582
comment_case,read,4.0,trailing_commas,0.9114,0.9373,0.9114,0.9373,0.9522
comment_case,read,8.0,trailing_commas,0.8464,0.9373,0.8464,0.9373,0.8936
comment_case,ctrl_family,0.5,trailing_commas,0.0563,0.9373,0.0563,0.9373,0.1001
comment_case,ctrl_family,1.0,trailing_commas,0.077,0.9373,0.077,0.9373,0.125
comment_case,ctrl_family,2.0,trailing_commas,0.093,0.9373,0.093,0.9373,0.1348
comment_case,ctrl_family,4.0,trailing_commas,0.1269,0.9373,0.1269,0.9373,0.143
comment_case,ctrl_family,8.0,trailing_commas,0.1591,0.9373,0.1591,0.9373,0.1691
comment_case,ctrl_random,0.5,trailing_commas,-0.0165,0.9373,-0.0165,0.9373,-0.0003
comment_case,ctrl_random,1.0,trailing_commas,-0.0006,0.9373,-0.0006,0.9373,0.0149
comment_case,ctrl_random,2.0,trailing_commas,-0.0157,0.9373,-0.0157,0.9373,-0.0011
comment_case,ctrl_random,4.0,trailing_commas,-0.0183,0.9373,-0.0183,0.9373,-0.0038
comment_case,ctrl_random,8.0,trailing_commas,-0.0139,0.9373,-0.0139,0.9373,0.0034
comment_language,read,0.5,py_quotes,0.2523,0.7477,0.2523,0.7477,0.3212
comment_language,read,1.0,py_quotes,0.6487,0.7477,0.6487,0.7477,0.7454
comment_language,read,2.0,py_quotes,0.6792,0.7477,0.6792,0.7477,0.7817
comment_language,read,4.0,py_quotes,0.512,0.7477,0.512,0.7477,0.6429
comment_language,read,8.0,py_quotes,0.294,0.7477,0.294,0.7477,0.4723
comment_language,ctrl_family,0.5,py_quotes,0.0067,0.7477,0.0067,0.7477,0.0605
comment_language,ctrl_family,1.0,py_quotes,0.0039,0.7477,0.0039,0.7477,0.0614
comment_language,ctrl_family,2.0,py_quotes,0.0194,0.7477,0.0194,0.7477,0.0995
comment_language,ctrl_family,4.0,py_quotes,0.0881,0.7477,0.0881,0.7477,0.2589
comment_language,ctrl_family,8.0,py_quotes,0.1073,0.7477,0.1073,0.7477,0.2794
comment_language,ctrl_random,0.5,py_quotes,-0.0035,0.7477,-0.0035,0.7477,-0.0463
comment_language,ctrl_random,1.0,py_quotes,0.0061,0.7477,0.0061,0.7477,-0.0393
comment_language,ctrl_random,2.0,py_quotes,0.0234,0.7477,0.0234,0.7477,-0.0085
comment_language,ctrl_random,4.0,py_quotes,0.0453,0.7477,0.0453,0.7477,0.0769
comment_language,ctrl_random,8.0,py_quotes,0.0898,0.7477,0.0898,0.7477,0.2598
docstring_quotes,read,0.5,py_literal_ctor,0.7975,0.7995,0.7975,0.7995,0.8038
docstring_quotes,read,1.0,py_literal_ctor,0.8596,0.7995,0.8596,0.7995,0.8622
docstring_quotes,read,2.0,py_literal_ctor,0.8634,0.7995,0.8634,0.7995,0.8738
docstring_quotes,read,4.0,py_literal_ctor,0.7972,0.7995,0.7972,0.7995,0.8092
docstring_quotes,read,8.0,py_literal_ctor,0.3854,0.7995,0.3854,0.7995,0.4199
docstring_quotes,ctrl_family,0.5,py_literal_ctor,0.077,0.7995,0.077,0.7995,0.1019
docstring_quotes,ctrl_family,1.0,py_literal_ctor,0.0875,0.7995,0.0875,0.7995,0.1266
docstring_quotes,ctrl_family,2.0,py_literal_ctor,0.1156,0.7995,0.1156,0.7995,0.1671
docstring_quotes,ctrl_family,4.0,py_literal_ctor,0.1194,0.7995,0.1194,0.7995,0.1595
docstring_quotes,ctrl_family,8.0,py_literal_ctor,0.1068,0.7995,0.1068,0.7995,0.1366
docstring_quotes,ctrl_random,0.5,py_literal_ctor,0.0431,0.7995,0.0431,0.7995,0.0515
docstring_quotes,ctrl_random,1.0,py_literal_ctor,0.0508,0.7995,0.0508,0.7995,0.0679
docstring_quotes,ctrl_random,2.0,py_literal_ctor,0.0617,0.7995,0.0617,0.7995,0.0975
docstring_quotes,ctrl_random,4.0,py_literal_ctor,0.0761,0.7995,0.0761,0.7995,0.1488
docstring_quotes,ctrl_random,8.0,py_literal_ctor,0.0999,0.7995,0.0999,0.7995,0.1332
docstring_style,read,0.5,line_wrap,0.169,0.925,0.169,0.925,0.2338
docstring_style,read,1.0,line_wrap,0.1889,0.925,0.1889,0.925,0.2629
docstring_style,read,2.0,line_wrap,0.2126,0.925,0.2126,0.925,0.2963
docstring_style,read,4.0,line_wrap,0.2584,0.925,0.2584,0.925,0.3482
docstring_style,read,8.0,line_wrap,0.3376,0.925,0.3376,0.925,0.4208
docstring_style,ctrl_family,0.5,line_wrap,0.0449,0.925,0.0449,0.925,0.0559
docstring_style,ctrl_family,1.0,line_wrap,0.0434,0.925,0.0434,0.925,0.0787
docstring_style,ctrl_family,2.0,line_wrap,0.048,0.925,0.048,0.925,0.1195
docstring_style,ctrl_family,4.0,line_wrap,0.065,0.925,0.065,0.925,0.1443
docstring_style,ctrl_family,8.0,line_wrap,0.2193,0.925,0.2193,0.925,0.2745
docstring_style,ctrl_random,0.5,line_wrap,0.0615,0.925,0.0615,0.925,0.0491
docstring_style,ctrl_random,1.0,line_wrap,0.0573,0.925,0.0573,0.925,0.0371
docstring_style,ctrl_random,2.0,line_wrap,0.0547,0.925,0.0547,0.925,0.0389
docstring_style,ctrl_random,4.0,line_wrap,0.0565,0.925,0.0565,0.925,0.0546
docstring_style,ctrl_random,8.0,line_wrap,0.0711,0.925,0.0711,0.925,0.1004
float_literals,read,0.5,py_type_hints,0.2894,0.3543,0.2894,0.3543,0.373
float_literals,read,1.0,py_type_hints,0.4023,0.3543,0.4023,0.3543,0.5848
float_literals,read,2.0,py_type_hints,0.4086,0.3543,0.4086,0.3543,0.6471
float_literals,read,4.0,py_type_hints,0.3669,0.3543,0.3669,0.3543,0.5838
float_literals,read,8.0,py_type_hints,0.3292,0.3543,0.3292,0.3543,0.5304
float_literals,ctrl_family,0.5,py_type_hints,0.0368,0.3543,0.0368,0.3543,0.0582
float_literals,ctrl_family,1.0,py_type_hints,0.0942,0.3543,0.0942,0.3543,0.2018
float_literals,ctrl_family,2.0,py_type_hints,0.1279,0.3543,0.1279,0.3543,0.2669
float_literals,ctrl_family,4.0,py_type_hints,0.0884,0.3543,0.0884,0.3543,0.2153
float_literals,ctrl_family,8.0,py_type_hints,0.0647,0.3543,0.0647,0.3543,0.213
float_literals,ctrl_random,0.5,py_type_hints,0.0003,0.3543,0.0003,0.3543,0.0279
float_literals,ctrl_random,1.0,py_type_hints,0.0068,0.3543,0.0068,0.3543,0.0603
float_literals,ctrl_random,2.0,py_type_hints,0.032,0.3543,0.032,0.3543,0.1225
float_literals,ctrl_random,4.0,py_type_hints,0.0362,0.3543,0.0362,0.3543,0.1631
float_literals,ctrl_random,8.0,py_type_hints,0.0824,0.3543,0.0824,0.3543,0.305
hex_constants,read,0.5,js_quotes,0.1961,0.5471,0.1961,0.5471,0.29
hex_constants,read,1.0,js_quotes,0.3229,0.5471,0.3229,0.5471,0.5374
hex_constants,read,2.0,js_quotes,0.5044,0.5471,0.5044,0.5471,0.7909
hex_constants,read,4.0,js_quotes,0.51,0.5471,0.51,0.5471,0.7588
hex_constants,read,8.0,js_quotes,0.4375,0.5471,0.4375,0.5471,0.6212
hex_constants,ctrl_family,0.5,js_quotes,0.0338,0.5471,0.0338,0.5471,0.0984
hex_constants,ctrl_family,1.0,js_quotes,0.0783,0.5471,0.0783,0.5471,0.1619
hex_constants,ctrl_family,2.0,js_quotes,0.0802,0.5471,0.0802,0.5471,0.23
hex_constants,ctrl_family,4.0,js_quotes,0.1286,0.5471,0.1286,0.5471,0.3318
hex_constants,ctrl_family,8.0,js_quotes,0.1686,0.5471,0.1686,0.5471,0.3982
hex_constants,ctrl_random,0.5,js_quotes,0.0449,0.5471,0.0449,0.5471,0.1073
hex_constants,ctrl_random,1.0,js_quotes,0.0273,0.5471,0.0273,0.5471,0.1089
hex_constants,ctrl_random,2.0,js_quotes,0.0733,0.5471,0.0733,0.5471,0.2041
hex_constants,ctrl_random,4.0,js_quotes,0.1896,0.5471,0.1896,0.5471,0.3813
hex_constants,ctrl_random,8.0,js_quotes,0.1304,0.5471,0.1304,0.5471,0.2972
js_arrow,read,0.5,c_comment_style,0.4315,0.8376,0.4315,0.8376,0.4883
js_arrow,read,1.0,c_comment_style,0.4756,0.8376,0.4756,0.8376,0.5448
js_arrow,read,2.0,c_comment_style,0.5577,0.8376,0.5577,0.8376,0.6424
js_arrow,read,4.0,c_comment_style,0.6157,0.8376,0.6157,0.8376,0.6958
js_arrow,read,8.0,c_comment_style,0.5595,0.8376,0.5595,0.8376,0.6226
js_arrow,ctrl_family,0.5,c_comment_style,0.0353,0.8376,0.0353,0.8376,0.0742
js_arrow,ctrl_family,1.0,c_comment_style,0.0917,0.8376,0.0917,0.8376,0.1424
js_arrow,ctrl_family,2.0,c_comment_style,0.165,0.8376,0.165,0.8376,0.2236
js_arrow,ctrl_family,4.0,c_comment_style,0.1988,0.8376,0.1988,0.8376,0.2651
js_arrow,ctrl_family,8.0,c_comment_style,0.2034,0.8376,0.2034,0.8376,0.2803
js_arrow,ctrl_random,0.5,c_comment_style,-0.036,0.8376,-0.036,0.8376,-0.0202
js_arrow,ctrl_random,1.0,c_comment_style,-0.0455,0.8376,-0.0455,0.8376,-0.0321
js_arrow,ctrl_random,2.0,c_comment_style,-0.0546,0.8376,-0.0546,0.8376,-0.0377
js_arrow,ctrl_random,4.0,c_comment_style,-0.039,0.8376,-0.039,0.8376,-0.0007
js_arrow,ctrl_random,8.0,c_comment_style,0.0376,0.8376,0.0376,0.8376,0.0891
js_camel_snake,read,0.5,js_func_pascal,0.7415,0.8088,0.7415,0.8088,0.8472
js_camel_snake,read,1.0,js_func_pascal,0.8398,0.8088,0.8398,0.8088,0.9196
js_camel_snake,read,2.0,js_func_pascal,0.8381,0.8088,0.8381,0.8088,0.9353
js_camel_snake,read,4.0,js_func_pascal,0.7222,0.8088,0.7222,0.8088,0.8434
js_camel_snake,read,8.0,js_func_pascal,0.5981,0.8088,0.5981,0.8088,0.7004
js_camel_snake,ctrl_family,0.5,js_func_pascal,-0.0116,0.8088,-0.0116,0.8088,0.0708
js_camel_snake,ctrl_family,1.0,js_func_pascal,0.1157,0.8088,0.1157,0.8088,0.2255
js_camel_snake,ctrl_family,2.0,js_func_pascal,0.231,0.8088,0.231,0.8088,0.3505
js_camel_snake,ctrl_family,4.0,js_func_pascal,0.3719,0.8088,0.3719,0.8088,0.4565
js_camel_snake,ctrl_family,8.0,js_func_pascal,0.4332,0.8088,0.4332,0.8088,0.4782
js_camel_snake,ctrl_random,0.5,js_func_pascal,0.0598,0.8088,0.0598,0.8088,0.0912
js_camel_snake,ctrl_random,1.0,js_func_pascal,0.0817,0.8088,0.0817,0.8088,0.1079
js_camel_snake,ctrl_random,2.0,js_func_pascal,0.1097,0.8088,0.1097,0.8088,0.1307
js_camel_snake,ctrl_random,4.0,js_func_pascal,0.1501,0.8088,0.1501,0.8088,0.197
js_camel_snake,ctrl_random,8.0,js_func_pascal,0.1408,0.8088,0.1408,0.8088,0.174
js_func_pascal,read,0.5,c_comment_style,0.7267,0.7653,0.7267,0.7653,0.8656
js_func_pascal,read,1.0,c_comment_style,0.7754,0.7653,0.7754,0.7653,0.939
js_func_pascal,read,2.0,c_comment_style,0.7523,0.7653,0.7523,0.7653,0.9325
js_func_pascal,read,4.0,c_comment_style,0.6553,0.7653,0.6553,0.7653,0.8304
js_func_pascal,read,8.0,c_comment_style,0.4227,0.7653,0.4227,0.7653,0.5652
js_func_pascal,ctrl_family,0.5,c_comment_style,0.0218,0.7653,0.0218,0.7653,0.0932
js_func_pascal,ctrl_family,1.0,c_comment_style,0.0345,0.7653,0.0345,0.7653,0.121
js_func_pascal,ctrl_family,2.0,c_comment_style,0.0541,0.7653,0.0541,0.7653,0.158
js_func_pascal,ctrl_family,4.0,c_comment_style,0.082,0.7653,0.082,0.7653,0.1903
js_func_pascal,ctrl_family,8.0,c_comment_style,0.1035,0.7653,0.1035,0.7653,0.1974
js_func_pascal,ctrl_random,0.5,c_comment_style,-0.0237,0.7653,-0.0237,0.7653,0.0182
js_func_pascal,ctrl_random,1.0,c_comment_style,-0.0279,0.7653,-0.0279,0.7653,0.0081
js_func_pascal,ctrl_random,2.0,c_comment_style,-0.0175,0.7653,-0.0175,0.7653,0.0306
js_func_pascal,ctrl_random,4.0,c_comment_style,-0.0069,0.7653,-0.0069,0.7653,0.0451
js_func_pascal,ctrl_random,8.0,c_comment_style,0.056,0.7653,0.056,0.7653,0.1332
js_quotes,read,0.5,js_strict_eq,0.7033,0.7311,0.7033,0.7311,0.8015
js_quotes,read,1.0,js_strict_eq,0.7697,0.7311,0.7697,0.7311,0.8655
js_quotes,read,2.0,js_strict_eq,0.7708,0.7311,0.7708,0.7311,0.8638
js_quotes,read,4.0,js_strict_eq,0.7043,0.7311,0.7043,0.7311,0.7973
js_quotes,read,8.0,js_strict_eq,0.4967,0.7311,0.4967,0.7311,0.5504
js_quotes,ctrl_family,0.5,js_strict_eq,-0.1805,0.7311,-0.1805,0.7311,-0.2095
js_quotes,ctrl_family,1.0,js_strict_eq,-0.1561,0.7311,-0.1561,0.7311,-0.1777
js_quotes,ctrl_family,2.0,js_strict_eq,-0.1041,0.7311,-0.1041,0.7311,-0.1126
js_quotes,ctrl_family,4.0,js_strict_eq,-0.0649,0.7311,-0.0649,0.7311,-0.0768
js_quotes,ctrl_family,8.0,js_strict_eq,0.0026,0.7311,0.0026,0.7311,-0.006
js_quotes,ctrl_random,0.5,js_strict_eq,0.0184,0.7311,0.0184,0.7311,0.066
js_quotes,ctrl_random,1.0,js_strict_eq,0.0272,0.7311,0.0272,0.7311,0.0785
js_quotes,ctrl_random,2.0,js_strict_eq,0.0308,0.7311,0.0308,0.7311,0.0743
js_quotes,ctrl_random,4.0,js_strict_eq,0.0213,0.7311,0.0213,0.7311,0.0561
js_quotes,ctrl_random,8.0,js_strict_eq,0.0358,0.7311,0.0358,0.7311,0.0598
js_semicolons,read,0.5,js_var,0.6027,0.6925,0.6027,0.6925,0.8147
js_semicolons,read,1.0,js_var,0.6527,0.6925,0.6527,0.6925,0.8885
js_semicolons,read,2.0,js_var,0.6743,0.6925,0.6743,0.6925,0.9188
js_semicolons,read,4.0,js_var,0.6232,0.6925,0.6232,0.6925,0.8378
js_semicolons,read,8.0,js_var,0.5365,0.6925,0.5365,0.6925,0.7165
js_semicolons,ctrl_family,0.5,js_var,0.0747,0.6925,0.0747,0.6925,0.1887
js_semicolons,ctrl_family,1.0,js_var,0.095,0.6925,0.095,0.6925,0.2168
js_semicolons,ctrl_family,2.0,js_var,0.1005,0.6925,0.1005,0.6925,0.1968
js_semicolons,ctrl_family,4.0,js_var,0.1079,0.6925,0.1079,0.6925,0.1598
js_semicolons,ctrl_family,8.0,js_var,0.1283,0.6925,0.1283,0.6925,0.1682
js_semicolons,ctrl_random,0.5,js_var,-0.0161,0.6925,-0.0161,0.6925,0.0071
js_semicolons,ctrl_random,1.0,js_var,-0.0263,0.6925,-0.0263,0.6925,-0.0065
js_semicolons,ctrl_random,2.0,js_var,-0.0313,0.6925,-0.0313,0.6925,0.0015
js_semicolons,ctrl_random,4.0,js_var,0.0065,0.6925,0.0065,0.6925,0.0875
js_semicolons,ctrl_random,8.0,js_var,0.0523,0.6925,0.0523,0.6925,0.1058
js_strict_eq,read,0.5,c_comment_style,0.6035,0.636,0.6035,0.636,0.8138
js_strict_eq,read,1.0,c_comment_style,0.6745,0.636,0.6745,0.636,0.9093
js_strict_eq,read,2.0,c_comment_style,0.7035,0.636,0.7035,0.636,0.8688
js_strict_eq,read,4.0,c_comment_style,0.6959,0.636,0.6959,0.636,0.7117
js_strict_eq,read,8.0,c_comment_style,0.6199,0.636,0.6199,0.636,0.6553
js_strict_eq,ctrl_family,0.5,c_comment_style,-0.1088,0.636,-0.1088,0.636,-0.0465
js_strict_eq,ctrl_family,1.0,c_comment_style,-0.0878,0.636,-0.0878,0.636,0.0212
js_strict_eq,ctrl_family,2.0,c_comment_style,-0.0401,0.636,-0.0401,0.636,0.1214
js_strict_eq,ctrl_family,4.0,c_comment_style,-0.0065,0.636,-0.0065,0.636,0.1286
js_strict_eq,ctrl_family,8.0,c_comment_style,0.0408,0.636,0.0408,0.636,0.1377
js_strict_eq,ctrl_random,0.5,c_comment_style,-0.0448,0.636,-0.0448,0.636,0.0316
js_strict_eq,ctrl_random,1.0,c_comment_style,-0.058,0.636,-0.058,0.636,0.0512
js_strict_eq,ctrl_random,2.0,c_comment_style,-0.0456,0.636,-0.0456,0.636,0.0825
js_strict_eq,ctrl_random,4.0,c_comment_style,0.0332,0.636,0.0332,0.636,0.103
js_strict_eq,ctrl_random,8.0,c_comment_style,0.1565,0.636,0.1565,0.636,0.2011
js_template,read,0.5,js_strict_eq,0.6708,0.7722,0.6708,0.7722,0.7664
js_template,read,1.0,js_strict_eq,0.7098,0.7722,0.7098,0.7722,0.8146
js_template,read,2.0,js_strict_eq,0.7607,0.7722,0.7607,0.7722,0.8818
js_template,read,4.0,js_strict_eq,0.759,0.7722,0.759,0.7722,0.8832
js_template,read,8.0,js_strict_eq,0.6707,0.7722,0.6707,0.7722,0.7965
js_template,ctrl_family,0.5,js_strict_eq,0.2623,0.7722,0.2623,0.7722,0.331
js_template,ctrl_family,1.0,js_strict_eq,0.3456,0.7722,0.3456,0.7722,0.4281
js_template,ctrl_family,2.0,js_strict_eq,0.4098,0.7722,0.4098,0.7722,0.5011
js_template,ctrl_family,4.0,js_strict_eq,0.364,0.7722,0.364,0.7722,0.4555
js_template,ctrl_family,8.0,js_strict_eq,0.3963,0.7722,0.3963,0.7722,0.5029
js_template,ctrl_random,0.5,js_strict_eq,0.0226,0.7722,0.0226,0.7722,0.027
js_template,ctrl_random,1.0,js_strict_eq,0.0456,0.7722,0.0456,0.7722,0.0563
js_template,ctrl_random,2.0,js_strict_eq,0.0793,0.7722,0.0793,0.7722,0.1094
js_template,ctrl_random,4.0,js_strict_eq,0.122,0.7722,0.122,0.7722,0.1535
js_template,ctrl_random,8.0,js_strict_eq,0.244,0.7722,0.244,0.7722,0.3198
js_var,read,0.5,js_func_pascal,0.7552,0.7444,0.7552,0.7444,0.8535
js_var,read,1.0,js_func_pascal,0.794,0.7444,0.794,0.7444,0.9253
js_var,read,2.0,js_func_pascal,0.781,0.7444,0.781,0.7444,0.9148
js_var,read,4.0,js_func_pascal,0.6609,0.7444,0.6609,0.7444,0.7659
js_var,read,8.0,js_func_pascal,0.4954,0.7444,0.4954,0.7444,0.5825
js_var,ctrl_family,0.5,js_func_pascal,0.0192,0.7444,0.0192,0.7444,0.043
js_var,ctrl_family,1.0,js_func_pascal,0.0893,0.7444,0.0893,0.7444,0.1347
js_var,ctrl_family,2.0,js_func_pascal,0.1524,0.7444,0.1524,0.7444,0.2155
js_var,ctrl_family,4.0,js_func_pascal,0.2593,0.7444,0.2593,0.7444,0.3572
js_var,ctrl_family,8.0,js_func_pascal,0.3371,0.7444,0.3371,0.7444,0.4677
js_var,ctrl_random,0.5,js_func_pascal,0.0187,0.7444,0.0187,0.7444,0.087
js_var,ctrl_random,1.0,js_func_pascal,0.0069,0.7444,0.0069,0.7444,0.0935
js_var,ctrl_random,2.0,js_func_pascal,0.0385,0.7444,0.0385,0.7444,0.1372
js_var,ctrl_random,4.0,js_func_pascal,0.1229,0.7444,0.1229,0.7444,0.2091
js_var,ctrl_random,8.0,js_func_pascal,0.2533,0.7444,0.2533,0.7444,0.3693
line_wrap,read,0.5,float_literals,0.1945,0.6902,0.1945,0.6902,0.1858
line_wrap,read,1.0,float_literals,0.3523,0.6902,0.3523,0.6902,0.3573
line_wrap,read,2.0,float_literals,0.5186,0.6902,0.5186,0.6902,0.524
line_wrap,read,4.0,float_literals,0.5593,0.6902,0.5593,0.6902,0.6071
line_wrap,read,8.0,float_literals,0.5685,0.6902,0.5685,0.6902,0.6679
line_wrap,ctrl_family,0.5,float_literals,-0.3082,0.6902,-0.3082,0.6902,-0.3422
line_wrap,ctrl_family,1.0,float_literals,-0.1398,0.6902,-0.1398,0.6902,-0.1321
line_wrap,ctrl_family,2.0,float_literals,-0.0463,0.6902,-0.0463,0.6902,-0.0078
line_wrap,ctrl_family,4.0,float_literals,0.1488,0.6902,0.1488,0.6902,0.2236
line_wrap,ctrl_family,8.0,float_literals,0.1907,0.6902,0.1907,0.6902,0.2637
line_wrap,ctrl_random,0.5,float_literals,0.0843,0.6902,0.0843,0.6902,0.1116
