task,train_metric,test_setting,product,best_layer,best_acc,acc_L9,baseline
antonym,-,test_zeroshot,mean_act,12,0.1667,0.1333,0.0000
antonym,zeroshot,test_sametask_shuffled10,cie10,2,0.7000,0.6333,0.5000
antonym,zeroshot,test_sametask_shuffled10,cie40,3,0.7000,0.6667,0.5000
antonym,zeroshot,test_sametask_shuffled10,sparse,1,0.7000,0.6333,0.5000
antonym,-,test_sametask_shuffled10,mean_act,8,0.5667,0.5667,0.5000
antonym,zeroshot,test_mixedtask10,cie10,11,0.3667,0.2333,0.0000
antonym,zeroshot,test_mixedtask10,cie40,6,0.4667,0.3667,0.0000
antonym,zeroshot,test_mixedtask10,sparse,11,0.2333,0.1000,0.0000
antonym,-,test_mixedtask10,mean_act,11,0.1000,0.0667,0.0000
antonym,sametask_shuffled10,test_zeroshot,cie10,12,0.4000,0.3000,0.0000
antonym,sametask_shuffled10,test_zeroshot,cie40,12,0.4000,0.3000,0.0000
antonym,sametask_shuffled10,test_zeroshot,sparse,3,0.4000,0.3667,0.0000
antonym,sametask_shuffled10,test_sametask_shuffled10,cie10,3,0.7000,0.6333,0.5000
antonym,sametask_shuffled10,test_sametask_shuffled10,cie40,10,0.7000,0.6667,0.5000
antonym,sametask_shuffled10,test_sametask_shuffled10,sparse,10,0.7000,0.6333,0.5000
antonym,sametask_shuffled10,test_mixedtask10,cie10,11,0.4000,0.2000,0.0000
antonym,sametask_shuffled10,test_mixedtask10,cie40,7,0.3667,0.3667,0.0000
antonym,sametask_shuffled10,test_mixedtask10,sparse,6,0.4000,0.4000,0.0000
antonym,mixedtask10,test_zeroshot,cie10,11,0.4000,0.3333,0.0000
antonym,mixedtask10,test_zeroshot,cie40,6,0.4333,0.3000,0.0000
antonym,mixedtask10,test_zeroshot,sparse,9,0.2333,0.2333,0.0000
antonym,mixedtask10,test_sametask_shuffled10,cie10,3,0.7000,0.6333,0.5000
antonym,mixedtask10,test_sametask_shuffled10,cie40,7,0.7000,0.7000,0.5000
antonym,mixedtask10,test_sametask_shuffled10,sparse,0,0.6667,0.6333,0.5000
antonym,mixedtask10,test_mixedtask10,cie10,11,0.4000,0.3000,0.0000
antonym,mixedtask10,test_mixedtask10,cie40,11,0.4333,0.4000,0.0000
antonym,mixedtask10,test_mixedtask10,sparse,11,0.1667,0.1000,0.0000
capitalize,zeroshot,test_zeroshot,cie10,12,0.9333,0.9000,0.0000
capitalize,zeroshot,test_zeroshot,cie40,5,1.0000,1.0000,0.0000
capitalize,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize,-,test_zeroshot,mean_act,15,0.4667,0.0000,0.0000
capitalize,zeroshot,test_sametask_shuffled10,cie10,12,0.9667,0.9000,0.1000
capitalize,zeroshot,test_sametask_shuffled10,cie40,0,1.0000,0.9667,0.1000
capitalize,zeroshot,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
capitalize,-,test_sametask_shuffled10,mean_act,12,0.9333,0.6667,0.1000
capitalize,zeroshot,test_mixedtask10,cie10,13,0.8000,0.4000,0.0000
capitalize,zeroshot,test_mixedtask10,cie40,12,0.9667,0.8667,0.0000
capitalize,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
capitalize,-,test_mixedtask10,mean_act,15,0.6333,0.0333,0.0000
capitalize,sametask_shuffled10,test_zeroshot,cie10,10,0.8667,0.7333,0.0000
capitalize,sametask_shuffled10,test_zeroshot,cie40,5,1.0000,1.0000,0.0000
capitalize,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize,sametask_shuffled10,test_sametask_shuffled10,cie10,12,0.9667,0.8667,0.1000
capitalize,sametask_shuffled10,test_sametask_shuffled10,cie40,1,1.0000,1.0000,0.1000
capitalize,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
capitalize,sametask_shuffled10,test_mixedtask10,cie10,13,0.6000,0.2667,0.0000
capitalize,sametask_shuffled10,test_mixedtask10,cie40,6,0.9000,0.9000,0.0000
capitalize,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
capitalize,mixedtask10,test_zeroshot,cie10,12,0.9333,0.9000,0.0000
capitalize,mixedtask10,test_zeroshot,cie40,5,1.0000,1.0000,0.0000
capitalize,mixedtask10,test_zeroshot,sparse,12,0.8000,0.6000,0.0000
capitalize,mixedtask10,test_sametask_shuffled10,cie10,12,0.9667,0.7667,0.1000
capitalize,mixedtask10,test_sametask_shuffled10,cie40,10,1.0000,0.9667,0.1000
capitalize,mixedtask10,test_sametask_shuffled10,sparse,12,0.6667,0.5000,0.1000
capitalize,mixedtask10,test_mixedtask10,cie10,13,0.7333,0.3667,0.0000
capitalize,mixedtask10,test_mixedtask10,cie40,10,0.9667,0.9000,0.0000
capitalize,mixedtask10,test_mixedtask10,sparse,13,0.5000,0.3333,0.0000
capitalize_first_letter,zeroshot,test_zeroshot,cie10,0,1.0000,1.0000,0.0000
capitalize_first_letter,zeroshot,test_zeroshot,cie40,0,1.0000,1.0000,0.0000
capitalize_first_letter,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_first_letter,-,test_zeroshot,mean_act,16,0.2333,0.0000,0.0000
capitalize_first_letter,zeroshot,test_sametask_shuffled10,cie10,0,1.0000,1.0000,0.7333
capitalize_first_letter,zeroshot,test_sametask_shuffled10,cie40,0,1.0000,1.0000,0.7333
capitalize_first_letter,zeroshot,test_sametask_shuffled10,sparse,0,0.7333,0.7333,0.7333
capitalize_first_letter,-,test_sametask_shuffled10,mean_act,8,0.9333,0.9333,0.7333
capitalize_first_letter,zeroshot,test_mixedtask10,cie10,0,0.9667,0.8333,0.0333
capitalize_first_letter,zeroshot,test_mixedtask10,cie40,0,1.0000,1.0000,0.0333
capitalize_first_letter,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
capitalize_first_letter,-,test_mixedtask10,mean_act,24,0.5000,0.1333,0.0333
capitalize_first_letter,sametask_shuffled10,test_zeroshot,cie10,7,0.8000,0.8000,0.0000
capitalize_first_letter,sametask_shuffled10,test_zeroshot,cie40,2,1.0000,1.0000,0.0000
capitalize_first_letter,sametask_shuffled10,test_zeroshot,sparse,0,1.0000,1.0000,0.0000
capitalize_first_letter,sametask_shuffled10,test_sametask_shuffled10,cie10,3,1.0000,1.0000,0.7333
capitalize_first_letter,sametask_shuffled10,test_sametask_shuffled10,cie40,0,1.0000,1.0000,0.7333
capitalize_first_letter,sametask_shuffled10,test_sametask_shuffled10,sparse,1,1.0000,1.0000,0.7333
capitalize_first_letter,sametask_shuffled10,test_mixedtask10,cie10,15,0.5000,0.4000,0.0333
capitalize_first_letter,sametask_shuffled10,test_mixedtask10,cie40,0,1.0000,0.9333,0.0333
capitalize_first_letter,sametask_shuffled10,test_mixedtask10,sparse,0,1.0000,0.6333,0.0333
capitalize_first_letter,mixedtask10,test_zeroshot,cie10,0,1.0000,1.0000,0.0000
capitalize_first_letter,mixedtask10,test_zeroshot,cie40,0,1.0000,1.0000,0.0000
capitalize_first_letter,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_first_letter,mixedtask10,test_sametask_shuffled10,cie10,0,1.0000,1.0000,0.7333
capitalize_first_letter,mixedtask10,test_sametask_shuffled10,cie40,6,1.0000,1.0000,0.7333
capitalize_first_letter,mixedtask10,test_sametask_shuffled10,sparse,0,0.7333,0.7333,0.7333
capitalize_first_letter,mixedtask10,test_mixedtask10,cie10,0,0.9667,0.8333,0.0333
capitalize_first_letter,mixedtask10,test_mixedtask10,cie40,0,1.0000,1.0000,0.0333
capitalize_first_letter,mixedtask10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
capitalize_last_letter,zeroshot,test_zeroshot,cie10,27,0.0667,0.0000,0.0000
capitalize_last_letter,zeroshot,test_zeroshot,cie40,7,0.1000,0.0333,0.0000
capitalize_last_letter,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_last_letter,-,test_zeroshot,mean_act,0,0.0000,0.0000,0.0000
capitalize_last_letter,zeroshot,test_sametask_shuffled10,cie10,27,0.3000,0.2333,0.2000
capitalize_last_letter,zeroshot,test_sametask_shuffled10,cie40,0,0.2667,0.2667,0.2000
capitalize_last_letter,zeroshot,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
capitalize_last_letter,-,test_sametask_shuffled10,mean_act,9,0.3000,0.3000,0.2000
capitalize_last_letter,zeroshot,test_mixedtask10,cie10,26,0.0667,0.0000,0.0000
capitalize_last_letter,zeroshot,test_mixedtask10,cie40,15,0.1000,0.0000,0.0000
capitalize_last_letter,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
capitalize_last_letter,-,test_mixedtask10,mean_act,25,0.1333,0.0333,0.0000
capitalize_last_letter,sametask_shuffled10,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
capitalize_last_letter,sametask_shuffled10,test_zeroshot,cie40,3,0.0333,0.0000,0.0000
capitalize_last_letter,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_last_letter,sametask_shuffled10,test_sametask_shuffled10,cie10,12,0.3000,0.2000,0.2000
capitalize_last_letter,sametask_shuffled10,test_sametask_shuffled10,cie40,0,0.3000,0.2333,0.2000
capitalize_last_letter,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
capitalize_last_letter,sametask_shuffled10,test_mixedtask10,cie10,0,0.0333,0.0000,0.0000
capitalize_last_letter,sametask_shuffled10,test_mixedtask10,cie40,15,0.0667,0.0333,0.0000
capitalize_last_letter,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
capitalize_last_letter,mixedtask10,test_zeroshot,cie10,27,0.0667,0.0000,0.0000
capitalize_last_letter,mixedtask10,test_zeroshot,cie40,0,0.1000,0.0667,0.0000
capitalize_last_letter,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_last_letter,mixedtask10,test_sametask_shuffled10,cie10,27,0.3333,0.2000,0.2000
capitalize_last_letter,mixedtask10,test_sametask_shuffled10,cie40,27,0.3000,0.2000,0.2000
capitalize_last_letter,mixedtask10,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
capitalize_last_letter,mixedtask10,test_mixedtask10,cie10,20,0.0667,0.0000,0.0000
capitalize_last_letter,mixedtask10,test_mixedtask10,cie40,14,0.0667,0.0000,0.0000
capitalize_last_letter,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
capitalize_second_letter,zeroshot,test_zeroshot,cie10,6,0.2333,0.1333,0.0000
capitalize_second_letter,zeroshot,test_zeroshot,cie40,27,0.2333,0.0333,0.0000
capitalize_second_letter,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_second_letter,-,test_zeroshot,mean_act,25,0.2000,0.0000,0.0000
capitalize_second_letter,zeroshot,test_sametask_shuffled10,cie10,1,0.3000,0.2000,0.2000
capitalize_second_letter,zeroshot,test_sametask_shuffled10,cie40,3,0.3000,0.2000,0.2000
capitalize_second_letter,zeroshot,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
capitalize_second_letter,-,test_sametask_shuffled10,mean_act,27,0.2667,0.1333,0.2000
capitalize_second_letter,zeroshot,test_mixedtask10,cie10,27,0.0667,0.0333,0.0000
capitalize_second_letter,zeroshot,test_mixedtask10,cie40,0,0.1667,0.0333,0.0000
capitalize_second_letter,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
capitalize_second_letter,-,test_mixedtask10,mean_act,25,0.1000,0.0333,0.0000
capitalize_second_letter,sametask_shuffled10,test_zeroshot,cie10,7,0.1000,0.0333,0.0000
capitalize_second_letter,sametask_shuffled10,test_zeroshot,cie40,5,0.2333,0.1333,0.0000
capitalize_second_letter,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_second_letter,sametask_shuffled10,test_sametask_shuffled10,cie10,2,0.3333,0.2667,0.2000
capitalize_second_letter,sametask_shuffled10,test_sametask_shuffled10,cie40,1,0.3000,0.1667,0.2000
capitalize_second_letter,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
capitalize_second_letter,sametask_shuffled10,test_mixedtask10,cie10,0,0.0333,0.0333,0.0000
capitalize_second_letter,sametask_shuffled10,test_mixedtask10,cie40,1,0.0667,0.0333,0.0000
capitalize_second_letter,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
capitalize_second_letter,mixedtask10,test_zeroshot,cie10,7,0.2000,0.1000,0.0000
capitalize_second_letter,mixedtask10,test_zeroshot,cie40,5,0.2667,0.1333,0.0000
capitalize_second_letter,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
capitalize_second_letter,mixedtask10,test_sametask_shuffled10,cie10,7,0.3333,0.2000,0.2000
capitalize_second_letter,mixedtask10,test_sametask_shuffled10,cie40,2,0.2667,0.2333,0.2000
capitalize_second_letter,mixedtask10,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
capitalize_second_letter,mixedtask10,test_mixedtask10,cie10,1,0.0667,0.0333,0.0000
capitalize_second_letter,mixedtask10,test_mixedtask10,cie40,1,0.2000,0.0667,0.0000
capitalize_second_letter,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
commonsense_qa,zeroshot,test_zeroshot,cie10,27,0.3000,0.2333,0.1667
commonsense_qa,zeroshot,test_zeroshot,cie40,14,0.3333,0.1667,0.1667
commonsense_qa,zeroshot,test_zeroshot,sparse,0,0.1667,0.1667,0.1667
commonsense_qa,-,test_zeroshot,mean_act,12,0.3667,0.1667,0.1667
commonsense_qa,zeroshot,test_sametask_shuffled10,cie10,13,0.3000,0.2333,0.1000
commonsense_qa,zeroshot,test_sametask_shuffled10,cie40,13,0.3000,0.2000,0.1000
commonsense_qa,zeroshot,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
commonsense_qa,-,test_sametask_shuffled10,mean_act,7,0.2667,0.2000,0.1000
commonsense_qa,zeroshot,test_mixedtask10,cie10,19,0.3000,0.2333,0.2000
commonsense_qa,zeroshot,test_mixedtask10,cie40,23,0.3333,0.2000,0.2000
commonsense_qa,zeroshot,test_mixedtask10,sparse,0,0.2000,0.2000,0.2000
commonsense_qa,-,test_mixedtask10,mean_act,10,0.3667,0.3333,0.2000
commonsense_qa,sametask_shuffled10,test_zeroshot,cie10,1,0.2333,0.1667,0.1667
commonsense_qa,sametask_shuffled10,test_zeroshot,cie40,27,0.3667,0.1667,0.1667
commonsense_qa,sametask_shuffled10,test_zeroshot,sparse,0,0.1667,0.1667,0.1667
commonsense_qa,sametask_shuffled10,test_sametask_shuffled10,cie10,8,0.2000,0.2000,0.1000
commonsense_qa,sametask_shuffled10,test_sametask_shuffled10,cie40,6,0.2333,0.2000,0.1000
commonsense_qa,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
commonsense_qa,sametask_shuffled10,test_mixedtask10,cie10,3,0.3000,0.2000,0.2000
commonsense_qa,sametask_shuffled10,test_mixedtask10,cie40,1,0.3000,0.1333,0.2000
commonsense_qa,sametask_shuffled10,test_mixedtask10,sparse,0,0.2000,0.2000,0.2000
commonsense_qa,mixedtask10,test_zeroshot,cie10,7,0.3000,0.1667,0.1667
commonsense_qa,mixedtask10,test_zeroshot,cie40,14,0.3333,0.1667,0.1667
commonsense_qa,mixedtask10,test_zeroshot,sparse,0,0.1667,0.1667,0.1667
commonsense_qa,mixedtask10,test_sametask_shuffled10,cie10,6,0.2667,0.2333,0.1000
commonsense_qa,mixedtask10,test_sametask_shuffled10,cie40,7,0.2667,0.2333,0.1000
commonsense_qa,mixedtask10,test_sametask_shuffled10,sparse,0,0.1000,0.1000,0.1000
commonsense_qa,mixedtask10,test_mixedtask10,cie10,12,0.3000,0.2333,0.2000
commonsense_qa,mixedtask10,test_mixedtask10,cie40,15,0.3000,0.1667,0.2000
commonsense_qa,mixedtask10,test_mixedtask10,sparse,0,0.2000,0.2000,0.2000
country-capital,zeroshot,test_zeroshot,cie10,6,0.8333,0.8333,0.0000
country-capital,zeroshot,test_zeroshot,cie40,0,0.9000,0.8667,0.0000
country-capital,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
country-capital,-,test_zeroshot,mean_act,13,0.5333,0.0333,0.0000
country-capital,zeroshot,test_sametask_shuffled10,cie10,0,0.9333,0.9000,0.5667
country-capital,zeroshot,test_sametask_shuffled10,cie40,0,0.9667,0.9000,0.5667
country-capital,zeroshot,test_sametask_shuffled10,sparse,0,0.5667,0.5667,0.5667
country-capital,-,test_sametask_shuffled10,mean_act,9,0.8333,0.8333,0.5667
country-capital,zeroshot,test_mixedtask10,cie10,11,0.7333,0.5000,0.0000
country-capital,zeroshot,test_mixedtask10,cie40,0,0.9333,0.7000,0.0000
country-capital,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
country-capital,-,test_mixedtask10,mean_act,14,0.2000,0.0333,0.0000
country-capital,sametask_shuffled10,test_zeroshot,cie10,7,0.8667,0.8000,0.0000
country-capital,sametask_shuffled10,test_zeroshot,cie40,1,0.9000,0.9000,0.0000
country-capital,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
country-capital,sametask_shuffled10,test_sametask_shuffled10,cie10,0,0.9333,0.9000,0.5667
country-capital,sametask_shuffled10,test_sametask_shuffled10,cie40,0,0.9667,0.9000,0.5667
country-capital,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.5667,0.5667,0.5667
country-capital,sametask_shuffled10,test_mixedtask10,cie10,11,0.7000,0.4333,0.0000
country-capital,sametask_shuffled10,test_mixedtask10,cie40,2,0.9333,0.8000,0.0000
country-capital,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
country-capital,mixedtask10,test_zeroshot,cie10,11,0.8000,0.7667,0.0000
country-capital,mixedtask10,test_zeroshot,cie40,0,0.9000,0.8667,0.0000
country-capital,mixedtask10,test_zeroshot,sparse,8,0.7333,0.6667,0.0000
country-capital,mixedtask10,test_sametask_shuffled10,cie10,8,0.9000,0.9000,0.5667
country-capital,mixedtask10,test_sametask_shuffled10,cie40,0,0.9333,0.9000,0.5667
country-capital,mixedtask10,test_sametask_shuffled10,sparse,0,0.8333,0.8333,0.5667
country-capital,mixedtask10,test_mixedtask10,cie10,11,0.6333,0.2000,0.0000
country-capital,mixedtask10,test_mixedtask10,cie40,0,0.9000,0.7667,0.0000
country-capital,mixedtask10,test_mixedtask10,sparse,11,0.5333,0.1000,0.0000
country-currency,zeroshot,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
country-currency,zeroshot,test_zeroshot,cie40,4,0.1000,0.0333,0.0000
country-currency,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
country-currency,-,test_zeroshot,mean_act,0,0.0000,0.0000,0.0000
country-currency,zeroshot,test_sametask_shuffled10,cie10,12,0.4000,0.3667,0.3000
country-currency,zeroshot,test_sametask_shuffled10,cie40,8,0.5000,0.4000,0.3000
country-currency,zeroshot,test_sametask_shuffled10,sparse,0,0.3000,0.3000,0.3000
country-currency,-,test_sametask_shuffled10,mean_act,5,0.4000,0.4000,0.3000
country-currency,zeroshot,test_mixedtask10,cie10,0,0.0000,0.0000,0.0000
country-currency,zeroshot,test_mixedtask10,cie40,0,0.1000,0.0000,0.0000
country-currency,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
country-currency,-,test_mixedtask10,mean_act,0,0.0000,0.0000,0.0000
country-currency,sametask_shuffled10,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
country-currency,sametask_shuffled10,test_zeroshot,cie40,0,0.1333,0.0667,0.0000
country-currency,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
country-currency,sametask_shuffled10,test_sametask_shuffled10,cie10,8,0.5000,0.5000,0.3000
country-currency,sametask_shuffled10,test_sametask_shuffled10,cie40,0,0.5000,0.4667,0.3000
country-currency,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.3000,0.3000,0.3000
country-currency,sametask_shuffled10,test_mixedtask10,cie10,0,0.0000,0.0000,0.0000
country-currency,sametask_shuffled10,test_mixedtask10,cie40,1,0.1333,0.0333,0.0000
country-currency,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
country-currency,mixedtask10,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
country-currency,mixedtask10,test_zeroshot,cie40,0,0.0667,0.0333,0.0000
country-currency,mixedtask10,test_zeroshot,sparse,7,0.1000,0.0333,0.0000
country-currency,mixedtask10,test_sametask_shuffled10,cie10,12,0.4333,0.4000,0.3000
country-currency,mixedtask10,test_sametask_shuffled10,cie40,11,0.5333,0.5000,0.3000
country-currency,mixedtask10,test_sametask_shuffled10,sparse,10,0.5333,0.5000,0.3000
country-currency,mixedtask10,test_mixedtask10,cie10,0,0.0000,0.0000,0.0000
country-currency,mixedtask10,test_mixedtask10,cie40,0,0.0000,0.0000,0.0000
country-currency,mixedtask10,test_mixedtask10,sparse,1,0.0333,0.0333,0.0000
english-french,zeroshot,test_zeroshot,cie10,1,0.4333,0.2333,0.0000
english-french,zeroshot,test_zeroshot,cie40,9,0.5333,0.5333,0.0000
english-french,zeroshot,test_zeroshot,sparse,9,0.3667,0.3667,0.0000
english-french,-,test_zeroshot,mean_act,0,0.0000,0.0000,0.0000
english-french,zeroshot,test_sametask_shuffled10,cie10,9,0.7333,0.7333,0.6000
english-french,zeroshot,test_sametask_shuffled10,cie40,9,0.7333,0.7333,0.6000
english-french,zeroshot,test_sametask_shuffled10,sparse,9,0.7333,0.7333,0.6000
english-french,-,test_sametask_shuffled10,mean_act,9,0.6333,0.6333,0.6000
english-french,zeroshot,test_mixedtask10,cie10,12,0.1333,0.1000,0.0333
english-french,zeroshot,test_mixedtask10,cie40,9,0.6333,0.6333,0.0333
english-french,zeroshot,test_mixedtask10,sparse,9,0.4333,0.4333,0.0333
english-french,-,test_mixedtask10,mean_act,15,0.0667,0.0000,0.0333
english-french,sametask_shuffled10,test_zeroshot,cie10,1,0.4667,0.3667,0.0000
english-french,sametask_shuffled10,test_zeroshot,cie40,9,0.6000,0.6000,0.0000
english-french,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
english-french,sametask_shuffled10,test_sametask_shuffled10,cie10,9,0.7333,0.7333,0.6000
english-french,sametask_shuffled10,test_sametask_shuffled10,cie40,9,0.7333,0.7333,0.6000
english-french,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.6000,0.6000,0.6000
english-french,sametask_shuffled10,test_mixedtask10,cie10,12,0.1333,0.1000,0.0333
english-french,sametask_shuffled10,test_mixedtask10,cie40,9,0.4667,0.4667,0.0333
english-french,sametask_shuffled10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
english-french,mixedtask10,test_zeroshot,cie10,9,0.6000,0.6000,0.0000
english-french,mixedtask10,test_zeroshot,cie40,9,0.6000,0.6000,0.0000
english-french,mixedtask10,test_zeroshot,sparse,11,0.1000,0.0667,0.0000
english-french,mixedtask10,test_sametask_shuffled10,cie10,9,0.7333,0.7333,0.6000
english-french,mixedtask10,test_sametask_shuffled10,cie40,8,0.7333,0.7333,0.6000
english-french,mixedtask10,test_sametask_shuffled10,sparse,9,0.7000,0.7000,0.6000
english-french,mixedtask10,test_mixedtask10,cie10,9,0.5333,0.5333,0.0333
english-french,mixedtask10,test_mixedtask10,cie40,9,0.6333,0.6333,0.0333
english-french,mixedtask10,test_mixedtask10,sparse,9,0.3667,0.3667,0.0333
english-german,zeroshot,test_zeroshot,cie10,7,0.3000,0.2667,0.0000
english-german,zeroshot,test_zeroshot,cie40,9,0.4000,0.4000,0.0000
english-german,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
english-german,-,test_zeroshot,mean_act,0,0.0000,0.0000,0.0000
english-german,zeroshot,test_sametask_shuffled10,cie10,11,0.5667,0.5333,0.4667
english-german,zeroshot,test_sametask_shuffled10,cie40,11,0.5667,0.5333,0.4667
english-german,zeroshot,test_sametask_shuffled10,sparse,0,0.4667,0.4667,0.4667
english-german,-,test_sametask_shuffled10,mean_act,0,0.4667,0.3333,0.4667
english-german,zeroshot,test_mixedtask10,cie10,11,0.4000,0.2667,0.0000
english-german,zeroshot,test_mixedtask10,cie40,9,0.3000,0.3000,0.0000
english-german,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
english-german,-,test_mixedtask10,mean_act,19,0.0333,0.0000,0.0000
english-german,sametask_shuffled10,test_zeroshot,cie10,0,0.3333,0.1000,0.0000
english-german,sametask_shuffled10,test_zeroshot,cie40,10,0.3000,0.2333,0.0000
