task,group,baseline,projout_only,direct_a0.5,patch_a0.5,direct_a1.0,patch_a1.0,direct_a2.0,patch_a2.0,direct_a4.0,patch_a4.0,direct_best,patch_best
english-italian,train,0.0,0.0,0.0333,0.0067,0.1333,0.0,0.0933,0.0067,0.1933,0.0,0.1933,0.0067
english-portuguese,train,0.0,0.0,0.0133,0.0,0.0467,0.0,0.0867,0.0,0.1,0.0,0.1,0.0
english-spanish,train,0.0,0.0,0.0,0.0,0.0867,0.0,0.0867,0.0,0.0733,0.0,0.0867,0.0
first_digit,heldout,0.0067,0.0,0.0333,0.0067,0.02,0.04,0.0267,0.0,0.0133,0.0,0.0333,0.04
first_three_letters,train,0.0,0.0,0.1267,0.02,0.22,0.0533,0.2733,0.06,0.22,0.12,0.2733,0.12
french-english,heldout,0.0067,0.0067,0.14,0.0733,0.2467,0.1733,0.1667,0.1733,0.2333,0.1467,0.2467,0.1733
french_noun_gender,train,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0067,0.0
german-english,train,0.0,0.0,0.08,0.0133,0.2067,0.0933,0.1533,0.08,0.2667,0.0667,0.2667,0.0933
german_noun_gender,train,0.0,0.0,0.0,0.0,0.0133,0.0,0.0067,0.0,0.0267,0.0,0.0267,0.0
gerund_to_base,heldout,0.0067,0.0,0.2333,0.0933,0.24,0.2,0.12,0.1467,0.1133,0.1267,0.24,0.2
gerund_to_past,train,0.0,0.0,0.0733,0.0,0.0467,0.0133,0.0,0.0,0.0,0.0,0.0733,0.0133
hypernym_category,train,0.0,0.0,0.0467,0.0067,0.0133,0.0133,0.02,0.0333,0.0733,0.0133,0.0733,0.0333
initials_two_words,heldout,0.0,0.0,0.0267,0.0,0.02,0.0,0.0067,0.0,0.0267,0.0,0.0267,0.0
iso_date_to_month,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_date_year_plus_one,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark-country,train,0.0,0.0,0.0,0.0,0.02,0.0,0.0067,0.0133,0.0067,0.0133,0.02,0.0133
language_identification,train,0.0,0.0,0.0,0.0,0.0133,0.0,0.0133,0.0,0.0133,0.0,0.0133,0.0
larger_of_pair,train,0.0,0.0,0.02,0.0067,0.0333,0.0133,0.0133,0.0067,0.0,0.0,0.0333,0.0133
larger_than_1000,train,0.0,0.0,0.0467,0.0133,0.06,0.0133,0.0533,0.0067,0.04,0.0067,0.06,0.0133
lowercase_first_letter,train,0.0,0.0,0.0533,0.0,0.04,0.0067,0.0133,0.0133,0.0333,0.0133,0.0533,0.0133
lowercase_word,train,0.0,0.0,0.1,0.0667,0.3133,0.3067,0.1733,0.1267,0.0533,0.1,0.3133,0.3067
national_parks,train,0.0,0.0,0.02,0.0,0.0333,0.0333,0.0067,0.0067,0.0133,0.0133,0.0333,0.0333
natural_manmade,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
next_item,train,0.0067,0.0,0.0533,0.0133,0.1267,0.0067,0.1933,0.0333,0.22,0.0267,0.22,0.0333
next_month_of_date,train,0.0,0.0,0.0267,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0267,0.0
next_number_digits,train,0.0,0.0,0.02,0.0267,0.06,0.0267,0.0067,0.0267,0.0,0.0133,0.06,0.0267
number_word_to_digits,train,0.0,0.0,0.1267,0.0333,0.18,0.1,0.1067,0.0867,0.0533,0.0533,0.18,0.1
park-country,train,0.0,0.0,0.02,0.02,0.0267,0.0333,0.02,0.02,0.0133,0.0067,0.0267,0.0333
past_to_base,heldout,0.0067,0.0067,0.2067,0.12,0.1867,0.18,0.1333,0.1333,0.1267,0.14,0.2067,0.18
person-instrument,train,0.0,0.0,0.0133,0.0,0.0133,0.0067,0.0,0.0067,0.02,0.0,0.02,0.0067
person-sport,train,0.0,0.0,0.0067,0.0,0.0067,0.0,0.04,0.0,0.0467,0.0,0.0467,0.0
person_place_thing,heldout,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0
plural_to_singular,train,0.0067,0.0067,0.1667,0.0467,0.1267,0.16,0.2,0.0867,0.1067,0.06,0.2,0.16
pos_label,heldout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0
present-past,train,0.0,0.0,0.06,0.04,0.08,0.0267,0.04,0.0133,0.0267,0.02,0.08,0.04
prev_number_digits,train,0.0,0.0,0.02,0.02,0.02,0.0,0.0067,0.0,0.0133,0.0,0.02,0.02
product-company,train,0.0,0.0,0.0133,0.0,0.0067,0.0,0.0133,0.0,0.0,0.0,0.0133,0.0
sentiment,train,0.0,0.0,0.0067,0.0,0.0333,0.0,0.0133,0.0,0.02,0.0,0.0333,0.0
singular-plural,train,0.0,0.0,0.2933,0.02,0.2667,0.0533,0.14,0.0533,0.0267,0.0467,0.2933,0.0533
singular_or_plural,train,0.0,0.0,0.0,0.0,0.02,0.0067,0.0,0.0,0.0067,0.0,0.02,0.0067
smaller_of_pair,heldout,0.0,0.0,0.0267,0.0133,0.0267,0.0067,0.0067,0.0267,0.0,0.0067,0.0267,0.0267
spanish-english,heldout,0.0067,0.0,0.12,0.0267,0.18,0.0867,0.12,0.08,0.16,0.1067,0.18,0.1067
spanish_noun_gender,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0067
starts_with_vowel,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
third_person_to_base,train,0.0,0.0067,0.3,0.1067,0.2867,0.1667,0.1733,0.08,0.1533,0.1133,0.3,0.1667
titlecase_phrase,train,0.0,0.0,0.0,0.0067,0.0067,0.0133,0.0,0.0333,0.0067,0.0,0.0067,0.0333
uppercase_word,heldout,0.0,0.0,0.0533,0.0,0.04,0.0133,0.0533,0.0,0.12,0.0,0.12,0.0133
us-city-state,train,0.0067,0.0067,0.02,0.0,0.0467,0.0067,0.0133,0.0,0.0067,0.0067,0.0467,0.0067
verb_tense_label,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0
verb_to_third_person,train,0.0,0.0133,0.14,0.0267,0.22,0.0,0.06,0.0,0.04,0.0,0.22,0.0267
word_polarity,heldout,0.0,0.0,0.0133,0.0,0.0267,0.0,0.0067,0.0,0.0,0.0,0.0267,0.0
