property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
sentence_caps,alt,24,8.0,0.883,0.981,0.0,0.1,60
sentence_caps,nat,2,32.0,0.917,0.917,0.083,0.0,60
sentence_caps,nat,4,4.0,0.933,0.933,0.067,0.0,60
sentence_caps,nat,6,16.0,0.967,0.967,0.0,0.0,60
sentence_caps,nat,8,1.0,0.933,0.933,0.067,0.0,60
sentence_caps,nat,10,2.0,0.95,0.966,0.034,0.017,60
sentence_caps,nat,12,16.0,0.917,0.948,0.034,0.033,60
sentence_caps,nat,16,16.0,0.95,0.966,0.034,0.017,60
sentence_caps,nat,20,2.0,0.983,1.0,0.0,0.017,60
sentence_caps,nat,24,2.0,0.95,0.95,0.05,0.0,60
us_uk,alt,2,4.0,0.033,0.033,0.767,0.0,60
us_uk,alt,4,16.0,0.033,0.034,0.81,0.033,60
us_uk,alt,6,4.0,0.017,0.017,0.797,0.017,60
us_uk,alt,8,0.5,0.017,0.017,0.864,0.017,60
us_uk,alt,10,16.0,0.033,0.033,0.833,0.0,60
us_uk,alt,12,2.0,0.017,0.017,0.833,0.0,60
us_uk,alt,16,8.0,0.1,0.103,0.81,0.033,60
us_uk,alt,20,32.0,0.4,0.4,0.55,0.0,60
us_uk,alt,24,16.0,0.733,0.733,0.267,0.0,60
us_uk,nat,2,8.0,0.133,0.133,0.85,0.0,60
us_uk,nat,4,2.0,0.2,0.2,0.783,0.0,60
us_uk,nat,6,1.0,0.2,0.203,0.797,0.017,60
us_uk,nat,8,0.5,0.117,0.121,0.862,0.033,60
us_uk,nat,10,1.0,0.2,0.203,0.797,0.017,60
us_uk,nat,12,8.0,0.183,0.19,0.793,0.033,60
us_uk,nat,16,1.0,0.217,0.217,0.783,0.0,60
us_uk,nat,20,0.5,0.2,0.203,0.797,0.017,60
us_uk,nat,24,32.0,0.683,0.732,0.268,0.067,60
