layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout,mean_shared_control
17,2.0,0.2708,0.2100,0.2742,0.2572,0.0346
17,4.0,0.2603,0.1800,0.2640,0.2456,0.0395
17,best,0.2814,0.2167,0.2842,0.2702,
18,0.5,0.0165,0.0000,0.0132,0.0298,0.0050
18,1.0,0.0718,0.0067,0.0677,0.0884,0.0090
18,2.0,0.1832,0.0700,0.1839,0.1804,0.0297
18,4.0,0.1808,0.0867,0.1818,0.1768,0.0352
18,best,0.1951,0.0900,0.1958,0.1919,
19,0.5,0.0208,0.0000,0.0184,0.0305,0.0090
19,1.0,0.0642,0.0067,0.0594,0.0839,0.0161
19,2.0,0.1202,0.0267,0.1168,0.1340,0.0297
19,4.0,0.1088,0.0300,0.1062,0.1193,0.0293
19,best,0.1276,0.0333,0.1250,0.1379,
20,0.5,0.0085,0.0000,0.0062,0.0179,0.0051
20,1.0,0.0250,0.0000,0.0227,0.0344,0.0108
20,2.0,0.0572,0.0067,0.0539,0.0705,0.0237
20,4.0,0.0415,0.0067,0.0393,0.0505,0.0204
20,best,0.0597,0.0133,0.0565,0.0726,
21,0.5,0.0104,0.0000,0.0072,0.0235,0.0078
21,1.0,0.0215,0.0000,0.0181,0.0354,0.0150
21,2.0,0.0506,0.0067,0.0500,0.0530,0.0196
21,4.0,0.0559,0.0100,0.0559,0.0558,0.0189
21,best,0.0619,0.0133,0.0616,0.0632,
22,0.5,0.0061,0.0000,0.0049,0.0109,0.0060
22,1.0,0.0083,0.0000,0.0067,0.0151,0.0065
22,2.0,0.0123,0.0000,0.0100,0.0218,0.0119
22,4.0,0.0167,0.0000,0.0139,0.0284,0.0131
22,best,0.0176,0.0000,0.0145,0.0302,
23,0.5,0.0046,0.0000,0.0036,0.0084,0.0035
23,1.0,0.0054,0.0000,0.0042,0.0105,0.0049
23,2.0,0.0071,0.0000,0.0050,0.0154,0.0060
23,4.0,0.0081,0.0000,0.0059,0.0172,0.0064
23,best,0.0091,0.0000,0.0069,0.0179,
24,0.5,0.0045,0.0000,0.0036,0.0081,0.0041
24,1.0,0.0062,0.0000,0.0051,0.0105,0.0044
24,2.0,0.0066,0.0000,0.0052,0.0123,0.0049
24,4.0,0.0074,0.0000,0.0060,0.0130,0.0063
24,best,0.0083,0.0000,0.0070,0.0137,
25,0.5,0.0051,0.0000,0.0044,0.0081,0.0049
25,1.0,0.0066,0.0000,0.0049,0.0133,0.0062
25,2.0,0.0083,0.0000,0.0069,0.0137,0.0072
25,4.0,0.0083,0.0000,0.0065,0.0154,0.0078
25,best,0.0103,0.0000,0.0087,0.0168,
26,0.5,0.0055,0.0000,0.0041,0.0112,0.0054
26,1.0,0.0056,0.0000,0.0044,0.0102,0.0067
26,2.0,0.0056,0.0000,0.0046,0.0098,0.0058
26,4.0,0.0069,0.0000,0.0051,0.0140,0.0054
26,best,0.0082,0.0000,0.0063,0.0158,
27,0.5,0.0038,0.0000,0.0033,0.0056,0.0038
27,1.0,0.0041,0.0000,0.0031,0.0081,0.0028
27,2.0,0.0037,0.0000,0.0032,0.0056,0.0038
27,4.0,0.0041,0.0000,0.0029,0.0091,0.0039
27,best,0.0061,0.0000,0.0050,0.0105,
