layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout,mean_shared_control
14,0.5,0.0282,0.0067,0.0282,0.0282,0.0036
14,1.0,0.2507,0.2067,0.2696,0.173,0.0059
14,2.0,0.3893,0.37,0.4126,0.2937,0.0349
14,4.0,0.3313,0.3,0.3519,0.2467,0.0528
14,best,0.3992,0.3767,0.4225,0.3033,
15,0.5,0.0229,0.0067,0.0246,0.0159,0.0024
15,1.0,0.2416,0.1934,0.2575,0.1767,0.0054
15,2.0,0.3793,0.3333,0.3982,0.3015,0.0406
15,4.0,0.3393,0.2867,0.355,0.2745,0.0505
15,best,0.3872,0.35,0.4056,0.3115,
16,0.5,0.0139,0.0,0.0145,0.0115,0.0033
16,1.0,0.1257,0.0633,0.1352,0.0863,0.0067
16,2.0,0.2612,0.21,0.2759,0.2004,0.032
16,4.0,0.2407,0.1867,0.2576,0.1711,0.0412
16,best,0.2687,0.2267,0.2847,0.203,
17,0.5,0.0074,0.0,0.0078,0.0056,0.0016
17,1.0,0.0499,0.02,0.0544,0.0311,0.003
17,2.0,0.1735,0.1067,0.1849,0.1267,0.0214
17,4.0,0.1664,0.1066,0.1759,0.1274,0.0305
17,best,0.1851,0.1334,0.195,0.1441,
18,0.5,0.006,0.0,0.0068,0.0026,0.0028
18,1.0,0.0356,0.01,0.0387,0.0226,0.0035
18,2.0,0.1224,0.07,0.1284,0.0978,0.0208
18,4.0,0.1203,0.07,0.1262,0.0959,0.0262
18,best,0.1325,0.0834,0.1392,0.1052,
19,0.5,0.007,0.0,0.0079,0.003,0.0041
19,1.0,0.034,0.0133,0.0369,0.0218,0.0084
19,2.0,0.0732,0.0234,0.0768,0.0585,0.024
19,4.0,0.0644,0.0267,0.0682,0.0489,0.0244
19,best,0.0774,0.0333,0.081,0.063,
20,0.5,0.0034,0.0,0.0035,0.003,0.0033
20,1.0,0.0125,0.0,0.0143,0.0052,0.0042
20,2.0,0.0411,0.0133,0.0429,0.0337,0.0184
20,4.0,0.0378,0.0133,0.0401,0.0282,0.0174
20,best,0.0461,0.02,0.0483,0.037,
21,0.5,0.0047,0.0,0.0052,0.0026,0.0026
21,1.0,0.0142,0.0034,0.016,0.0067,0.0084
21,2.0,0.0396,0.0133,0.0422,0.0289,0.0163
21,4.0,0.052,0.0166,0.0557,0.0367,0.0199
21,best,0.0553,0.02,0.0591,0.0396,
22,0.5,0.0029,0.0,0.0032,0.0019,0.0028
22,1.0,0.0034,0.0,0.0033,0.0037,0.0025
22,2.0,0.0054,0.0,0.0059,0.0033,0.005
22,4.0,0.0089,0.0,0.0097,0.0056,0.0058
22,best,0.0108,0.0034,0.0115,0.0078,
23,0.5,0.0026,0.0,0.0028,0.0019,0.0023
23,1.0,0.0028,0.0,0.0032,0.0007,0.0025
23,2.0,0.0044,0.0,0.005,0.0022,0.0041
23,4.0,0.0055,0.0,0.0061,0.003,0.0041
23,best,0.0083,0.0,0.0092,0.0045,
24,0.5,0.0023,0.0,0.0025,0.0011,0.002
24,1.0,0.004,0.0,0.0047,0.0011,0.0028
24,2.0,0.0039,0.0,0.0047,0.0007,0.0045
24,4.0,0.0043,0.0,0.0044,0.0037,0.0037
24,best,0.007,0.0,0.0077,0.0041,
25,0.5,0.0033,0.0,0.0035,0.0022,0.0023
25,1.0,0.0055,0.0,0.0067,0.0007,0.0038
25,2.0,0.0041,0.0,0.0044,0.003,0.0046
25,4.0,0.0043,0.0,0.0051,0.0011,0.0043
25,best,0.0088,0.0,0.01,0.0041,
26,0.5,0.003,0.0,0.0032,0.0026,0.0026
26,1.0,0.003,0.0,0.0032,0.0026,0.0024
26,2.0,0.0026,0.0,0.0029,0.0015,0.004
26,4.0,0.0038,0.0,0.0043,0.0015,0.0028
26,best,0.0067,0.0,0.007,0.0052,
27,0.5,0.0022,0.0,0.0025,0.0011,0.0027
27,1.0,0.0021,0.0,0.0022,0.0019,0.0022
27,2.0,0.0022,0.0,0.0025,0.0011,0.0026
27,4.0,0.0022,0.0,0.0026,0.0004,0.0017
27,best,0.0047,0.0,0.0052,0.0026,
