family,target,layer,alpha,target_rate,unscorable
py2_iter,nat,24,0.0,0.7,0.3
py2_iter,nat,24,0.5,0.7,0.3
py2_iter,nat,24,1.0,0.72,0.28
py2_iter,nat,24,2.0,0.84,0.16
py2_iter,nat,24,4.0,0.88,0.12
py2_iter,alt,24,0.0,0.0,0.3
py2_iter,alt,24,0.5,0.06,0.36
py2_iter,alt,24,1.0,0.44,0.18
py2_iter,alt,24,2.0,0.76,0.22
py2_iter,alt,24,4.0,0.9,0.08
js_var,nat,24,0.0,0.3,0.62
js_var,nat,24,0.5,0.52,0.46
js_var,nat,24,1.0,0.32,0.5
js_var,nat,24,2.0,0.4,0.52
js_var,nat,24,4.0,0.42,0.5
js_var,alt,24,0.0,0.08,0.62
js_var,alt,24,0.5,0.26,0.58
js_var,alt,24,1.0,0.24,0.48
js_var,alt,24,2.0,0.34,0.5
js_var,alt,24,4.0,0.42,0.42
js_arrow,nat,24,0.0,0.92,0.0
js_arrow,nat,24,0.5,1.0,0.0
js_arrow,nat,24,1.0,1.0,0.0
js_arrow,nat,24,2.0,1.0,0.0
js_arrow,nat,24,4.0,0.96,0.04
js_arrow,alt,24,0.0,0.08,0.0
js_arrow,alt,24,0.5,0.18,0.0
js_arrow,alt,24,1.0,0.58,0.0
js_arrow,alt,24,2.0,0.94,0.02
js_arrow,alt,24,4.0,1.0,0.0
js_semicolons,nat,24,0.0,0.94,0.02
js_semicolons,nat,24,0.5,0.92,0.0
js_semicolons,nat,24,1.0,0.96,0.0
js_semicolons,nat,24,2.0,0.92,0.0
js_semicolons,nat,24,4.0,0.84,0.06
js_semicolons,alt,24,0.0,0.04,0.02
js_semicolons,alt,24,0.5,0.16,0.02
js_semicolons,alt,24,1.0,0.26,0.04
js_semicolons,alt,24,2.0,0.5,0.04
js_semicolons,alt,24,4.0,0.62,0.08
trailing_commas,nat,24,0.0,0.1,0.38
trailing_commas,nat,24,0.5,0.18,0.32
trailing_commas,nat,24,1.0,0.26,0.42
trailing_commas,nat,24,2.0,0.44,0.36
trailing_commas,nat,24,4.0,0.22,0.62
trailing_commas,alt,24,0.0,0.52,0.38
trailing_commas,alt,24,0.5,0.62,0.34
trailing_commas,alt,24,1.0,0.62,0.34
trailing_commas,alt,24,2.0,0.58,0.42
trailing_commas,alt,24,4.0,0.56,0.4
py_paren_if,nat,24,0.0,0.7,0.3
py_paren_if,nat,24,0.5,0.72,0.26
py_paren_if,nat,24,1.0,0.72,0.28
py_paren_if,nat,24,2.0,0.74,0.26
py_paren_if,nat,24,4.0,0.68,0.32
py_paren_if,alt,24,0.0,0.0,0.3
py_paren_if,alt,24,0.5,0.0,0.3
py_paren_if,alt,24,1.0,0.16,0.34
py_paren_if,alt,24,2.0,0.26,0.24
py_paren_if,alt,24,4.0,0.4,0.4
py_type_hints,nat,24,0.0,0.06,0.08
py_type_hints,nat,24,0.5,0.46,0.1
py_type_hints,nat,24,1.0,0.78,0.04
py_type_hints,nat,24,2.0,1.0,0.0
py_type_hints,nat,24,4.0,1.0,0.0
py_type_hints,alt,24,0.0,0.86,0.08
py_type_hints,alt,24,0.5,0.88,0.12
py_type_hints,alt,24,1.0,0.88,0.1
py_type_hints,alt,24,2.0,0.86,0.14
py_type_hints,alt,24,4.0,0.84,0.16
py_optional,nat,24,0.0,0.16,0.8
py_optional,nat,24,0.5,0.22,0.78
py_optional,nat,24,1.0,0.14,0.86
py_optional,nat,24,2.0,0.16,0.84
py_optional,nat,24,4.0,0.16,0.82
py_optional,alt,24,0.0,0.04,0.8
py_optional,alt,24,0.5,0.02,0.9
py_optional,alt,24,1.0,0.0,0.92
py_optional,alt,24,2.0,0.0,0.94
py_optional,alt,24,4.0,0.0,1.0
py_comprehension,nat,24,0.0,0.36,0.44
py_comprehension,nat,24,0.5,0.32,0.48
py_comprehension,nat,24,1.0,0.42,0.54
py_comprehension,nat,24,2.0,0.42,0.56
py_comprehension,nat,24,4.0,0.2,0.78
py_comprehension,alt,24,0.0,0.2,0.44
