family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
py2_print,alt,24,4.0,0.12,0.082,0.172,0.2,0.79,0.565,0.0,,0.015,0.67
py2_print,nat,24,1.0,0.22,0.168,0.282,0.29,0.695,0.77,0.215,,0.2,0.73
py2_iter,alt,24,4.0,0.771,0.696,0.832,0.91,0.062,0.833,0.035,,0.035,0.549
py2_iter,nat,24,4.0,0.729,0.651,0.795,0.861,0.118,0.833,0.688,,0.611,0.764
js_var,alt,24,4.0,0.305,0.245,0.372,0.415,0.41,0.64,0.045,,0.13,0.495
js_var,nat,24,4.0,0.57,0.501,0.637,0.65,0.31,0.76,0.4,,0.415,0.535
js_arrow,alt,24,2.0,0.837,0.779,0.882,0.964,0.0,0.872,0.051,,0.041,0.566
js_arrow,nat,24,1.0,0.883,0.83,0.921,0.985,0.015,0.888,0.776,,0.786,0.607
js_semicolons,alt,24,4.0,0.589,0.508,0.666,0.671,0.13,0.842,0.075,,0.027,0.589
js_semicolons,nat,24,1.0,0.808,0.737,0.864,0.863,0.096,0.938,0.815,,0.822,0.856
trailing_commas,alt,24,1.0,0.608,0.522,0.687,0.638,0.277,0.908,0.523,,0.454,0.662
trailing_commas,nat,24,2.0,0.415,0.334,0.501,0.431,0.346,0.785,0.131,,0.123,0.846
py_paren_if,alt,24,4.0,0.467,0.399,0.537,0.533,0.327,0.819,0.02,,0.01,0.563
py_paren_if,nat,24,2.0,0.693,0.626,0.753,0.739,0.256,0.91,0.633,,0.618,0.633
py_type_hints,alt,24,0.5,0.812,0.751,0.861,0.844,0.135,0.953,0.682,,0.745,0.828
py_type_hints,nat,24,4.0,0.896,0.845,0.932,0.974,0.021,0.911,0.104,,0.073,0.719
py_optional,alt,24,0.5,0.005,0.001,0.029,0.01,0.885,0.644,0.0,,0.021,0.602
py_optional,nat,24,2.0,0.183,0.135,0.244,0.204,0.775,0.67,0.157,,0.126,0.597
py_comprehension,alt,24,0.5,0.103,0.068,0.154,0.149,0.443,0.856,0.129,,0.124,0.649
py_comprehension,nat,24,1.0,0.381,0.316,0.451,0.433,0.49,0.835,0.361,,0.361,0.598
py_not_in,alt,24,4.0,0.195,0.142,0.262,0.201,0.671,0.841,0.024,,0.006,0.378
py_not_in,nat,24,2.0,0.427,0.354,0.503,0.439,0.549,0.866,0.366,,0.39,0.518
py_ternary,alt,24,1.0,0.289,0.229,0.357,0.305,0.578,0.872,0.251,,0.246,0.492
py_ternary,nat,24,0.5,0.134,0.092,0.19,0.144,0.551,0.904,0.139,,0.134,0.449
early_return,alt,24,4.0,0.36,0.297,0.429,0.38,0.29,0.955,0.205,,0.235,0.825
early_return,nat,24,4.0,0.34,0.278,0.408,0.355,0.61,0.905,0.31,,0.305,0.49
py_join_concat,alt,24,4.0,0.21,0.157,0.276,0.273,0.54,0.733,0.062,,0.125,0.528
py_join_concat,nat,24,4.0,0.597,0.523,0.666,0.693,0.244,0.892,0.438,,0.42,0.676
py_with_open,alt,24,4.0,0.04,0.02,0.077,0.04,0.945,0.86,0.005,,0.01,0.86
py_with_open,nat,24,4.0,0.085,0.054,0.132,0.095,0.905,0.88,0.07,,0.05,0.575
py_enumerate,alt,24,2.0,0.298,0.239,0.365,0.313,0.621,0.929,0.273,,0.414,0.798
py_enumerate,nat,24,4.0,0.742,0.677,0.798,0.894,0.106,0.813,0.177,,0.152,0.763
py_self_name,alt,24,2.0,0.68,0.612,0.741,0.715,0.085,0.915,0.0,,0.0,0.895
py_self_name,nat,24,1.0,0.995,0.972,0.999,1.0,0.0,0.995,0.97,,0.955,0.91
py_indent,alt,24,2.0,0.77,0.707,0.823,0.865,0.115,0.875,0.005,,0.055,0.55
py_indent,nat,24,1.0,0.895,0.845,0.93,0.98,0.02,0.91,0.74,,0.75,0.925
py_tabs,alt,24,2.0,0.69,0.623,0.75,0.87,0.085,0.78,0.01,,0.01,0.915
py_tabs,nat,24,2.0,0.895,0.845,0.93,0.995,0.005,0.895,0.785,,0.755,0.92
operator_spaces,alt,24,2.0,0.417,0.349,0.489,0.476,0.219,0.909,0.032,,0.091,0.668
operator_spaces,nat,24,1.0,0.797,0.733,0.848,0.829,0.128,0.947,0.775,,0.754,0.861
comma_space,alt,24,4.0,0.453,0.384,0.524,0.531,0.172,0.792,0.01,,0.005,0.693
comma_space,nat,24,2.0,0.781,0.718,0.834,0.828,0.167,0.922,0.76,,0.745,0.839
line_wrap,alt,24,2.0,0.675,0.607,0.736,0.755,0.245,0.895,0.66,,0.685,0.395
line_wrap,nat,24,4.0,0.815,0.755,0.863,0.97,0.02,0.84,0.01,,0.01,0.66
docstring_style,alt,24,4.0,0.854,0.799,0.897,0.869,0.121,0.93,0.05,,0.035,0.97
docstring_style,nat,24,4.0,0.955,0.916,0.976,0.955,0.045,0.965,0.683,,0.719,0.975
docstring_quotes,alt,24,4.0,0.23,0.177,0.293,0.235,0.765,0.895,0.025,,0.01,0.905
docstring_quotes,nat,24,1.0,0.175,0.129,0.234,0.175,0.825,0.94,0.15,,0.125,0.96
comment_case,alt,24,2.0,0.26,0.204,0.325,0.335,0.635,0.63,0.045,,0.045,0.575
comment_case,nat,24,2.0,0.205,0.155,0.266,0.235,0.715,0.715,0.215,,0.175,0.69
comment_language,alt,24,1.0,0.075,0.046,0.12,0.165,0.685,0.515,0.0,,0.0,0.565
comment_language,nat,24,1.0,0.36,0.297,0.429,0.41,0.59,0.715,0.345,,0.305,0.63
c_comment_style,alt,24,4.0,0.11,0.074,0.161,0.165,0.755,0.75,0.005,,0.005,0.775
c_comment_style,nat,24,4.0,0.38,0.316,0.449,0.52,0.48,0.8,0.305,,0.325,0.885
sql_keyword_case,alt,24,4.0,0.305,0.245,0.372,0.365,0.23,0.64,0.02,,0.01,0.87
sql_keyword_case,nat,24,4.0,0.74,0.675,0.796,0.835,0.14,0.76,0.67,,0.67,0.885
sql_join_style,alt,24,4.0,0.579,0.507,0.648,0.601,0.306,0.923,0.005,,0.011,0.749
sql_join_style,nat,24,0.5,0.858,0.8,0.901,0.88,0.12,0.973,0.814,,0.842,0.913
r_assignment,alt,24,4.0,0.65,0.582,0.713,0.865,0.085,0.72,0.05,,0.06,0.815
r_assignment,nat,24,2.0,0.785,0.723,0.836,0.985,0.01,0.79,0.74,,0.77,0.905
rust_question,alt,24,2.0,0.115,0.075,0.173,0.133,0.291,0.776,0.036,,0.036,0.594
rust_question,nat,24,1.0,0.721,0.648,0.784,0.806,0.182,0.903,0.703,,0.655,0.8
bash_test,alt,24,4.0,0.92,0.874,0.95,0.96,0.025,0.95,0.67,,0.675,0.765
bash_test,nat,24,2.0,0.51,0.441,0.578,0.57,0.1,0.895,0.2,,0.185,0.87
php_array,alt,24,4.0,0.679,0.61,0.741,0.855,0.124,0.782,0.135,,0.166,0.58
php_array,nat,24,4.0,0.425,0.357,0.495,0.466,0.518,0.819,0.306,,0.212,0.42
