family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,baseline
hex_constants,nat,6,4.0,49,0.8163,0.6864,0.9002,0.9592,0.8367,0.0408,6.7245,0.7755,0.898
hex_constants,nat,8,0.5,49,0.8776,0.7576,0.9427,0.9796,0.898,0.0204,6.6008,0.7755,0.898
hex_constants,nat,8,1.0,49,0.8571,0.7333,0.929,0.9796,0.8571,0.0204,6.6403,0.7755,0.898
hex_constants,nat,8,2.0,49,0.898,0.7824,0.9556,1.0,0.898,0.0,6.6429,0.7755,0.898
hex_constants,nat,8,4.0,49,0.8571,0.7333,0.929,0.9796,0.8776,0.0204,6.7105,0.7755,0.898
hex_constants,nat,10,0.5,49,0.8571,0.7333,0.929,0.9796,0.8571,0.0,6.6148,0.7755,0.898
hex_constants,nat,10,1.0,49,0.898,0.7824,0.9556,0.9796,0.9184,0.0204,6.6582,0.7755,0.898
hex_constants,nat,10,2.0,49,0.8367,0.7096,0.9149,0.9592,0.8571,0.0408,6.7283,0.7755,0.898
hex_constants,nat,10,4.0,49,0.9184,0.8081,0.9678,0.9796,0.9388,0.0204,6.7908,0.7755,0.898
hex_constants,nat,12,0.5,49,0.898,0.7824,0.9556,1.0,0.898,0.0,6.6288,0.7755,0.898
hex_constants,nat,12,1.0,49,0.8776,0.7576,0.9427,0.9592,0.9184,0.0408,6.6824,0.7755,0.898
hex_constants,nat,12,2.0,49,0.9184,0.8081,0.9678,0.9592,0.9388,0.0408,6.7487,0.7755,0.898
hex_constants,nat,12,4.0,49,0.9592,0.8629,0.9887,1.0,0.9592,0.0,6.8138,0.7755,0.898
hex_constants,nat,14,0.5,49,0.8571,0.7333,0.929,0.9796,0.8776,0.0,6.6288,0.7755,0.898
hex_constants,nat,14,1.0,49,0.898,0.7824,0.9556,0.9796,0.9184,0.0204,6.676,0.7755,0.898
hex_constants,nat,14,2.0,49,0.8571,0.7333,0.929,0.9796,0.8776,0.0204,6.7908,0.7755,0.898
hex_constants,nat,14,4.0,49,0.9388,0.8348,0.979,1.0,0.9388,0.0,6.8903,0.7755,0.898
hex_constants,nat,16,0.5,49,0.9592,0.8629,0.9887,1.0,0.9592,0.0,6.6671,0.7755,0.898
hex_constants,nat,16,1.0,49,0.898,0.7824,0.9556,1.0,0.898,0.0,6.764,0.7755,0.898
hex_constants,nat,16,2.0,49,0.8571,0.7333,0.929,0.9796,0.8776,0.0204,6.9031,0.7755,0.898
hex_constants,nat,16,4.0,49,0.9592,0.8629,0.9887,0.9796,0.9592,0.0204,7.1416,0.7755,0.898
hex_constants,nat,18,0.5,49,0.8367,0.7096,0.9149,0.9796,0.8571,0.0204,6.7245,0.7755,0.898
hex_constants,nat,18,1.0,49,0.8776,0.7576,0.9427,0.9796,0.898,0.0204,6.8648,0.7755,0.898
hex_constants,nat,18,2.0,49,0.8367,0.7096,0.9149,0.9796,0.8571,0.0,7.0867,0.7755,0.898
hex_constants,nat,18,4.0,49,0.9184,0.8081,0.9678,1.0,0.9184,0.0,7.3973,0.7755,0.898
hex_constants,nat,20,0.5,49,0.8776,0.7576,0.9427,0.9592,0.9184,0.0408,6.8202,0.7755,0.898
hex_constants,nat,20,1.0,49,0.8776,0.7576,0.9427,1.0,0.8776,0.0,7.0281,0.7755,0.898
hex_constants,nat,20,2.0,49,0.9388,0.8348,0.979,0.9796,0.9592,0.0204,7.3782,0.7755,0.898
hex_constants,nat,20,4.0,49,0.8776,0.7576,0.9427,0.9796,0.898,0.0204,7.8284,0.7755,0.898
hex_constants,nat,22,0.5,49,0.9388,0.8348,0.979,0.9796,0.9592,0.0204,6.9974,0.7755,0.898
hex_constants,nat,22,1.0,49,0.8367,0.7096,0.9149,0.9796,0.8571,0.0204,7.3431,0.7755,0.898
hex_constants,nat,22,2.0,49,0.9388,0.8348,0.979,0.9796,0.9592,0.0204,7.9037,0.7755,0.898
hex_constants,nat,22,4.0,49,0.9388,0.8348,0.979,1.0,0.9388,0.0,8.3157,0.7755,0.898
hex_constants,nat,24,0.5,49,0.898,0.7824,0.9556,0.9796,0.9184,0.0204,7.9082,0.7755,0.898
hex_constants,nat,24,1.0,49,0.9184,0.8081,0.9678,1.0,0.9184,0.0,9.0147,0.7755,0.898
hex_constants,nat,24,2.0,49,0.9388,0.8348,0.979,1.0,0.9388,0.0,10.8042,0.7755,0.898
hex_constants,nat,24,4.0,49,0.8571,0.7333,0.929,0.9796,0.8571,0.0204,11.0732,0.6735,0.898
hex_constants,nat,26,0.5,49,0.898,0.7824,0.9556,1.0,0.898,0.0,10.5338,0.7755,0.898
hex_constants,nat,26,1.0,49,0.898,0.7824,0.9556,0.9796,0.9184,0.0204,13.1333,0.7959,0.898
hex_constants,nat,26,2.0,49,0.9388,0.8348,0.979,1.0,0.9388,0.0,15.1363,0.8163,0.898
hex_constants,nat,26,4.0,49,0.898,0.7824,0.9556,0.9796,0.9184,0.0204,14.2385,0.8163,0.898
hex_constants,alt,2,0.5,49,0.0,0.0,0.0727,0.0,0.8367,0.0204,-6.5638,0.0204,0.0
hex_constants,alt,2,1.0,49,0.0,0.0,0.0727,0.0,0.898,0.0,-6.5714,0.0204,0.0
hex_constants,alt,2,2.0,49,0.0,0.0,0.0727,0.0,0.9388,0.0,-6.5638,0.0204,0.0
hex_constants,alt,2,4.0,49,0.0,0.0,0.0727,0.0,0.9388,0.0,-6.5357,0.0204,0.0
hex_constants,alt,4,0.5,49,0.0,0.0,0.0727,0.0,0.9388,0.0204,-6.5714,0.0204,0.0
hex_constants,alt,4,1.0,49,0.0,0.0,0.0727,0.0,0.9184,0.0204,-6.5625,0.0204,0.0
hex_constants,alt,4,2.0,49,0.0,0.0,0.0727,0.0,0.9388,0.0204,-6.5242,0.0204,0.0
hex_constants,alt,4,4.0,49,0.0,0.0,0.0727,0.0,0.9184,0.0,-6.4592,0.0204,0.0
hex_constants,alt,6,0.5,49,0.0,0.0,0.0727,0.0,0.9184,0.0204,-6.5536,0.0204,0.0
hex_constants,alt,6,1.0,49,0.0,0.0,0.0727,0.0,0.9388,0.0204,-6.5217,0.0204,0.0
hex_constants,alt,6,2.0,49,0.0,0.0,0.0727,0.0,0.9388,0.0,-6.4247,0.0204,0.0
hex_constants,alt,6,4.0,49,0.0,0.0,0.0727,0.0,0.8571,0.0204,-6.2079,0.0204,0.0
hex_constants,alt,8,0.5,49,0.0,0.0,0.0727,0.0,0.8571,0.0204,-6.5395,0.0204,0.0
hex_constants,alt,8,1.0,49,0.0,0.0,0.0727,0.0,0.9388,0.0204,-6.5102,0.0204,0.0
hex_constants,alt,8,2.0,49,0.0,0.0,0.0727,0.0,0.898,0.0408,-6.4184,0.0204,0.0
hex_constants,alt,8,4.0,49,0.0,0.0,0.0727,0.0,0.9796,0.0,-6.1977,0.0204,0.0
hex_constants,alt,10,0.5,49,0.0,0.0,0.0727,0.0,0.9184,0.0204,-6.5408,0.0204,0.0
hex_constants,alt,10,1.0,49,0.0,0.0,0.0727,0.0,0.9184,0.0408,-6.4949,0.0204,0.0
hex_constants,alt,10,2.0,49,0.0,0.0,0.0727,0.0,0.8776,0.0408,-6.3495,0.0204,0.0
hex_constants,alt,10,4.0,49,0.0,0.0,0.0727,0.0,0.898,0.0816,-6.0791,0.0204,0.0
hex_constants,alt,12,0.5,49,0.0204,0.0036,0.1069,0.0204,0.898,0.0204,-6.5281,0.0204,0.0
hex_constants,alt,12,1.0,49,0.0,0.0,0.0727,0.0,0.9184,0.0,-6.4668,0.0204,0.0
hex_constants,alt,12,2.0,49,0.0204,0.0036,0.1069,0.0204,0.9388,0.0204,-6.3469,0.0204,0.0
hex_constants,alt,12,4.0,49,0.0,0.0,0.0727,0.0,0.9592,0.0408,-6.0676,0.0204,0.0
hex_constants,alt,14,0.5,49,0.0,0.0,0.0727,0.0,0.898,0.0408,-6.537,0.0204,0.0
hex_constants,alt,14,1.0,49,0.0,0.0,0.0727,0.0,0.8367,0.0204,-6.4694,0.0204,0.0
hex_constants,alt,14,2.0,49,0.0204,0.0036,0.1069,0.0204,0.898,0.0204,-6.3316,0.0204,0.0
hex_constants,alt,14,4.0,49,0.0,0.0,0.0727,0.0,0.8776,0.0408,-6.0612,0.0204,0.0
hex_constants,alt,16,0.5,49,0.0,0.0,0.0727,0.0,0.9592,0.0204,-6.4821,0.0204,0.0
hex_constants,alt,16,1.0,49,0.0,0.0,0.0727,0.0,0.9184,0.0204,-6.3814,0.0204,0.0
hex_constants,alt,16,2.0,49,0.0204,0.0036,0.1069,0.0204,0.9184,0.0408,-6.1798,0.0204,0.0
hex_constants,alt,16,4.0,49,0.0204,0.0036,0.1069,0.0204,0.898,0.0408,-5.7921,0.0204,0.0
hex_constants,alt,18,0.5,49,0.0,0.0,0.0727,0.0,0.9388,0.0204,-6.4107,0.0204,0.0
hex_constants,alt,18,1.0,49,0.0204,0.0036,0.1069,0.0204,0.9184,0.0204,-6.2283,0.0204,0.0
hex_constants,alt,18,2.0,49,0.0,0.0,0.0727,0.0,0.898,0.0204,-5.8533,0.0204,0.0
hex_constants,alt,18,4.0,49,0.0,0.0,0.0727,0.0,0.8571,0.0204,-5.176,0.0204,0.0
hex_constants,alt,20,0.5,49,0.0,0.0,0.0727,0.0,0.898,0.0204,-6.3278,0.0204,0.0
hex_constants,alt,20,1.0,49,0.0,0.0,0.0727,0.0,0.9388,0.0204,-6.0153,0.0204,0.0
hex_constants,alt,20,2.0,49,0.0,0.0,0.0727,0.0,0.898,0.0408,-5.3839,0.0204,0.0
hex_constants,alt,20,4.0,49,0.0612,0.021,0.1652,0.0612,0.9796,0.0204,-4.0357,0.0816,0.0
hex_constants,alt,22,0.5,49,0.0204,0.0036,0.1069,0.0408,0.898,0.0204,-6.0459,0.0408,0.0
hex_constants,alt,22,1.0,49,0.0204,0.0036,0.1069,0.0204,0.9388,0.0408,-5.3431,0.0408,0.0
hex_constants,alt,22,2.0,49,0.0204,0.0036,0.1069,0.0204,0.9592,0.0204,-3.7156,0.102,0.0
hex_constants,alt,22,4.0,49,0.102,0.0444,0.2176,0.1224,0.9184,0.0612,-0.8495,0.3265,0.0
hex_constants,alt,24,0.5,49,0.0204,0.0036,0.1069,0.0204,0.9388,0.0408,-4.4911,0.0816,0.0
hex_constants,alt,24,1.0,49,0.0204,0.0036,0.1069,0.0204,0.9388,0.0204,-1.8967,0.2041,0.0
hex_constants,alt,24,2.0,49,0.1224,0.0573,0.2424,0.1429,0.8571,0.1633,1.4298,0.6939,0.0
hex_constants,alt,24,4.0,49,0.2449,0.146,0.3809,0.3061,0.8571,0.1429,4.0612,0.8776,0.0
hex_constants,alt,26,0.5,49,0.0204,0.0036,0.1069,0.0204,0.9592,0.0408,-2.5268,0.1224,0.0
hex_constants,alt,26,1.0,49,0.0408,0.0113,0.1371,0.0408,0.8776,0.0204,0.1327,0.5102,0.0
hex_constants,alt,26,2.0,49,0.102,0.0444,0.2176,0.102,0.7959,0.0612,3.1913,0.8571,0.0
hex_constants,alt,26,4.0,49,0.2041,0.1148,0.3364,0.2449,0.7347,0.1224,7.6441,1.0,0.0
js_hungarian,nat,2,0.5,50,0.56,0.4231,0.6884,0.64,0.82,0.36,-1.3713,0.22,0.76
js_hungarian,nat,2,1.0,50,0.6,0.4618,0.7239,0.68,0.92,0.32,-1.3744,0.22,0.76
js_hungarian,nat,2,2.0,50,0.66,0.5215,0.7756,0.8,0.82,0.2,-1.38,0.22,0.76
js_hungarian,nat,2,4.0,50,0.6,0.4618,0.7239,0.74,0.84,0.24,-1.3812,0.22,0.76
js_hungarian,nat,4,0.5,50,0.7,0.5625,0.809,0.8,0.9,0.2,-1.3769,0.22,0.76
js_hungarian,nat,4,1.0,50,0.64,0.5014,0.7586,0.72,0.92,0.26,-1.38,0.22,0.76
js_hungarian,nat,4,2.0,50,0.64,0.5014,0.7586,0.8,0.82,0.2,-1.3919,0.22,0.76
js_hungarian,nat,4,4.0,50,0.64,0.5014,0.7586,0.7,0.9,0.26,-1.3662,0.22,0.76
js_hungarian,nat,6,0.5,50,0.66,0.5215,0.7756,0.76,0.88,0.24,-1.3813,0.22,0.76
js_hungarian,nat,6,1.0,50,0.7,0.5625,0.809,0.74,0.94,0.26,-1.3944,0.22,0.76
js_hungarian,nat,6,2.0,50,0.54,0.404,0.6703,0.66,0.84,0.32,-1.3925,0.22,0.76
js_hungarian,nat,6,4.0,50,0.62,0.4815,0.7414,0.82,0.78,0.16,-1.4088,0.22,0.76
js_hungarian,nat,8,0.5,50,0.64,0.5014,0.7586,0.72,0.92,0.28,-1.3744,0.22,0.76
js_hungarian,nat,8,1.0,50,0.64,0.5014,0.7586,0.8,0.84,0.2,-1.3725,0.22,0.76
js_hungarian,nat,8,2.0,50,0.64,0.5014,0.7586,0.72,0.88,0.28,-1.3713,0.22,0.76
js_hungarian,nat,8,4.0,50,0.66,0.5215,0.7756,0.72,0.9,0.26,-1.3762,0.22,0.76
js_hungarian,nat,10,0.5,50,0.68,0.5419,0.7924,0.82,0.84,0.18,-1.3694,0.22,0.76
js_hungarian,nat,10,1.0,50,0.52,0.3851,0.652,0.7,0.78,0.28,-1.37,0.22,0.76
js_hungarian,nat,10,2.0,50,0.68,0.5419,0.7924,0.84,0.84,0.16,-1.3475,0.22,0.76
js_hungarian,nat,10,4.0,50,0.7,0.5625,0.809,0.82,0.86,0.18,-1.31,0.22,0.76
js_hungarian,nat,12,0.5,50,0.74,0.6045,0.8413,0.82,0.88,0.18,-1.3738,0.22,0.76
js_hungarian,nat,12,1.0,50,0.76,0.6259,0.857,0.82,0.94,0.18,-1.375,0.22,0.76
