task,group,cf_task,zero_shot,n1_baseline,n1_mean_ablation_pc5c,n1_zero_ablation_pc5c,n1_cf_mean_ablation_pc5c,n1_cf_zero_ablation_pc5c,n1_mean_ablation_mr11,n1_zero_ablation_mr11,n1_cf_mean_ablation_mr11,n1_cf_zero_ablation_mr11,n6_baseline,n6_mean_ablation_pc5c,n6_zero_ablation_pc5c,n6_cf_mean_ablation_pc5c,n6_cf_zero_ablation_pc5c,n6_mean_ablation_mr11,n6_zero_ablation_mr11,n6_cf_mean_ablation_mr11,n6_cf_zero_ablation_mr11
singular_or_plural,train,animal_plant_object,0.0,0.1533,0.1267,0.16,0.06,0.1533,0.0133,0.0,0.0667,0.12,0.6133,0.58,0.5,0.5467,0.48,0.0733,0.0667,0.6067,0.54
smaller_of_pair,heldout,country-capital,0.0,0.2867,0.26,0.2933,0.24,0.16,0.1067,0.0867,0.2067,0.2933,0.4933,0.4333,0.42,0.4667,0.3667,0.3067,0.3067,0.4667,0.4533
spanish-english,heldout,plural_to_singular,0.0,0.4667,0.4533,0.2,0.4467,0.3333,0.1533,0.1133,0.4133,0.4267,0.7133,0.6733,0.4267,0.7333,0.5933,0.44,0.3267,0.7067,0.6267
spanish_noun_gender,train,english-french,0.0,0.1667,0.2733,0.3133,0.1067,0.14,0.0,0.0,0.1667,0.1467,0.62,0.6667,0.52,0.66,0.5333,0.0067,0.0,0.5667,0.48
starts_with_vowel,train,past_to_base,0.0,0.0867,0.0867,0.0667,0.0067,0.02,0.0,0.0,0.0267,0.0333,0.46,0.36,0.4533,0.5467,0.38,0.1267,0.1467,0.5533,0.4867
third_person_to_base,train,initials_two_words,0.0,0.2267,0.3267,0.1133,0.2733,0.1533,0.1,0.0333,0.2067,0.16,0.8533,0.82,0.56,0.8267,0.8133,0.3,0.1733,0.82,0.82
titlecase_phrase,train,verb_tense_label,0.0,0.1667,0.2333,0.06,0.1067,0.1867,0.0467,0.06,0.16,0.2,0.92,0.8467,0.3333,0.92,0.9467,0.0867,0.0933,0.9267,0.94
uppercase_word,heldout,english-spanish,0.0,0.22,0.3467,0.14,0.2333,0.08,0.0267,0.0333,0.2333,0.2267,0.9267,0.8867,0.62,0.9267,0.6867,0.0867,0.08,0.9333,0.94
us-city-state,train,starts_with_vowel,0.0,0.4333,0.2,0.16,0.3467,0.26,0.02,0.0133,0.3733,0.2933,0.6533,0.6667,0.6533,0.6533,0.72,0.0133,0.0067,0.6533,0.6933
verb_tense_label,train,word_polarity,0.0,0.0667,0.08,0.0333,0.0533,0.0667,0.0067,0.0067,0.0467,0.0333,0.32,0.14,0.0467,0.3467,0.2467,0.14,0.1,0.3667,0.26
verb_to_third_person,train,next_month_of_date,0.0,0.2867,0.3067,0.1933,0.22,0.2133,0.0067,0.0267,0.2333,0.2,0.7667,0.74,0.2867,0.7667,0.76,0.0,0.0067,0.76,0.7533
word_polarity,heldout,capitalize_first_letter,0.0,0.18,0.34,0.34,0.1133,0.1067,0.0,0.0,0.22,0.12,0.68,0.5467,0.6533,0.5933,0.4667,0.0067,0.0,0.6733,0.64
