family,direction,context,target,k_ctx,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_ci_lo,unsteered_ci_hi,unsteered_judge_ok,cf_accuracy,reference,reach,pass_50,sig_vs_unsteered
py_paren_if,nat2alt,nat,alt,3,17,4.0,199,0.503,0.434,0.571,0.623,0.201,0.176,0.749,0.005,0.001,0.028,0.894,,0.754,0.667,True,True
py_type_hints,alt2nat,alt,nat,3,4,2.0,192,0.396,0.329,0.466,0.417,0.417,0.167,0.943,0.005,0.001,0.029,0.974,,0.646,0.613,True,True
py_type_hints,nat2alt,nat,alt,3,12,2.0,192,0.771,0.706,0.825,0.781,0.005,0.214,0.984,0.245,0.189,0.31,0.969,,0.771,1.0,True,True
py_optional,alt2nat,alt,nat,3,17,4.0,191,0.455,0.386,0.526,0.497,0.016,0.487,0.932,0.079,0.048,0.126,0.969,,0.545,0.835,True,True
py_optional,nat2alt,nat,alt,3,5,4.0,191,0.288,0.228,0.356,0.304,0.11,0.586,0.942,0.0,0.0,0.02,0.921,,0.476,0.605,True,True
py_builtin_generics,alt2nat,alt,nat,3,0,2.0,113,0.823,0.742,0.882,0.903,0.009,0.088,0.903,0.0,0.0,0.033,0.938,,0.805,1.022,True,True
py_builtin_generics,nat2alt,nat,alt,3,5,1.0,113,0.805,0.723,0.868,0.841,0.062,0.097,0.947,0.0,0.0,0.033,0.929,,0.894,0.9,True,True
py_comprehension,alt2nat,alt,nat,3,18,4.0,194,0.196,0.146,0.257,0.232,0.588,0.18,0.768,0.098,0.064,0.148,0.881,,0.629,0.312,False,True
py_comprehension,nat2alt,nat,alt,3,1,4.0,194,0.082,0.051,0.13,0.309,0.242,0.448,0.479,0.021,0.008,0.052,0.897,,0.598,0.137,False,True
py_not_in,alt2nat,alt,nat,3,14,4.0,164,0.262,0.201,0.334,0.311,0.28,0.409,0.866,0.104,0.066,0.16,0.896,,0.488,0.537,True,True
py_not_in,nat2alt,nat,alt,3,18,4.0,164,0.134,0.09,0.195,0.177,0.299,0.524,0.805,0.055,0.029,0.101,0.86,,0.415,0.323,False,True
py_is_none,alt2nat,alt,nat,3,2,2.0,114,0.667,0.576,0.747,0.728,0.026,0.246,0.877,0.088,0.048,0.154,0.921,,0.649,1.028,True,True
py_is_none,nat2alt,nat,alt,3,0,2.0,114,0.509,0.418,0.599,0.693,0.053,0.254,0.746,0.0,0.0,0.033,0.921,,0.632,0.805,True,True
py_ternary,alt2nat,alt,nat,3,2,4.0,187,0.053,0.029,0.096,0.225,0.342,0.433,0.396,0.021,0.008,0.054,0.898,,0.631,0.084,False,True
py_ternary,nat2alt,nat,alt,3,1,4.0,187,0.166,0.119,0.226,0.38,0.15,0.471,0.439,0.118,0.079,0.172,0.877,,0.759,0.219,False,True
early_return,alt2nat,alt,nat,3,10,2.0,200,0.225,0.173,0.288,0.25,0.475,0.275,0.825,0.08,0.05,0.126,0.89,,0.375,0.6,True,True
early_return,nat2alt,nat,alt,3,1,4.0,200,0.33,0.269,0.398,0.505,0.17,0.325,0.665,0.225,0.173,0.288,0.9,,0.78,0.423,False,True
py_join_concat,alt2nat,alt,nat,3,13,4.0,176,0.307,0.243,0.378,0.523,0.062,0.415,0.591,0.091,0.057,0.143,0.909,,0.625,0.491,False,True
py_join_concat,nat2alt,nat,alt,3,3,4.0,176,0.25,0.192,0.319,0.398,0.267,0.335,0.705,0.034,0.016,0.072,0.903,,0.585,0.427,False,True
py_with_open,alt2nat,alt,nat,3,5,4.0,200,0.535,0.466,0.603,0.67,0.04,0.29,0.775,0.035,0.017,0.07,0.955,,0.715,0.748,True,True
py_with_open,nat2alt,nat,alt,3,5,4.0,200,0.29,0.232,0.356,0.49,0.225,0.285,0.64,0.025,0.011,0.057,0.955,,0.755,0.384,False,True
py_enumerate,alt2nat,alt,nat,3,17,4.0,198,0.424,0.357,0.494,0.641,0.258,0.101,0.722,0.162,0.117,0.219,0.874,,0.646,0.656,True,True
py_enumerate,nat2alt,nat,alt,3,1,4.0,198,0.323,0.262,0.391,0.449,0.268,0.283,0.702,0.091,0.058,0.139,0.833,,0.616,0.524,True,True
py_self_name,alt2nat,alt,nat,3,4,1.0,200,0.86,0.805,0.901,0.945,0.005,0.05,0.895,0.0,0.0,0.019,0.96,,0.885,0.972,True,True
py_self_name,nat2alt,nat,alt,3,0,2.0,200,0.865,0.811,0.906,0.965,0.0,0.035,0.895,0.0,0.0,0.019,0.93,,0.9,0.961,True,True
py_indent,alt2nat,alt,nat,3,1,1.0,200,0.925,0.88,0.954,0.995,0.005,0.0,0.93,0.41,0.344,0.479,0.96,,0.955,0.969,True,True
py_indent,nat2alt,nat,alt,3,1,4.0,200,0.685,0.618,0.745,0.825,0.15,0.025,0.84,0.0,0.0,0.019,0.985,,0.53,1.292,True,True
py_tabs,alt2nat,alt,nat,3,2,2.0,200,0.685,0.618,0.745,0.75,0.09,0.16,0.93,0.01,0.003,0.036,0.91,,0.945,0.725,True,True
py_tabs,nat2alt,nat,alt,3,9,4.0,200,0.75,0.686,0.805,0.885,0.09,0.025,0.845,0.0,0.0,0.019,0.93,,0.925,0.811,True,True
operator_spaces,alt2nat,alt,nat,3,2,2.0,187,0.738,0.671,0.796,0.791,0.053,0.155,0.941,0.257,0.199,0.324,0.914,,0.807,0.914,True,True
operator_spaces,nat2alt,nat,alt,3,9,4.0,187,0.604,0.533,0.672,0.722,0.091,0.187,0.861,0.011,0.003,0.038,0.936,,0.604,1.0,True,True
comma_space,alt2nat,alt,nat,3,9,2.0,192,0.724,0.657,0.782,0.76,0.12,0.12,0.932,0.214,0.161,0.277,0.953,,0.844,0.858,True,True
comma_space,nat2alt,nat,alt,3,9,4.0,192,0.573,0.502,0.641,0.656,0.208,0.135,0.865,0.005,0.001,0.029,0.911,,0.594,0.965,True,True
line_wrap,alt2nat,alt,nat,3,8,4.0,200,0.35,0.287,0.418,0.48,0.16,0.36,0.735,0.0,0.0,0.019,0.9,,0.61,0.574,True,True
line_wrap,nat2alt,nat,alt,3,7,2.0,200,0.205,0.155,0.266,0.24,0.14,0.62,0.765,0.11,0.074,0.161,0.925,,0.37,0.554,True,True
blank_lines,alt2nat,alt,nat,3,0,1.0,142,0.676,0.595,0.748,0.796,0.021,0.183,0.817,0.0,0.0,0.026,0.718,,0.648,1.043,True,True
blank_lines,nat2alt,nat,alt,3,1,1.0,142,0.69,0.61,0.76,0.789,0.014,0.197,0.817,0.021,0.007,0.06,0.782,,0.69,1.0,True,True
docstring_style,alt2nat,alt,nat,3,13,4.0,199,0.869,0.815,0.909,0.905,0.035,0.06,0.935,0.015,0.005,0.043,0.98,,0.975,0.891,True,True
docstring_style,nat2alt,nat,alt,3,4,4.0,199,0.558,0.488,0.625,0.724,0.02,0.256,0.779,0.0,0.0,0.019,0.995,,0.935,0.597,True,True
docstring_quotes,alt2nat,alt,nat,3,1,1.0,200,0.955,0.917,0.976,0.995,0.0,0.005,0.955,0.0,0.0,0.019,0.955,,0.985,0.97,True,True
docstring_quotes,nat2alt,nat,alt,3,0,1.0,200,0.965,0.93,0.983,1.0,0.0,0.0,0.965,0.0,0.0,0.019,0.965,,0.96,1.005,True,True
comment_case,alt2nat,alt,nat,3,4,1.0,200,0.645,0.577,0.708,0.715,0.02,0.265,0.895,0.035,0.017,0.07,0.945,,0.715,0.902,True,True
comment_case,nat2alt,nat,alt,3,4,2.0,200,0.59,0.521,0.656,0.62,0.095,0.285,0.96,0.015,0.005,0.043,0.94,,0.62,0.952,True,True
comment_language,alt2nat,alt,nat,3,17,2.0,200,0.555,0.486,0.622,0.595,0.04,0.365,0.91,0.045,0.024,0.083,0.945,,0.67,0.828,True,True
comment_language,nat2alt,nat,alt,3,2,2.0,200,0.23,0.177,0.293,0.53,0.1,0.37,0.455,0.0,0.0,0.019,0.95,,0.6,0.383,False,True
c_comment_style,alt2nat,alt,nat,3,0,2.0,200,0.785,0.723,0.836,0.81,0.0,0.19,0.88,0.015,0.005,0.043,0.97,,0.73,1.075,True,True
c_comment_style,nat2alt,nat,alt,3,17,2.0,200,0.685,0.618,0.745,0.8,0.02,0.18,0.79,0.0,0.0,0.019,0.875,,0.74,0.926,True,True
sql_keyword_case,alt2nat,alt,nat,3,10,1.0,200,0.9,0.851,0.934,0.97,0.01,0.02,0.93,0.01,0.003,0.036,0.86,,0.945,0.952,True,True
sql_keyword_case,nat2alt,nat,alt,3,8,2.0,200,0.795,0.734,0.845,0.905,0.025,0.07,0.865,0.0,0.0,0.019,0.92,,0.76,1.046,True,True
sql_join_style,alt2nat,alt,nat,3,3,4.0,183,0.601,0.529,0.669,0.907,0.033,0.06,0.656,0.12,0.081,0.175,0.94,,0.858,0.7,True,True
sql_join_style,nat2alt,nat,alt,3,9,4.0,183,0.372,0.305,0.444,0.448,0.23,0.322,0.77,0.0,0.0,0.021,0.973,,0.596,0.624,True,True
r_assignment,alt2nat,alt,nat,3,0,1.0,200,0.925,0.88,0.954,0.995,0.005,0.0,0.93,0.025,0.011,0.057,0.895,,0.89,1.039,True,True
r_assignment,nat2alt,nat,alt,3,8,2.0,200,0.8,0.739,0.85,0.885,0.005,0.11,0.88,0.0,0.0,0.019,0.925,,0.785,1.019,True,True
rust_question,alt2nat,alt,nat,3,7,4.0,165,0.473,0.398,0.549,0.752,0.036,0.212,0.624,0.048,0.025,0.093,0.927,,0.794,0.596,True,True
rust_question,nat2alt,nat,alt,3,13,4.0,165,0.03,0.013,0.069,0.03,0.473,0.497,0.848,0.012,0.003,0.043,0.964,,0.824,0.036,False,True
bash_test,alt2nat,alt,nat,3,13,1.0,200,0.83,0.772,0.876,0.875,0.07,0.055,0.935,0.01,0.003,0.036,0.97,,0.88,0.943,True,True
bash_test,nat2alt,nat,alt,3,2,2.0,200,0.9,0.851,0.934,0.94,0.015,0.045,0.96,0.01,0.003,0.036,0.98,,0.92,0.978,True,True
php_array,alt2nat,alt,nat,3,2,2.0,193,0.363,0.298,0.433,0.425,0.036,0.539,0.813,0.036,0.018,0.073,0.855,,0.404,0.899,True,True
php_array,nat2alt,nat,alt,3,3,4.0,193,0.306,0.245,0.374,0.487,0.041,0.472,0.642,0.031,0.014,0.066,0.86,,0.409,0.748,True,True
