family,direction,unsteered,best_layer,best_alpha,best_rate,best_layer_9,best_alpha_9,best_rate_9,rate_L0,gain_full_vs_9
py2_except,nat2alt,0.0,1,1.0,0.98,2,1.0,0.98,0.96,0.0
py2_except,alt2nat,0.02,4,1.0,0.98,4,1.0,0.98,0.96,0.0
js_var,nat2alt,0.02,1,4.0,0.8,2,4.0,0.76,0.74,0.04
js_var,alt2nat,0.04,10,2.0,0.8,10,2.0,0.8,0.68,0.0
js_arrow,nat2alt,0.0,3,4.0,0.5,2,4.0,0.4,0.24,0.1
js_arrow,alt2nat,0.02,3,4.0,0.88,16,4.0,0.88,0.86,0.0
js_semicolons,nat2alt,0.02,23,2.0,0.96,12,4.0,0.96,0.92,0.0
js_semicolons,alt2nat,0.08,9,2.0,1.0,4,1.0,0.98,0.98,0.02
js_strict_eq,nat2alt,0.02,17,4.0,0.86,20,4.0,0.8,0.76,0.06
js_strict_eq,alt2nat,0.12,0,2.0,0.88,4,1.0,0.86,0.88,0.02
trailing_commas,nat2alt,0.28,2,4.0,0.74,2,4.0,0.74,0.62,0.0
trailing_commas,alt2nat,0.18,4,4.0,0.7,4,4.0,0.7,0.52,0.0
py_paren_if,nat2alt,0.02,8,4.0,0.78,8,4.0,0.78,0.26,0.0
py_paren_if,alt2nat,0.04,0,2.0,0.84,2,2.0,0.78,0.84,0.06
py_type_hints,nat2alt,0.2,9,4.0,0.82,12,2.0,0.8,0.46,0.02
py_type_hints,alt2nat,0.0,3,2.0,0.42,4,2.0,0.42,0.06,0.0
py_optional,nat2alt,0.0,5,4.0,0.3,6,4.0,0.26,0.04,0.04
py_optional,alt2nat,0.04,14,4.0,0.42,16,4.0,0.36,0.18,0.06
py_builtin_generics,nat2alt,0.0,5,1.0,0.88,8,2.0,0.88,0.86,0.0
py_builtin_generics,alt2nat,0.0,0,2.0,0.86,2,2.0,0.86,0.86,0.0
py_comprehension,nat2alt,0.02,1,4.0,0.28,4,4.0,0.18,0.2,0.1
py_comprehension,alt2nat,0.14,18,4.0,0.24,12,4.0,0.22,0.22,0.02
py_not_in,nat2alt,0.04,2,4.0,0.22,2,4.0,0.22,0.08,0.0
py_not_in,alt2nat,0.14,14,4.0,0.38,8,4.0,0.36,0.22,0.02
py_is_none,nat2alt,0.0,0,2.0,0.62,6,2.0,0.54,0.62,0.08
py_is_none,alt2nat,0.04,1,2.0,0.8,2,2.0,0.76,0.74,0.04
py_ternary,nat2alt,0.08,1,4.0,0.42,4,4.0,0.4,0.34,0.02
py_ternary,alt2nat,0.0,2,4.0,0.2,2,4.0,0.2,0.08,0.0
early_return,nat2alt,0.36,1,4.0,0.62,12,4.0,0.6,0.46,0.02
early_return,alt2nat,0.08,5,4.0,0.26,10,2.0,0.24,0.24,0.02
py_join_concat,nat2alt,0.04,3,4.0,0.38,4,4.0,0.38,0.34,0.0
py_join_concat,alt2nat,0.12,8,4.0,0.58,8,4.0,0.58,0.24,0.0
py_with_open,nat2alt,0.02,5,4.0,0.54,4,4.0,0.52,0.2,0.02
py_with_open,alt2nat,0.04,5,4.0,0.84,4,4.0,0.68,0.34,0.16
py_enumerate,nat2alt,0.08,1,4.0,0.46,8,4.0,0.3,0.28,0.16
py_enumerate,alt2nat,0.26,8,4.0,0.72,8,4.0,0.72,0.44,0.0
py_self_name,nat2alt,0.0,0,2.0,0.98,10,4.0,0.98,0.98,0.0
py_self_name,alt2nat,0.02,4,1.0,1.0,4,1.0,1.0,0.96,0.0
py_indent,nat2alt,0.0,2,2.0,0.78,2,2.0,0.78,0.74,0.0
py_indent,alt2nat,0.42,0,1.0,1.0,2,1.0,1.0,1.0,0.0
py_tabs,nat2alt,0.0,9,4.0,1.0,16,4.0,1.0,0.92,0.0
py_tabs,alt2nat,0.0,2,2.0,0.82,2,2.0,0.82,0.78,0.0
operator_spaces,nat2alt,0.02,5,4.0,0.72,12,4.0,0.72,0.26,0.0
operator_spaces,alt2nat,0.2,2,1.0,0.82,2,1.0,0.82,0.62,0.0
comma_space,nat2alt,0.0,9,4.0,0.68,8,4.0,0.58,0.54,0.1
comma_space,alt2nat,0.3,9,2.0,0.8,8,4.0,0.8,0.62,0.0
line_wrap,nat2alt,0.04,7,2.0,0.38,8,4.0,0.38,0.12,0.0
line_wrap,alt2nat,0.0,7,4.0,0.52,8,4.0,0.52,0.12,0.0
blank_lines,nat2alt,0.0,0,1.0,0.8,2,2.0,0.76,0.8,0.04
blank_lines,alt2nat,0.02,0,1.0,0.78,2,1.0,0.74,0.78,0.04
docstring_style,nat2alt,0.0,5,4.0,0.8,4,4.0,0.76,0.3,0.04
docstring_style,alt2nat,0.04,7,4.0,0.94,20,4.0,0.94,0.5,0.0
docstring_quotes,nat2alt,0.0,0,1.0,1.0,8,1.0,1.0,1.0,0.0
docstring_quotes,alt2nat,0.0,1,1.0,1.0,2,1.0,1.0,1.0,0.0
comment_case,nat2alt,0.02,4,2.0,0.56,4,2.0,0.56,0.52,0.0
comment_case,alt2nat,0.0,7,2.0,0.62,4,1.0,0.6,0.54,0.02
comment_language,nat2alt,0.02,2,2.0,0.24,2,2.0,0.24,0.12,0.0
comment_language,alt2nat,0.08,17,2.0,0.48,6,4.0,0.48,0.14,0.0
c_comment_style,nat2alt,0.0,5,2.0,0.84,6,4.0,0.84,0.7,0.0
c_comment_style,alt2nat,0.02,0,2.0,0.94,4,2.0,0.94,0.94,0.0
sql_keyword_case,nat2alt,0.0,19,2.0,0.98,8,2.0,0.94,0.88,0.04
sql_keyword_case,alt2nat,0.0,9,1.0,1.0,10,1.0,1.0,0.98,0.0
sql_join_style,nat2alt,0.0,9,4.0,0.48,10,4.0,0.48,0.26,0.0
sql_join_style,alt2nat,0.12,1,4.0,0.78,2,4.0,0.76,0.72,0.02
r_assignment,nat2alt,0.0,0,0.5,0.88,8,2.0,0.88,0.88,0.0
r_assignment,alt2nat,0.0,0,1.0,1.0,2,1.0,1.0,1.0,0.0
rust_question,nat2alt,0.02,13,4.0,0.08,6,2.0,0.06,0.02,0.02
rust_question,alt2nat,0.1,0,4.0,0.8,12,4.0,0.76,0.8,0.04
bash_test,nat2alt,0.0,2,2.0,0.92,2,2.0,0.92,0.9,0.0
bash_test,alt2nat,0.04,13,1.0,0.92,16,2.0,0.92,0.76,0.0
php_array,nat2alt,0.08,3,4.0,0.64,20,4.0,0.62,0.34,0.02
php_array,alt2nat,0.02,1,2.0,0.64,2,2.0,0.62,0.42,0.02
