property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
percent_sign,nat,20,2.0,1.0,1.0,0.0,0.0,60
percent_sign,nat,24,2.0,0.983,0.983,0.017,0.0,60
quote_punct,alt,2,32.0,0.05,0.057,0.17,0.117,60
quote_punct,alt,4,0.5,0.033,0.035,0.035,0.05,60
quote_punct,alt,6,2.0,0.017,0.017,0.083,0.0,60
quote_punct,alt,8,0.25,0.05,0.054,0.161,0.067,60
quote_punct,alt,10,16.0,0.017,0.019,0.075,0.117,60
quote_punct,alt,12,8.0,0.05,0.051,0.085,0.017,60
quote_punct,alt,16,32.0,0.867,0.963,0.0,0.1,60
quote_punct,alt,20,4.0,0.983,1.0,0.0,0.017,60
quote_punct,alt,24,4.0,1.0,1.0,0.0,0.0,60
quote_punct,nat,2,0.25,0.833,0.893,0.054,0.067,60
quote_punct,nat,4,4.0,0.883,0.914,0.069,0.033,60
quote_punct,nat,6,2.0,0.9,0.9,0.083,0.0,60
quote_punct,nat,8,0.5,0.817,0.875,0.107,0.067,60
quote_punct,nat,10,8.0,0.9,0.931,0.052,0.033,60
quote_punct,nat,12,8.0,0.867,0.897,0.069,0.033,60
quote_punct,nat,16,2.0,0.9,0.915,0.068,0.017,60
quote_punct,nat,20,4.0,1.0,1.0,0.0,0.0,60
quote_punct,nat,24,2.0,1.0,1.0,0.0,0.0,60
sentence_caps,alt,2,32.0,0.067,0.067,0.05,0.0,60
sentence_caps,alt,4,0.5,0.0,0.0,0.017,0.0,60
sentence_caps,alt,6,0.5,0.0,0.0,0.05,0.0,60
sentence_caps,alt,8,2.0,0.017,0.017,0.017,0.033,60
sentence_caps,alt,10,8.0,0.383,0.397,0.017,0.033,60
sentence_caps,alt,12,4.0,0.333,0.339,0.034,0.017,60
sentence_caps,alt,16,4.0,0.3,0.31,0.069,0.033,60
sentence_caps,alt,20,8.0,0.383,0.397,0.052,0.033,60
sentence_caps,alt,24,16.0,0.3,0.31,0.052,0.033,60
sentence_caps,nat,2,16.0,0.933,0.933,0.033,0.0,60
sentence_caps,nat,4,16.0,0.883,0.898,0.102,0.017,60
sentence_caps,nat,6,16.0,0.95,0.95,0.033,0.0,60
sentence_caps,nat,8,32.0,0.983,0.983,0.017,0.0,60
sentence_caps,nat,10,4.0,0.967,0.967,0.033,0.0,60
sentence_caps,nat,12,16.0,1.0,1.0,0.0,0.0,60
sentence_caps,nat,16,4.0,0.967,0.967,0.033,0.0,60
sentence_caps,nat,20,2.0,0.933,0.982,0.0,0.05,60
sentence_caps,nat,24,4.0,0.933,0.933,0.067,0.0,60
us_uk,alt,2,4.0,0.017,0.018,0.807,0.05,60
us_uk,alt,4,2.0,0.017,0.017,0.85,0.0,60
us_uk,alt,6,4.0,0.017,0.018,0.895,0.05,60
us_uk,alt,8,0.5,0.017,0.017,0.845,0.033,60
us_uk,alt,10,8.0,0.0,0.0,0.898,0.017,60
us_uk,alt,12,0.5,0.033,0.034,0.797,0.017,60
us_uk,alt,16,0.5,0.017,0.017,0.767,0.0,60
us_uk,alt,20,32.0,0.067,0.068,0.864,0.017,60
us_uk,alt,24,4.0,0.117,0.121,0.845,0.033,60
us_uk,nat,2,2.0,0.133,0.138,0.862,0.033,60
us_uk,nat,4,0.5,0.2,0.2,0.8,0.0,60
us_uk,nat,6,0.5,0.15,0.15,0.85,0.0,60
us_uk,nat,8,0.5,0.133,0.138,0.845,0.033,60
us_uk,nat,10,1.0,0.233,0.233,0.75,0.0,60
us_uk,nat,12,0.25,0.2,0.2,0.767,0.0,60
us_uk,nat,16,0.25,0.183,0.183,0.817,0.0,60
us_uk,nat,20,0.5,0.233,0.237,0.763,0.017,60
us_uk,nat,24,2.0,0.167,0.169,0.814,0.017,60
