family,direction,layer,alpha,target_rate,unsteered,unscorable
ordinal_words,alt2nat,6,0.5,0.1,0.02,0.02
ordinal_words,alt2nat,6,1.0,0.96,0.02,0.04
ordinal_words,alt2nat,6,2.0,0.82,0.02,0.14
ordinal_words,alt2nat,6,4.0,0.82,0.02,0.06
ordinal_words,alt2nat,8,0.5,0.12,0.02,0.04
ordinal_words,alt2nat,8,1.0,0.94,0.02,0.02
ordinal_words,alt2nat,8,2.0,0.9,0.02,0.06
ordinal_words,alt2nat,8,4.0,0.68,0.02,0.06
ordinal_words,alt2nat,10,0.5,0.2,0.02,0.04
ordinal_words,alt2nat,10,1.0,0.92,0.02,0.04
ordinal_words,alt2nat,10,2.0,0.82,0.02,0.1
ordinal_words,alt2nat,10,4.0,0.72,0.02,0.06
ordinal_words,alt2nat,12,0.5,0.16,0.02,0.02
ordinal_words,alt2nat,12,1.0,0.94,0.02,0.04
ordinal_words,alt2nat,12,2.0,0.9,0.02,0.06
ordinal_words,alt2nat,12,4.0,0.7,0.02,0.06
ordinal_words,alt2nat,16,0.5,0.1,0.02,0.02
ordinal_words,alt2nat,16,1.0,0.88,0.02,0.08
ordinal_words,alt2nat,16,2.0,0.9,0.02,0.02
ordinal_words,alt2nat,16,4.0,0.62,0.02,0.1
ordinal_words,alt2nat,20,0.5,0.16,0.02,0.04
ordinal_words,alt2nat,20,1.0,0.92,0.02,0.02
ordinal_words,alt2nat,20,2.0,0.76,0.02,0.1
ordinal_words,alt2nat,20,4.0,0.56,0.02,0.08
ordinal_words,alt2nat,24,0.5,0.12,0.02,0.02
ordinal_words,alt2nat,24,1.0,0.2,0.02,0.0
ordinal_words,alt2nat,24,2.0,0.22,0.02,0.02
ordinal_words,alt2nat,24,4.0,0.26,0.02,0.12
uk_vocab,nat2alt,2,0.5,0.1,0.16,0.18
uk_vocab,nat2alt,2,1.0,0.1,0.16,0.22
uk_vocab,nat2alt,2,2.0,0.18,0.16,0.24
uk_vocab,nat2alt,2,4.0,0.38,0.16,0.28
uk_vocab,nat2alt,4,0.5,0.18,0.16,0.14
uk_vocab,nat2alt,4,1.0,0.14,0.16,0.2
uk_vocab,nat2alt,4,2.0,0.42,0.16,0.22
uk_vocab,nat2alt,4,4.0,0.46,0.16,0.22
uk_vocab,nat2alt,6,0.5,0.12,0.16,0.26
uk_vocab,nat2alt,6,1.0,0.24,0.16,0.14
uk_vocab,nat2alt,6,2.0,0.48,0.16,0.22
uk_vocab,nat2alt,6,4.0,0.46,0.16,0.16
uk_vocab,nat2alt,8,0.5,0.12,0.16,0.12
uk_vocab,nat2alt,8,1.0,0.12,0.16,0.18
uk_vocab,nat2alt,8,2.0,0.48,0.16,0.16
uk_vocab,nat2alt,8,4.0,0.64,0.16,0.12
uk_vocab,nat2alt,10,0.5,0.14,0.16,0.2
uk_vocab,nat2alt,10,1.0,0.16,0.16,0.24
uk_vocab,nat2alt,10,2.0,0.44,0.16,0.24
uk_vocab,nat2alt,10,4.0,0.4,0.16,0.14
uk_vocab,nat2alt,12,0.5,0.1,0.16,0.16
uk_vocab,nat2alt,12,1.0,0.2,0.16,0.16
uk_vocab,nat2alt,12,2.0,0.38,0.16,0.2
uk_vocab,nat2alt,12,4.0,0.32,0.16,0.12
uk_vocab,nat2alt,16,0.5,0.08,0.16,0.26
uk_vocab,nat2alt,16,1.0,0.2,0.16,0.18
uk_vocab,nat2alt,16,2.0,0.5,0.16,0.18
uk_vocab,nat2alt,16,4.0,0.42,0.16,0.24
uk_vocab,nat2alt,20,0.5,0.1,0.16,0.16
uk_vocab,nat2alt,20,1.0,0.16,0.16,0.16
uk_vocab,nat2alt,20,2.0,0.14,0.16,0.22
uk_vocab,nat2alt,20,4.0,0.24,0.16,0.16
uk_vocab,nat2alt,24,0.5,0.16,0.16,0.12
uk_vocab,nat2alt,24,1.0,0.18,0.16,0.12
uk_vocab,nat2alt,24,2.0,0.1,0.16,0.22
uk_vocab,nat2alt,24,4.0,0.12,0.16,0.22
uk_vocab,alt2nat,2,0.5,0.46,0.38,0.2
uk_vocab,alt2nat,2,1.0,0.6,0.38,0.16
uk_vocab,alt2nat,2,2.0,0.68,0.38,0.2
uk_vocab,alt2nat,2,4.0,0.7,0.38,0.16
uk_vocab,alt2nat,4,0.5,0.44,0.38,0.18
uk_vocab,alt2nat,4,1.0,0.66,0.38,0.18
uk_vocab,alt2nat,4,2.0,0.62,0.38,0.26
uk_vocab,alt2nat,4,4.0,0.66,0.38,0.24
uk_vocab,alt2nat,6,0.5,0.52,0.38,0.18
uk_vocab,alt2nat,6,1.0,0.6,0.38,0.24
uk_vocab,alt2nat,6,2.0,0.76,0.38,0.1
uk_vocab,alt2nat,6,4.0,0.68,0.38,0.2
uk_vocab,alt2nat,8,0.5,0.48,0.38,0.24
uk_vocab,alt2nat,8,1.0,0.72,0.38,0.18
uk_vocab,alt2nat,8,2.0,0.74,0.38,0.14
uk_vocab,alt2nat,8,4.0,0.7,0.38,0.22
uk_vocab,alt2nat,10,0.5,0.6,0.38,0.18
uk_vocab,alt2nat,10,1.0,0.72,0.38,0.18
uk_vocab,alt2nat,10,2.0,0.74,0.38,0.16
uk_vocab,alt2nat,10,4.0,0.68,0.38,0.16
uk_vocab,alt2nat,12,0.5,0.5,0.38,0.16
uk_vocab,alt2nat,12,1.0,0.66,0.38,0.18
uk_vocab,alt2nat,12,2.0,0.64,0.38,0.22
uk_vocab,alt2nat,12,4.0,0.62,0.38,0.28
uk_vocab,alt2nat,16,0.5,0.58,0.38,0.16
uk_vocab,alt2nat,16,1.0,0.6,0.38,0.14
uk_vocab,alt2nat,16,2.0,0.64,0.38,0.22
