family,direction,context,target,k_ctx,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k,step3_context_k
unit_abbr,nat2alt,nat,alt,3,base,0,0.0,,200,0.015,0.005,0.043,0.015,0.98,0.005,0.98,0.03,3.3,0.48,0.96
unit_abbr,nat2alt,nat,alt,3,nat2alt_top1,4,4.0,,200,0.74,0.675,0.796,0.76,0.155,0.085,0.965,0.015,3.3,0.48,0.96
unit_abbr,nat2alt,nat,alt,3,nat2alt_top2,2,4.0,,200,0.64,0.571,0.703,0.655,0.23,0.115,0.975,0.025,3.3,0.48,0.96
unit_abbr,nat2alt,nat,alt,3,nat2alt_cf,4,4.0,latin_plural,200,0.01,0.003,0.036,0.01,0.98,0.01,0.975,0.045,3.3,0.48,0.96
unit_abbr,alt2nat,alt,nat,3,base,0,0.0,,200,0.545,0.476,0.613,0.555,0.43,0.015,0.985,0.025,5.2,0.96,0.48
unit_abbr,alt2nat,alt,nat,3,alt2nat_top1,8,2.0,,200,0.98,0.95,0.992,0.99,0.01,0.0,0.99,0.035,5.2,0.96,0.48
unit_abbr,alt2nat,alt,nat,3,alt2nat_top2,10,2.0,,200,0.985,0.957,0.995,1.0,0.0,0.0,0.985,0.04,5.2,0.96,0.48
unit_abbr,alt2nat,alt,nat,3,alt2nat_cf,8,2.0,latin_plural,200,0.57,0.501,0.637,0.575,0.395,0.03,0.98,0.03,5.2,0.96,0.48
diacritics,nat2alt,nat,alt,3,base,0,0.0,,200,0.3,0.241,0.367,0.31,0.495,0.195,0.97,0.0,4.6,0.39,0.44
diacritics,nat2alt,nat,alt,3,nat2alt_top1,6,2.0,,200,0.37,0.306,0.439,0.37,0.4,0.23,0.975,0.0,4.6,0.39,0.44
diacritics,nat2alt,nat,alt,3,nat2alt_top2,10,2.0,,200,0.37,0.306,0.439,0.375,0.41,0.215,0.975,0.0,4.6,0.39,0.44
diacritics,nat2alt,nat,alt,3,nat2alt_cf,6,2.0,us_uk,200,0.3,0.241,0.367,0.305,0.46,0.235,0.975,0.005,4.6,0.39,0.44
diacritics,alt2nat,alt,nat,3,base,0,0.0,,200,0.41,0.344,0.479,0.41,0.39,0.2,0.985,0.005,5.7,0.44,0.39
diacritics,alt2nat,alt,nat,3,alt2nat_top1,24,0.5,,200,0.385,0.32,0.454,0.395,0.39,0.215,0.99,0.0,5.7,0.44,0.39
diacritics,alt2nat,alt,nat,3,alt2nat_top2,6,4.0,,200,0.475,0.407,0.544,0.485,0.27,0.245,0.99,0.005,5.7,0.44,0.39
diacritics,alt2nat,alt,nat,3,alt2nat_cf,24,0.5,us_uk,200,0.385,0.32,0.454,0.395,0.365,0.24,0.98,0.0,5.7,0.44,0.39
latin_plural,nat2alt,nat,alt,3,base,0,0.0,,200,0.31,0.25,0.377,0.35,0.545,0.105,0.945,0.0,5.2,0.4,0.56
latin_plural,nat2alt,nat,alt,3,nat2alt_top1,6,4.0,,200,0.425,0.359,0.494,0.475,0.42,0.105,0.94,0.0,5.2,0.4,0.56
latin_plural,nat2alt,nat,alt,3,nat2alt_top2,16,4.0,,200,0.45,0.383,0.519,0.49,0.42,0.09,0.94,0.0,5.2,0.4,0.56
latin_plural,nat2alt,nat,alt,3,nat2alt_cf,6,4.0,title_abbr,200,0.31,0.25,0.377,0.365,0.52,0.115,0.9,0.0,5.2,0.4,0.56
latin_plural,alt2nat,alt,nat,3,base,0,0.0,,200,0.485,0.417,0.554,0.515,0.375,0.11,0.965,0.0,4.1,0.56,0.4
latin_plural,alt2nat,alt,nat,3,alt2nat_top1,12,0.5,,200,0.515,0.446,0.583,0.525,0.39,0.085,0.985,0.0,4.1,0.56,0.4
latin_plural,alt2nat,alt,nat,3,alt2nat_top2,6,1.0,,200,0.555,0.486,0.622,0.59,0.32,0.09,0.95,0.0,4.1,0.56,0.4
latin_plural,alt2nat,alt,nat,3,alt2nat_cf,12,0.5,title_abbr,200,0.495,0.426,0.564,0.52,0.37,0.11,0.97,0.0,4.1,0.56,0.4
title_abbr,nat2alt,nat,alt,3,base,0,0.0,,200,0.26,0.204,0.325,0.265,0.61,0.125,0.98,0.005,3.0,0.435,0.595
title_abbr,nat2alt,nat,alt,3,nat2alt_top1,8,2.0,,200,0.405,0.339,0.474,0.42,0.37,0.21,0.95,0.005,3.0,0.435,0.595
title_abbr,nat2alt,nat,alt,3,nat2alt_top2,2,2.0,,200,0.385,0.32,0.454,0.415,0.365,0.22,0.925,0.005,3.0,0.435,0.595
title_abbr,nat2alt,nat,alt,3,nat2alt_cf,8,2.0,zh_simp_trad,200,0.22,0.168,0.282,0.225,0.575,0.2,0.96,0.01,3.0,0.435,0.595
title_abbr,alt2nat,alt,nat,3,base,0,0.0,,200,0.345,0.283,0.413,0.365,0.49,0.145,0.935,0.01,5.8,0.595,0.435
title_abbr,alt2nat,alt,nat,3,alt2nat_top1,4,4.0,,200,0.655,0.587,0.717,0.685,0.18,0.135,0.945,0.005,5.8,0.595,0.435
title_abbr,alt2nat,alt,nat,3,alt2nat_top2,16,4.0,,200,0.65,0.582,0.713,0.67,0.175,0.155,0.905,0.005,5.8,0.595,0.435
title_abbr,alt2nat,alt,nat,3,alt2nat_cf,4,4.0,zh_simp_trad,200,0.51,0.441,0.578,0.53,0.295,0.175,0.91,0.005,5.8,0.595,0.435
pt_br_eu,nat2alt,nat,alt,3,base,0,0.0,,200,0.025,0.011,0.057,0.025,0.905,0.07,0.925,0.02,6.5,0.335,0.83
pt_br_eu,nat2alt,nat,alt,3,nat2alt_top1,8,4.0,,200,0.595,0.526,0.661,0.65,0.2,0.15,0.9,0.02,6.5,0.335,0.83
pt_br_eu,nat2alt,nat,alt,3,nat2alt_top2,6,4.0,,200,0.6,0.531,0.665,0.63,0.255,0.115,0.905,0.015,6.5,0.335,0.83
pt_br_eu,nat2alt,nat,alt,3,nat2alt_cf,8,4.0,es_rae2010,200,0.025,0.011,0.057,0.025,0.915,0.06,0.92,0.015,6.5,0.335,0.83
pt_br_eu,alt2nat,alt,nat,3,base,0,0.0,,200,0.48,0.412,0.549,0.505,0.38,0.115,0.92,0.015,4.9,0.83,0.335
pt_br_eu,alt2nat,alt,nat,3,alt2nat_top1,2,4.0,,200,0.875,0.822,0.914,0.93,0.0,0.07,0.94,0.015,4.9,0.83,0.335
pt_br_eu,alt2nat,alt,nat,3,alt2nat_top2,2,2.0,,200,0.84,0.783,0.884,0.9,0.015,0.085,0.935,0.015,4.9,0.83,0.335
pt_br_eu,alt2nat,alt,nat,3,alt2nat_cf,2,4.0,es_rae2010,200,0.825,0.766,0.871,0.89,0.01,0.1,0.88,0.025,4.9,0.83,0.335
pt_acordo_eu,nat2alt,nat,alt,3,base,0,0.0,,200,0.1,0.066,0.149,0.11,0.735,0.155,0.955,0.015,6.0,0.465,0.685
