task,swap_cond,fullmean_cond,swap_correct,swap_near_miss,swap_underscore,swap_empty,swap_own_pool,swap_other_pool,swap_other,fullmean_correct,fullmean_near_miss,fullmean_underscore,fullmean_empty,fullmean_own_pool,fullmean_other_pool,fullmean_other,gap_fm_right_sw_wrong
sentiment,dummy6_swap1_a48.0,dummy6_steer_a4.0,85,0,1,1,28,1,34,72,0,0,3,55,0,20,24
singular-plural,dummy6_swap1_a32.0,dummy6_steer_a4.0,112,0,0,1,3,3,31,140,0,0,0,0,2,8,36
singular_or_plural,dummy6_swap1_a48.0,dummy6_steer_a4.0,41,0,12,4,28,20,45,27,0,1,1,10,32,79,21
smaller_of_pair,dummy6_swap1_a48.0,dummy6_steer_a4.0,50,0,0,7,19,23,51,65,0,0,3,16,19,47,40
spanish-english,dummy6_swap1_a48.0,dummy6_steer_a4.0,72,0,4,1,4,16,53,109,0,0,0,2,13,26,41
spanish_noun_gender,dummy6_swap1_a32.0,dummy6_steer_a4.0,34,0,9,1,14,22,70,33,0,0,0,27,20,70,22
starts_with_vowel,dummy6_swap1_a48.0,dummy6_steer_a2.0,6,0,16,3,5,68,52,3,0,58,2,2,39,46,2
third_person_to_base,dummy6_swap1_a32.0,dummy6_steer_a2.0,121,0,3,2,1,7,16,134,0,0,0,1,12,3,24
titlecase_phrase,dummy6_swap1_a32.0,dummy6_steer_a4.0,4,3,5,19,0,9,110,105,9,1,1,0,0,34,101
uppercase_word,dummy6_swap1_a32.0,dummy6_steer_a4.0,129,2,1,0,0,2,16,140,2,0,0,1,0,7,19
us-city-state,dummy6_swap1_a16.0,dummy6_steer_a2.0,81,0,7,0,48,1,13,45,0,2,0,76,0,27,9
verb_tense_label,dummy6_swap1_a32.0,dummy6_steer_a4.0,21,0,61,0,28,6,34,9,0,14,1,9,32,85,6
verb_to_third_person,dummy6_swap1_a48.0,dummy6_steer_a4.0,101,1,0,0,1,11,36,111,0,0,0,0,32,7,27
word_polarity,dummy6_swap1_a32.0,dummy6_steer_a4.0,70,1,6,0,40,6,27,60,0,4,0,45,11,30,35
