task,group,unsteered,zero_shot,real_1shot,steer_L6_best,patch_a0.0,patch_a0.5,patch_a1.0,patch_a2.0,patch_a4.0
first_three_letters,train,0.0,0.0,0.1,0.14,0.0,0.0067,0.0133,0.02,0.0133
french-english,heldout,0.0067,0.0,0.4533,0.3933,0.0,0.0267,0.1133,0.26,0.2933
french_noun_gender,train,0.0,0.0,0.1867,0.02,0.0,0.0,0.0133,0.0467,0.0467
german-english,train,0.0,0.0,0.2933,0.42,0.0,0.0067,0.0533,0.2733,0.2867
german_noun_gender,train,0.0,0.0,0.0933,0.0,0.0,0.0,0.0,0.0067,0.0067
gerund_to_base,heldout,0.0067,0.0,0.2133,0.3533,0.0,0.0333,0.14,0.38,0.2133
gerund_to_past,train,0.0,0.0,0.1733,0.0533,0.0067,0.0,0.0533,0.1,0.0467
hypernym_category,train,0.0,0.0,0.12,0.0667,0.0067,0.0,0.0067,0.06,0.0333
initials_two_words,heldout,0.0,0.0,0.04,0.0467,0.0,0.0,0.0,0.08,0.0067
iso_date_to_month,train,0.0,0.0,0.3333,0.0067,0.0,0.0,0.0,0.0267,0.0
iso_date_year_plus_one,train,0.0,0.0,0.1133,0.0,0.0,0.0,0.0,0.0,0.0
landmark-country,train,0.0,0.0,0.1533,0.0533,0.0,0.0,0.0133,0.0267,0.0267
language_identification,train,0.0,0.0,0.12,0.0067,0.0,0.0,0.0133,0.0133,0.02
larger_of_pair,train,0.0,0.0,0.24,0.0533,0.0,0.0267,0.0333,0.0067,0.0
larger_than_1000,train,0.0,0.0,0.18,0.0133,0.0,0.0,0.0,0.04,0.0067
lowercase_first_letter,train,0.0,0.0,0.16,0.16,0.0,0.0,0.0267,0.1333,0.0867
lowercase_word,train,0.0,0.0,0.4267,0.6,0.0,0.0133,0.0467,0.1933,0.2467
national_parks,train,0.0,0.0,0.2933,0.0533,0.0,0.0,0.1533,0.1,0.0333
natural_manmade,train,0.0,0.0,0.02,0.0067,0.0,0.0,0.0,0.0067,0.0
next_item,train,0.0067,0.0267,0.1133,0.0733,0.0133,0.0133,0.0267,0.1133,0.1
next_month_of_date,train,0.0,0.0067,0.1467,0.02,0.0,0.0,0.02,0.0467,0.02
next_number_digits,train,0.0,0.0133,0.2533,0.22,0.0,0.0067,0.0867,0.1733,0.1933
number_word_to_digits,train,0.0,0.0,0.5467,0.28,0.0,0.06,0.14,0.2133,0.1
park-country,train,0.0,0.0,0.2933,0.0533,0.0,0.0067,0.12,0.08,0.0267
past_to_base,heldout,0.0067,0.0,0.2133,0.2267,0.0067,0.0667,0.08,0.2933,0.16
person-instrument,train,0.0,0.0,0.1333,0.0067,0.0,0.0,0.0067,0.02,0.0
person-sport,train,0.0,0.0,0.2933,0.0133,0.0,0.0,0.0,0.0467,0.0067
person_place_thing,heldout,0.0,0.0,0.04,0.0133,0.0,0.0,0.0067,0.0533,0.0067
plural_to_singular,train,0.0067,0.0,0.1933,0.3933,0.0,0.0067,0.0467,0.2,0.0733
pos_label,heldout,0.0,0.0,0.1267,0.0067,0.0,0.0,0.0,0.0333,0.0133
present-past,train,0.0,0.0133,0.24,0.1,0.0,0.04,0.08,0.1,0.0467
prev_number_digits,train,0.0,0.0,0.0867,0.0733,0.0067,0.0067,0.04,0.0467,0.0067
product-company,train,0.0,0.0,0.1,0.0267,0.0067,0.0,0.0067,0.0333,0.0333
sentiment,train,0.0,0.0,0.2267,0.0267,0.0,0.0,0.0,0.06,0.0333
singular-plural,train,0.0,0.0,0.4667,0.6067,0.0,0.0133,0.12,0.46,0.3267
singular_or_plural,train,0.0,0.0,0.1533,0.0133,0.0,0.0,0.0133,0.06,0.0067
smaller_of_pair,heldout,0.0,0.0,0.2867,0.0867,0.0,0.0267,0.0133,0.02,0.0067
spanish-english,heldout,0.0067,0.0,0.4667,0.4667,0.0067,0.0133,0.08,0.32,0.3267
spanish_noun_gender,train,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.04,0.0
starts_with_vowel,train,0.0,0.0,0.0867,0.0,0.0,0.0,0.0,0.0,0.0
third_person_to_base,train,0.0,0.0,0.2267,0.4333,0.0,0.0533,0.1,0.1667,0.1667
titlecase_phrase,train,0.0,0.0,0.1667,0.0333,0.0,0.0067,0.0067,0.0,0.0
uppercase_word,heldout,0.0,0.0,0.22,0.2467,0.0067,0.0067,0.0733,0.1533,0.0867
us-city-state,train,0.0067,0.0,0.4333,0.0467,0.0,0.0,0.1067,0.0733,0.0133
verb_tense_label,train,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0133,0.0
verb_to_third_person,train,0.0,0.0,0.2867,0.26,0.0,0.0133,0.0467,0.1867,0.08
word_polarity,heldout,0.0,0.0,0.18,0.0067,0.0,0.0,0.0,0.0867,0.0067
