task,origin,lane,n_shots,n_prompts,accuracy,ci_lo,ci_hi
agent_noun_to_verb,new,morphology-derivation,3,50,0.36,0.2414,0.4986
agent_noun_to_verb,new,morphology-derivation,4,50,0.54,0.404,0.6703
agent_noun_to_verb,new,morphology-derivation,5,50,0.56,0.4231,0.6884
agent_noun_to_verb,new,morphology-derivation,6,50,0.54,0.404,0.6703
alphabet_position_first_letter,new,orthographic,0,50,0.0,0.0,0.0714
alphabet_position_first_letter,new,orthographic,1,50,0.06,0.0206,0.1622
alphabet_position_first_letter,new,orthographic,2,50,0.06,0.0206,0.1622
alphabet_position_first_letter,new,orthographic,3,50,0.06,0.0206,0.1622
alphabet_position_first_letter,new,orthographic,4,50,0.06,0.0206,0.1622
alphabet_position_first_letter,new,orthographic,5,50,0.06,0.0206,0.1622
alphabet_position_first_letter,new,orthographic,6,50,0.1,0.0435,0.2136
animal_class,new,semantic_classification,0,50,0.0,0.0,0.0714
animal_class,new,semantic_classification,1,50,0.28,0.1747,0.4167
animal_class,new,semantic_classification,2,50,0.38,0.2586,0.5185
animal_class,new,semantic_classification,3,50,0.54,0.404,0.6703
animal_class,new,semantic_classification,4,50,0.54,0.404,0.6703
animal_class,new,semantic_classification,5,50,0.76,0.6259,0.857
animal_class,new,semantic_classification,6,50,0.68,0.5419,0.7924
animal_plant_object,new,semantic_classification,0,50,0.0,0.0,0.0714
animal_plant_object,new,semantic_classification,1,50,0.06,0.0206,0.1622
animal_plant_object,new,semantic_classification,2,50,0.18,0.0977,0.308
animal_plant_object,new,semantic_classification,3,50,0.34,0.2244,0.4785
animal_plant_object,new,semantic_classification,4,50,0.46,0.3297,0.596
animal_plant_object,new,semantic_classification,5,50,0.5,0.3664,0.6336
animal_plant_object,new,semantic_classification,6,50,0.48,0.348,0.6149
antonym,original_abstractive,,0,50,0.02,0.0035,0.105
antonym,original_abstractive,,1,50,0.04,0.011,0.1346
antonym,original_abstractive,,2,50,0.18,0.0977,0.308
antonym,original_abstractive,,3,50,0.24,0.143,0.3741
antonym,original_abstractive,,4,50,0.36,0.2414,0.4986
antonym,original_abstractive,,5,50,0.32,0.2076,0.4581
antonym,original_abstractive,,6,50,0.34,0.2244,0.4785
article_choice,new,word-property,0,50,0.0,0.0,0.0714
article_choice,new,word-property,1,50,0.06,0.0206,0.1622
article_choice,new,word-property,2,50,0.26,0.1587,0.3955
article_choice,new,word-property,3,50,0.44,0.3116,0.5769
article_choice,new,word-property,4,50,0.62,0.4815,0.7414
article_choice,new,word-property,5,50,0.52,0.3851,0.652
article_choice,new,word-property,6,50,0.56,0.4231,0.6884
capitalize,original_abstractive,,0,50,0.0,0.0,0.0714
capitalize,original_abstractive,,1,50,0.18,0.0977,0.308
capitalize,original_abstractive,,2,50,0.58,0.4423,0.7063
capitalize,original_abstractive,,3,50,0.68,0.5419,0.7924
capitalize,original_abstractive,,4,50,0.84,0.7149,0.9166
capitalize,original_abstractive,,5,50,0.86,0.7381,0.9305
capitalize,original_abstractive,,6,50,0.84,0.7149,0.9166
capitalize_first_letter,original_abstractive,,0,50,0.0,0.0,0.0714
capitalize_first_letter,original_abstractive,,1,50,0.14,0.0695,0.2619
capitalize_first_letter,original_abstractive,,2,50,0.38,0.2586,0.5185
capitalize_first_letter,original_abstractive,,3,50,0.44,0.3116,0.5769
capitalize_first_letter,original_abstractive,,4,50,0.52,0.3851,0.652
capitalize_first_letter,original_abstractive,,5,50,0.56,0.4231,0.6884
capitalize_first_letter,original_abstractive,,6,50,0.54,0.404,0.6703
capitalize_last_letter,original_abstractive,,0,50,0.0,0.0,0.0714
capitalize_last_letter,original_abstractive,,1,50,0.0,0.0,0.0714
capitalize_last_letter,original_abstractive,,2,50,0.04,0.011,0.1346
capitalize_last_letter,original_abstractive,,3,50,0.04,0.011,0.1346
capitalize_last_letter,original_abstractive,,4,50,0.0,0.0,0.0714
capitalize_last_letter,original_abstractive,,5,50,0.04,0.011,0.1346
capitalize_last_letter,original_abstractive,,6,50,0.1,0.0435,0.2136
capitalize_second_letter,original_abstractive,,0,50,0.0,0.0,0.0714
capitalize_second_letter,original_abstractive,,1,50,0.02,0.0035,0.105
capitalize_second_letter,original_abstractive,,2,50,0.04,0.011,0.1346
capitalize_second_letter,original_abstractive,,3,50,0.08,0.0315,0.1884
capitalize_second_letter,original_abstractive,,4,50,0.04,0.011,0.1346
capitalize_second_letter,original_abstractive,,5,50,0.14,0.0695,0.2619
capitalize_second_letter,original_abstractive,,6,50,0.12,0.0562,0.2381
case_of_word,new,orthographic,0,50,0.0,0.0,0.0714
case_of_word,new,orthographic,1,50,0.06,0.0206,0.1622
case_of_word,new,orthographic,2,50,0.22,0.1275,0.3524
case_of_word,new,orthographic,3,50,0.32,0.2076,0.4581
case_of_word,new,orthographic,4,50,0.36,0.2414,0.4986
case_of_word,new,orthographic,5,50,0.32,0.2076,0.4581
case_of_word,new,orthographic,6,50,0.48,0.348,0.6149
city-continent,new,world_knowledge,0,50,0.0,0.0,0.0714
city-continent,new,world_knowledge,1,50,0.14,0.0695,0.2619
city-continent,new,world_knowledge,2,50,0.34,0.2244,0.4785
city-continent,new,world_knowledge,3,50,0.52,0.3851,0.652
city-continent,new,world_knowledge,4,50,0.56,0.4231,0.6884
city-continent,new,world_knowledge,5,50,0.68,0.5419,0.7924
city-continent,new,world_knowledge,6,50,0.76,0.6259,0.857
city-country,new,world_knowledge,0,50,0.02,0.0035,0.105
city-country,new,world_knowledge,1,50,0.44,0.3116,0.5769
city-country,new,world_knowledge,2,50,0.66,0.5215,0.7756
city-country,new,world_knowledge,3,50,0.68,0.5419,0.7924
city-country,new,world_knowledge,4,50,0.6,0.4618,0.7239
city-country,new,world_knowledge,5,50,0.78,0.6476,0.8725
city-country,new,world_knowledge,6,50,0.7,0.5625,0.809
commonsense_qa,original_abstractive,,0,50,0.02,0.0035,0.105
commonsense_qa,original_abstractive,,1,50,0.18,0.0977,0.308
commonsense_qa,original_abstractive,,2,50,0.22,0.1275,0.3524
commonsense_qa,original_abstractive,,3,50,0.12,0.0562,0.2381
commonsense_qa,original_abstractive,,4,50,0.22,0.1275,0.3524
commonsense_qa,original_abstractive,,5,50,0.26,0.1587,0.3955
commonsense_qa,original_abstractive,,6,50,0.16,0.0834,0.2851
compound_first,new,lexical-semantic,0,50,0.0,0.0,0.0714
compound_first,new,lexical-semantic,1,50,0.04,0.011,0.1346
compound_first,new,lexical-semantic,2,50,0.26,0.1587,0.3955
compound_first,new,lexical-semantic,3,50,0.46,0.3297,0.596
compound_first,new,lexical-semantic,4,50,0.32,0.2076,0.4581
compound_first,new,lexical-semantic,5,50,0.52,0.3851,0.652
compound_first,new,lexical-semantic,6,50,0.56,0.4231,0.6884
compound_head,new,lexical-semantic,0,50,0.0,0.0,0.0714
compound_head,new,lexical-semantic,1,50,0.06,0.0206,0.1622
compound_head,new,lexical-semantic,2,50,0.22,0.1275,0.3524
compound_head,new,lexical-semantic,3,50,0.14,0.0695,0.2619
compound_head,new,lexical-semantic,4,50,0.24,0.143,0.3741
compound_head,new,lexical-semantic,5,50,0.3,0.191,0.4375
compound_head,new,lexical-semantic,6,50,0.26,0.1587,0.3955
compound_join,new,lexical-semantic,0,50,0.0,0.0,0.0714
compound_join,new,lexical-semantic,1,50,0.14,0.0695,0.2619
compound_join,new,lexical-semantic,2,50,0.34,0.2244,0.4785
compound_join,new,lexical-semantic,3,50,0.42,0.2937,0.5577
compound_join,new,lexical-semantic,4,50,0.44,0.3116,0.5769
compound_join,new,lexical-semantic,5,50,0.48,0.348,0.6149
compound_join,new,lexical-semantic,6,50,0.52,0.3851,0.652
concrete_abstract,new,semantic_classification,0,50,0.0,0.0,0.0714
concrete_abstract,new,semantic_classification,1,50,0.1,0.0435,0.2136
concrete_abstract,new,semantic_classification,2,50,0.18,0.0977,0.308
concrete_abstract,new,semantic_classification,3,50,0.14,0.0695,0.2619
concrete_abstract,new,semantic_classification,4,50,0.28,0.1747,0.4167
concrete_abstract,new,semantic_classification,5,50,0.46,0.3297,0.596
concrete_abstract,new,semantic_classification,6,50,0.58,0.4423,0.7063
contains_letter_e,new,orthographic,0,50,0.0,0.0,0.0714
contains_letter_e,new,orthographic,1,50,0.14,0.0695,0.2619
contains_letter_e,new,orthographic,2,50,0.3,0.191,0.4375
contains_letter_e,new,orthographic,3,50,0.28,0.1747,0.4167
contains_letter_e,new,orthographic,4,50,0.46,0.3297,0.596
contains_letter_e,new,orthographic,5,50,0.42,0.2937,0.5577
contains_letter_e,new,orthographic,6,50,0.36,0.2414,0.4986
count_consonants,original_abstractive,,0,50,0.0,0.0,0.0714
count_consonants,original_abstractive,,1,50,0.06,0.0206,0.1622
count_consonants,original_abstractive,,2,50,0.06,0.0206,0.1622
count_consonants,original_abstractive,,3,50,0.1,0.0435,0.2136
count_consonants,original_abstractive,,4,50,0.16,0.0834,0.2851
count_consonants,original_abstractive,,5,50,0.1,0.0435,0.2136
count_consonants,original_abstractive,,6,50,0.24,0.143,0.3741
count_digits,new,counting,0,50,0.0,0.0,0.0714
count_digits,new,counting,1,50,0.02,0.0035,0.105
count_digits,new,counting,2,50,0.12,0.0562,0.2381
count_digits,new,counting,3,50,0.1,0.0435,0.2136
count_digits,new,counting,4,50,0.12,0.0562,0.2381
count_digits,new,counting,5,50,0.16,0.0834,0.2851
count_digits,new,counting,6,50,0.14,0.0695,0.2619
count_letter_e,new,orthographic,0,50,0.0,0.0,0.0714
count_letter_e,new,orthographic,1,50,0.14,0.0695,0.2619
count_letter_e,new,orthographic,2,50,0.24,0.143,0.3741
count_letter_e,new,orthographic,3,50,0.16,0.0834,0.2851
count_letter_e,new,orthographic,4,50,0.3,0.191,0.4375
count_letter_e,new,orthographic,5,50,0.18,0.0977,0.308
count_letter_e,new,orthographic,6,50,0.28,0.1747,0.4167
count_vowels,original_abstractive,,0,50,0.0,0.0,0.0714
count_vowels,original_abstractive,,1,50,0.04,0.011,0.1346
count_vowels,original_abstractive,,2,50,0.2,0.1124,0.3304
count_vowels,original_abstractive,,3,50,0.24,0.143,0.3741
count_vowels,original_abstractive,,4,50,0.22,0.1275,0.3524
count_vowels,original_abstractive,,5,50,0.28,0.1747,0.4167
count_vowels,original_abstractive,,6,50,0.3,0.191,0.4375
count_words,new,orthographic,0,50,0.0,0.0,0.0714
count_words,new,orthographic,1,50,0.14,0.0695,0.2619
count_words,new,orthographic,2,50,0.14,0.0695,0.2619
count_words,new,orthographic,3,50,0.18,0.0977,0.308
count_words,new,orthographic,4,50,0.12,0.0562,0.2381
count_words,new,orthographic,5,50,0.24,0.143,0.3741
count_words,new,orthographic,6,50,0.14,0.0695,0.2619
count_zeros,new,counting,0,50,0.0,0.0,0.0714
count_zeros,new,counting,1,50,0.16,0.0834,0.2851
count_zeros,new,counting,2,50,0.14,0.0695,0.2619
count_zeros,new,counting,3,50,0.14,0.0695,0.2619
count_zeros,new,counting,4,50,0.16,0.0834,0.2851
count_zeros,new,counting,5,50,0.2,0.1124,0.3304
count_zeros,new,counting,6,50,0.18,0.0977,0.308
countable_uncountable,new,grammatical_classification,0,50,0.0,0.0,0.0714
countable_uncountable,new,grammatical_classification,1,50,0.24,0.143,0.3741
countable_uncountable,new,grammatical_classification,2,50,0.42,0.2937,0.5577
countable_uncountable,new,grammatical_classification,3,50,0.46,0.3297,0.596
countable_uncountable,new,grammatical_classification,4,50,0.48,0.348,0.6149
countable_uncountable,new,grammatical_classification,5,50,0.44,0.3116,0.5769
countable_uncountable,new,grammatical_classification,6,50,0.6,0.4618,0.7239
country-capital,original_abstractive,,0,50,0.0,0.0,0.0714
country-capital,original_abstractive,,1,50,0.44,0.3116,0.5769
country-capital,original_abstractive,,2,50,0.68,0.5419,0.7924
country-capital,original_abstractive,,3,50,0.72,0.5833,0.8253
country-capital,original_abstractive,,4,50,0.82,0.692,0.9023
country-capital,original_abstractive,,5,50,0.82,0.692,0.9023
country-capital,original_abstractive,,6,50,0.8,0.6696,0.8876
country-currency,original_abstractive,,0,50,0.0,0.0,0.0714
country-currency,original_abstractive,,1,50,0.04,0.011,0.1346
country-currency,original_abstractive,,2,50,0.14,0.0695,0.2619
country-currency,original_abstractive,,3,50,0.16,0.0834,0.2851
country-currency,original_abstractive,,4,50,0.14,0.0695,0.2619
country-currency,original_abstractive,,5,50,0.24,0.143,0.3741
country-currency,original_abstractive,,6,50,0.22,0.1275,0.3524
day_after_textual_date,new,dates,0,50,0.0,0.0,0.0714
day_after_textual_date,new,dates,1,50,0.24,0.143,0.3741
day_after_textual_date,new,dates,2,50,0.76,0.6259,0.857
day_after_textual_date,new,dates,3,50,0.74,0.6045,0.8413
day_after_textual_date,new,dates,4,50,0.82,0.692,0.9023
day_after_textual_date,new,dates,5,50,0.9,0.7864,0.9565
day_after_textual_date,new,dates,6,50,0.96,0.8654,0.989
days_in_month,new,dates,0,50,0.0,0.0,0.0714
days_in_month,new,dates,1,50,0.0,0.0,0.0714
days_in_month,new,dates,2,50,0.06,0.0206,0.1622
days_in_month,new,dates,3,50,0.16,0.0834,0.2851
days_in_month,new,dates,4,50,0.3,0.191,0.4375
days_in_month,new,dates,5,50,0.36,0.2414,0.4986
days_in_month,new,dates,6,50,0.44,0.3116,0.5769
double_last_letter,new,orthographic,0,50,0.0,0.0,0.0714
double_last_letter,new,orthographic,1,50,0.04,0.011,0.1346
double_last_letter,new,orthographic,2,50,0.04,0.011,0.1346
double_last_letter,new,orthographic,3,50,0.02,0.0035,0.105
double_last_letter,new,orthographic,4,50,0.12,0.0562,0.2381
double_last_letter,new,orthographic,5,50,0.1,0.0435,0.2136
double_last_letter,new,orthographic,6,50,0.06,0.0206,0.1622
double_no_carry,new,arithmetic,0,50,0.0,0.0,0.0714
double_no_carry,new,arithmetic,1,50,0.02,0.0035,0.105
double_no_carry,new,arithmetic,2,50,0.02,0.0035,0.105
double_no_carry,new,arithmetic,3,50,0.0,0.0,0.0714
double_no_carry,new,arithmetic,4,50,0.02,0.0035,0.105
double_no_carry,new,arithmetic,5,50,0.0,0.0,0.0714
double_no_carry,new,arithmetic,6,50,0.0,0.0,0.0714
double_number,new,numeric_sequence,0,50,0.0,0.0,0.0714
double_number,new,numeric_sequence,1,50,0.0,0.0,0.0714
double_number,new,numeric_sequence,2,50,0.0,0.0,0.0714
double_number,new,numeric_sequence,3,50,0.02,0.0035,0.105
double_number,new,numeric_sequence,4,50,0.04,0.011,0.1346
double_number,new,numeric_sequence,5,50,0.14,0.0695,0.2619
double_number,new,numeric_sequence,6,50,0.04,0.011,0.1346
double_word,new,orthographic,0,50,0.0,0.0,0.0714
double_word,new,orthographic,1,50,0.2,0.1124,0.3304
double_word,new,orthographic,2,50,0.6,0.4618,0.7239
double_word,new,orthographic,3,50,0.76,0.6259,0.857
double_word,new,orthographic,4,50,0.82,0.692,0.9023
double_word,new,orthographic,5,50,0.9,0.7864,0.9565
double_word,new,orthographic,6,50,0.92,0.8116,0.9685
east_neighbor,original_abstractive,,0,50,0.0,0.0,0.0714
east_neighbor,original_abstractive,,1,50,0.02,0.0035,0.105
east_neighbor,original_abstractive,,2,50,0.04,0.011,0.1346
east_neighbor,original_abstractive,,3,50,0.06,0.0206,0.1622
east_neighbor,original_abstractive,,4,50,0.02,0.0035,0.105
east_neighbor,original_abstractive,,5,50,0.02,0.0035,0.105
east_neighbor,original_abstractive,,6,50,0.02,0.0035,0.105
ends_with_ing,new,orthographic,0,50,0.0,0.0,0.0714
ends_with_ing,new,orthographic,1,50,0.26,0.1587,0.3955
ends_with_ing,new,orthographic,2,50,0.28,0.1747,0.4167
ends_with_ing,new,orthographic,3,50,0.5,0.3664,0.6336
ends_with_ing,new,orthographic,4,50,0.42,0.2937,0.5577
ends_with_ing,new,orthographic,5,50,0.5,0.3664,0.6336
ends_with_ing,new,orthographic,6,50,0.5,0.3664,0.6336
ends_with_vowel,new,orthographic,0,50,0.0,0.0,0.0714
ends_with_vowel,new,orthographic,1,50,0.12,0.0562,0.2381
ends_with_vowel,new,orthographic,2,50,0.16,0.0834,0.2851
ends_with_vowel,new,orthographic,3,50,0.42,0.2937,0.5577
ends_with_vowel,new,orthographic,4,50,0.5,0.3664,0.6336
ends_with_vowel,new,orthographic,5,50,0.52,0.3851,0.652
ends_with_vowel,new,orthographic,6,50,0.38,0.2586,0.5185
english-dutch,new,translation,0,50,0.0,0.0,0.0714
english-dutch,new,translation,1,50,0.02,0.0035,0.105
english-dutch,new,translation,2,50,0.12,0.0562,0.2381
english-dutch,new,translation,3,50,0.26,0.1587,0.3955
english-dutch,new,translation,4,50,0.26,0.1587,0.3955
english-dutch,new,translation,5,50,0.36,0.2414,0.4986
english-dutch,new,translation,6,50,0.32,0.2076,0.4581
english-french,original_abstractive,,0,50,0.0,0.0,0.0714
english-french,original_abstractive,,1,50,0.28,0.1747,0.4167
english-french,original_abstractive,,2,50,0.42,0.2937,0.5577
english-french,original_abstractive,,3,50,0.52,0.3851,0.652
english-french,original_abstractive,,4,50,0.46,0.3297,0.596
english-french,original_abstractive,,5,50,0.52,0.3851,0.652
english-french,original_abstractive,,6,50,0.52,0.3851,0.652
english-german,original_abstractive,,0,50,0.0,0.0,0.0714
english-german,original_abstractive,,1,50,0.06,0.0206,0.1622
english-german,original_abstractive,,2,50,0.2,0.1124,0.3304
english-german,original_abstractive,,3,50,0.24,0.143,0.3741
english-german,original_abstractive,,4,50,0.18,0.0977,0.308
english-german,original_abstractive,,5,50,0.16,0.0834,0.2851
english-german,original_abstractive,,6,50,0.22,0.1275,0.3524
english-italian,new,translation,0,50,0.0,0.0,0.0714
english-italian,new,translation,1,50,0.22,0.1275,0.3524
english-italian,new,translation,2,50,0.26,0.1587,0.3955
english-italian,new,translation,3,50,0.48,0.348,0.6149
english-italian,new,translation,4,50,0.56,0.4231,0.6884
english-italian,new,translation,5,50,0.62,0.4815,0.7414
english-italian,new,translation,6,50,0.46,0.3297,0.596
english-portuguese,new,translation,0,50,0.0,0.0,0.0714
english-portuguese,new,translation,1,50,0.28,0.1747,0.4167
english-portuguese,new,translation,2,50,0.4,0.2761,0.5382
english-portuguese,new,translation,3,50,0.4,0.2761,0.5382
english-portuguese,new,translation,4,50,0.54,0.404,0.6703
english-portuguese,new,translation,5,50,0.38,0.2586,0.5185
english-portuguese,new,translation,6,50,0.5,0.3664,0.6336
english-spanish,original_abstractive,,0,50,0.0,0.0,0.0714
english-spanish,original_abstractive,,1,50,0.2,0.1124,0.3304
english-spanish,original_abstractive,,2,50,0.42,0.2937,0.5577
english-spanish,original_abstractive,,3,50,0.48,0.348,0.6149
english-spanish,original_abstractive,,4,50,0.44,0.3116,0.5769
english-spanish,original_abstractive,,5,50,0.5,0.3664,0.6336
english-spanish,original_abstractive,,6,50,0.42,0.2937,0.5577
first_digit,new,digit_query,0,50,0.0,0.0,0.0714
first_digit,new,digit_query,1,50,0.08,0.0315,0.1884
first_digit,new,digit_query,2,50,0.2,0.1124,0.3304
first_digit,new,digit_query,3,50,0.22,0.1275,0.3524
first_digit,new,digit_query,4,50,0.32,0.2076,0.4581
first_digit,new,digit_query,5,50,0.3,0.191,0.4375
first_digit,new,digit_query,6,50,0.46,0.3297,0.596
first_letter_second_word,new,orthographic,0,50,0.0,0.0,0.0714
first_letter_second_word,new,orthographic,1,50,0.04,0.011,0.1346
first_letter_second_word,new,orthographic,2,50,0.12,0.0562,0.2381
first_letter_second_word,new,orthographic,3,50,0.18,0.0977,0.308
first_letter_second_word,new,orthographic,4,50,0.2,0.1124,0.3304
first_letter_second_word,new,orthographic,5,50,0.34,0.2244,0.4785
first_letter_second_word,new,orthographic,6,50,0.26,0.1587,0.3955
first_three_letters,new,orthographic,0,50,0.0,0.0,0.0714
first_three_letters,new,orthographic,1,50,0.04,0.011,0.1346
first_three_letters,new,orthographic,2,50,0.22,0.1275,0.3524
first_three_letters,new,orthographic,3,50,0.24,0.143,0.3741
first_three_letters,new,orthographic,4,50,0.1,0.0435,0.2136
first_three_letters,new,orthographic,5,50,0.22,0.1275,0.3524
first_three_letters,new,orthographic,6,50,0.3,0.191,0.4375
first_two_letters,new,orthographic,0,50,0.0,0.0,0.0714
first_two_letters,new,orthographic,1,50,0.0,0.0,0.0714
first_two_letters,new,orthographic,2,50,0.08,0.0315,0.1884
first_two_letters,new,orthographic,3,50,0.18,0.0977,0.308
first_two_letters,new,orthographic,4,50,0.22,0.1275,0.3524
first_two_letters,new,orthographic,5,50,0.2,0.1124,0.3304
first_two_letters,new,orthographic,6,50,0.28,0.1747,0.4167
first_vowel,new,orthographic,0,50,0.0,0.0,0.0714
first_vowel,new,orthographic,1,50,0.08,0.0315,0.1884
first_vowel,new,orthographic,2,50,0.08,0.0315,0.1884
first_vowel,new,orthographic,3,50,0.12,0.0562,0.2381
first_vowel,new,orthographic,4,50,0.1,0.0435,0.2136
first_vowel,new,orthographic,5,50,0.12,0.0562,0.2381
first_vowel,new,orthographic,6,50,0.14,0.0695,0.2619
french-english,new,translation,0,50,0.0,0.0,0.0714
french-english,new,translation,1,50,0.38,0.2586,0.5185
french-english,new,translation,2,50,0.4,0.2761,0.5382
french-english,new,translation,3,50,0.6,0.4618,0.7239
french-english,new,translation,4,50,0.6,0.4618,0.7239
french-english,new,translation,5,50,0.58,0.4423,0.7063
french-english,new,translation,6,50,0.6,0.4618,0.7239
french_noun_gender,new,linguistic_knowledge,0,50,0.0,0.0,0.0714
french_noun_gender,new,linguistic_knowledge,1,50,0.26,0.1587,0.3955
french_noun_gender,new,linguistic_knowledge,2,50,0.58,0.4423,0.7063
french_noun_gender,new,linguistic_knowledge,3,50,0.5,0.3664,0.6336
french_noun_gender,new,linguistic_knowledge,4,50,0.68,0.5419,0.7924
french_noun_gender,new,linguistic_knowledge,5,50,0.46,0.3297,0.596
french_noun_gender,new,linguistic_knowledge,6,50,0.56,0.4231,0.6884
german-english,new,translation,0,50,0.0,0.0,0.0714
german-english,new,translation,1,50,0.38,0.2586,0.5185
german-english,new,translation,2,50,0.52,0.3851,0.652
german-english,new,translation,3,50,0.5,0.3664,0.6336
german-english,new,translation,4,50,0.6,0.4618,0.7239
german-english,new,translation,5,50,0.62,0.4815,0.7414
german-english,new,translation,6,50,0.56,0.4231,0.6884
german_noun_gender,new,linguistic_knowledge,0,50,0.0,0.0,0.0714
german_noun_gender,new,linguistic_knowledge,1,50,0.02,0.0035,0.105
german_noun_gender,new,linguistic_knowledge,2,50,0.22,0.1275,0.3524
german_noun_gender,new,linguistic_knowledge,3,50,0.36,0.2414,0.4986
german_noun_gender,new,linguistic_knowledge,4,50,0.38,0.2586,0.5185
german_noun_gender,new,linguistic_knowledge,5,50,0.3,0.191,0.4375
german_noun_gender,new,linguistic_knowledge,6,50,0.46,0.3297,0.596
gerund_to_base,new,morphology-inflection,0,50,0.0,0.0,0.0714
gerund_to_base,new,morphology-inflection,1,50,0.22,0.1275,0.3524
gerund_to_base,new,morphology-inflection,2,50,0.42,0.2937,0.5577
gerund_to_base,new,morphology-inflection,3,50,0.64,0.5014,0.7586
gerund_to_base,new,morphology-inflection,4,50,0.72,0.5833,0.8253
gerund_to_base,new,morphology-inflection,5,50,0.76,0.6259,0.857
gerund_to_base,new,morphology-inflection,6,50,0.72,0.5833,0.8253
gerund_to_past,new,morphology-inflection,0,50,0.0,0.0,0.0714
gerund_to_past,new,morphology-inflection,1,50,0.1,0.0435,0.2136
gerund_to_past,new,morphology-inflection,2,50,0.34,0.2244,0.4785
gerund_to_past,new,morphology-inflection,3,50,0.4,0.2761,0.5382
gerund_to_past,new,morphology-inflection,4,50,0.46,0.3297,0.596
gerund_to_past,new,morphology-inflection,5,50,0.64,0.5014,0.7586
gerund_to_past,new,morphology-inflection,6,50,0.66,0.5215,0.7756
halve_even_number,new,numeric_sequence,0,50,0.0,0.0,0.0714
halve_even_number,new,numeric_sequence,1,50,0.0,0.0,0.0714
halve_even_number,new,numeric_sequence,2,50,0.0,0.0,0.0714
halve_even_number,new,numeric_sequence,3,50,0.02,0.0035,0.105
halve_even_number,new,numeric_sequence,4,50,0.04,0.011,0.1346
halve_even_number,new,numeric_sequence,5,50,0.04,0.011,0.1346
halve_even_number,new,numeric_sequence,6,50,0.06,0.0206,0.1622
hour_after_time,new,time,0,50,0.0,0.0,0.0714
hour_after_time,new,time,1,50,0.18,0.0977,0.308
hour_after_time,new,time,2,50,0.62,0.4815,0.7414
hour_after_time,new,time,3,50,0.78,0.6476,0.8725
hour_after_time,new,time,4,50,0.8,0.6696,0.8876
hour_after_time,new,time,5,50,0.96,0.8654,0.989
hour_after_time,new,time,6,50,0.96,0.8654,0.989
hypernym_category,new,lexical-semantic,0,50,0.0,0.0,0.0714
hypernym_category,new,lexical-semantic,1,50,0.16,0.0834,0.2851
hypernym_category,new,lexical-semantic,2,50,0.1,0.0435,0.2136
hypernym_category,new,lexical-semantic,3,50,0.24,0.143,0.3741
hypernym_category,new,lexical-semantic,4,50,0.22,0.1275,0.3524
hypernym_category,new,lexical-semantic,5,50,0.28,0.1747,0.4167
