task,group,cos_to_grandmean,fv_norm,within_task_rho,presence_n0,presence_n1,presence_n2,presence_n3,presence_n4,presence_n5,presence_n6,acc_n0,acc_n1,acc_n2,acc_n3,acc_n4,acc_n5,acc_n6
english-german,train,0.8116,67.30,0.9643,0.3313,0.3852,0.4005,0.4078,0.4111,0.4128,0.4139,0.0000,0.3333,0.3800,0.4200,0.4400,0.4267,0.4533
english-italian,train,0.7926,66.24,0.9643,0.2877,0.3500,0.3697,0.3775,0.3818,0.3849,0.3866,0.0000,0.5333,0.6000,0.7133,0.7400,0.7333,0.7467
english-portuguese,train,0.8260,69.22,0.9643,0.3185,0.3781,0.3966,0.4042,0.4078,0.4108,0.4121,0.0000,0.5533,0.6733,0.7467,0.7267,0.7867,0.8000
english-spanish,train,0.8359,67.79,0.8108,0.3306,0.3804,0.3993,0.4065,0.4099,0.4116,0.4124,0.0000,0.6333,0.7067,0.7000,0.7267,0.7067,0.7200
first_digit,train,0.8045,89.36,-0.0727,0.2790,0.3134,0.3013,0.2984,0.2955,0.2940,0.2956,0.0000,0.3333,0.8733,0.9667,0.9600,0.9667,0.9600
first_letter_second_word,heldout,0.8292,88.49,0.9643,0.3367,0.3578,0.3883,0.4007,0.4056,0.4106,0.4129,0.0000,0.0933,0.3200,0.4800,0.5667,0.6533,0.6467
first_three_letters,train,0.7897,83.62,1.0000,0.2990,0.3579,0.3892,0.4037,0.4106,0.4141,0.4162,0.0000,0.2533,0.3933,0.5000,0.5600,0.6133,0.6200
first_two_letters,train,0.7780,79.93,1.0000,0.2717,0.3239,0.3560,0.3702,0.3786,0.3834,0.3863,0.0000,0.1400,0.4733,0.7133,0.7200,0.8267,0.8533
first_vowel,train,0.8168,80.42,0.9910,0.2813,0.3134,0.3405,0.3553,0.3646,0.3686,0.3714,0.0000,0.1067,0.2000,0.2933,0.2933,0.3733,0.4800
french-english,heldout,0.8942,81.27,1.0000,0.3643,0.4049,0.4145,0.4201,0.4220,0.4241,0.4251,0.0000,0.7533,0.7600,0.7800,0.8133,0.8667,0.8733
french_noun_gender,heldout,0.6933,97.71,0.6126,0.2476,0.2935,0.3182,0.3273,0.3290,0.3308,0.3304,0.0000,0.5867,0.8867,0.9133,0.8867,0.9067,0.8600
german-english,train,0.8952,83.81,0.9910,0.3668,0.4022,0.4129,0.4207,0.4235,0.4257,0.4265,0.0000,0.6667,0.7600,0.8600,0.8600,0.8667,0.9200
german_noun_gender,train,0.7594,85.42,0.8571,0.3092,0.3306,0.3516,0.3623,0.3659,0.3664,0.3666,0.0000,0.3267,0.8133,0.9000,0.8933,0.8733,0.9467
gerund_to_base,train,0.8768,90.58,0.4286,0.3623,0.4082,0.4243,0.4252,0.4233,0.4220,0.4207,0.0000,0.7800,0.9200,0.9267,0.9600,0.9467,0.9533
gerund_to_past,train,0.8223,89.30,0.8214,0.3492,0.4036,0.4203,0.4236,0.4236,0.4239,0.4233,0.0000,0.7000,0.8333,0.8800,0.9067,0.9000,0.8867
halve_even_number,train,0.7453,95.59,0.0000,0.2916,0.3181,0.3066,0.3051,0.3025,0.3000,0.3025,0.0067,0.6667,0.8400,0.9200,0.9067,0.9000,0.9800
hypernym_category,train,0.8511,86.98,1.0000,0.3824,0.4198,0.4404,0.4502,0.4551,0.4589,0.4598,0.0000,0.3733,0.4067,0.5000,0.5200,0.5467,0.6200
initials_two_words,train,0.7409,80.25,0.9370,0.2967,0.3403,0.3690,0.3795,0.3854,0.3905,0.3935,0.0000,0.6133,0.8467,0.9267,0.9133,0.9267,0.9600
iso_date_to_month,train,0.7681,108.69,0.2620,0.3113,0.3787,0.3882,0.3900,0.3890,0.3897,0.3880,0.0000,1.0000,1.0000,1.0000,0.9933,0.9867,0.9933
iso_date_year_plus_one,train,0.7532,101.26,-0.2143,0.2795,0.3235,0.3224,0.3213,0.3174,0.3155,0.3131,0.0000,0.4667,0.7600,0.8933,0.9200,0.9533,0.9400
landmark-country,train,0.8057,83.08,0.8469,0.3636,0.3958,0.4138,0.4211,0.4236,0.4257,0.4273,0.0067,0.6067,0.6867,0.6867,0.6533,0.7333,0.6933
language_identification,train,0.7829,103.68,0.8469,0.3290,0.3506,0.3630,0.3689,0.3705,0.3732,0.3731,0.0000,0.6667,0.9400,0.9733,0.9533,0.9733,0.9667
larger_of_pair,train,0.8060,93.35,-0.0901,0.2965,0.3354,0.3177,0.3094,0.3055,0.3067,0.3060,0.0067,0.5867,0.8000,0.7600,0.8267,0.8400,0.8267
larger_than_1000,train,0.6898,121.80,-0.2500,0.2905,0.3278,0.3234,0.3219,0.3215,0.3213,0.3209,0.0000,0.5200,0.6867,0.8000,0.8467,0.8733,0.9200
largest_digit,heldout,0.7617,97.58,-0.2342,0.2955,0.3267,0.3067,0.3009,0.2985,0.2969,0.2977,0.0000,0.1533,0.3600,0.4800,0.5067,0.6067,0.6067
last_digit,heldout,0.8087,92.03,-0.2143,0.2903,0.3210,0.3066,0.3036,0.3011,0.2995,0.2997,0.0000,0.1400,0.4933,0.6267,0.7400,0.7867,0.8533
last_two_letters,heldout,0.7920,79.12,0.9286,0.3108,0.3440,0.3692,0.3838,0.3931,0.3992,0.4030,0.0000,0.0533,0.2067,0.2600,0.2533,0.3133,0.2733
last_vowel,train,0.7987,84.05,0.9643,0.2852,0.3153,0.3384,0.3532,0.3620,0.3678,0.3715,0.0000,0.0800,0.2333,0.2933,0.3867,0.4733,0.3933
lowercase_first_letter,train,0.7979,80.21,1.0000,0.2559,0.3141,0.3381,0.3480,0.3520,0.3555,0.3571,0.0000,0.4400,0.7467,0.8800,0.9267,0.9400,0.9733
lowercase_last_letter,train,0.7802,80.95,0.9910,0.2676,0.3128,0.3333,0.3446,0.3507,0.3558,0.3580,0.0000,0.1933,0.4667,0.5667,0.5800,0.6533,0.6533
lowercase_word,train,0.8909,76.19,0.7093,0.3171,0.3584,0.3716,0.3742,0.3737,0.3740,0.3732,0.0067,0.8667,0.9933,0.9933,1.0000,0.9933,0.9933
national_parks,train,0.7824,88.52,0.5000,0.3811,0.4217,0.4438,0.4514,0.4538,0.4546,0.4557,0.0000,0.7267,0.7800,0.7400,0.6667,0.7467,0.7600
nato_first_letter,train,0.6731,85.19,1.0000,0.2669,0.2908,0.3157,0.3326,0.3444,0.3542,0.3607,0.0000,0.0067,0.0733,0.1067,0.1600,0.2667,0.3800
natural_manmade,heldout,0.7636,108.39,0.7500,0.3426,0.3724,0.3897,0.3958,0.3957,0.3966,0.3943,0.0000,0.1400,0.5133,0.8267,0.8800,0.9533,0.9600
next_in_group,heldout,0.6693,81.55,0.6786,0.3031,0.3529,0.3685,0.3832,0.3907,0.3960,0.4005,0.0000,0.1538,0.2500,0.2308,0.1731,0.2115,0.2692
next_in_period,train,0.6944,81.71,0.9643,0.3092,0.3512,0.3647,0.3761,0.3838,0.3886,0.3929,0.0000,0.3077,0.2308,0.3462,0.4615,0.5000,0.5577
next_item,train,0.8116,78.52,0.9370,0.2608,0.3004,0.3127,0.3196,0.3229,0.3273,0.3286,0.0000,0.4467,0.7467,0.8000,0.8867,0.8667,0.8867
next_month_of_date,train,0.7259,104.53,0.5637,0.2968,0.3473,0.3503,0.3544,0.3554,0.3575,0.3598,0.0000,0.8867,0.9800,0.9800,0.9733,0.9867,0.9733
next_number_digits,train,0.7534,92.94,0.0371,0.2530,0.2951,0.2885,0.2839,0.2791,0.2785,0.2795,0.0000,0.7733,0.9733,1.0000,0.9933,0.9933,0.9933
number_word_to_digits,heldout,0.7804,87.65,-0.1112,0.2962,0.3184,0.3087,0.3080,0.3072,0.3066,0.3084,0.6533,0.9733,0.9867,0.9933,1.0000,0.9933,0.9933
park-country,heldout,0.7830,80.91,0.0360,0.3698,0.4049,0.4279,0.4376,0.4393,0.4398,0.4400,0.0000,0.7867,0.7467,0.7867,0.6400,0.7733,0.7133
past_to_base,heldout,0.8672,92.56,0.6667,0.3538,0.4014,0.4165,0.4182,0.4178,0.4176,0.4175,0.0000,0.7800,0.9400,0.9467,0.9600,0.9600,0.9800
person-instrument,train,0.7507,90.23,0.7143,0.3190,0.3722,0.4019,0.4102,0.4158,0.4182,0.4194,0.0000,0.1867,0.2733,0.3333,0.2600,0.2800,0.3133
person-sport,heldout,0.7565,97.25,0.8571,0.3241,0.3734,0.3921,0.4003,0.4026,0.4067,0.4079,0.0000,0.5800,0.6800,0.6533,0.6067,0.7200,0.7733
person_place_thing,train,0.7933,103.65,0.9643,0.3425,0.3630,0.3799,0.3878,0.3893,0.3900,0.3894,0.0000,0.0733,0.3533,0.5600,0.6933,0.8133,0.8867
plural_to_singular,train,0.8784,81.41,0.5225,0.3419,0.3866,0.4024,0.4054,0.4044,0.4031,0.4024,0.0000,0.6800,0.9400,0.9333,0.9600,0.9800,0.9800
pos_label,train,0.7573,94.39,0.6071,0.3068,0.3368,0.3557,0.3643,0.3668,0.3684,0.3666,0.0000,0.7333,0.8933,0.8600,0.8667,0.8800,0.8533
present-past,train,0.8255,89.31,0.8829,0.3494,0.4008,0.4187,0.4234,0.4239,0.4244,0.4251,0.0000,0.7600,0.9400,0.9733,0.9467,0.9867,0.9733
prev_item,train,0.8196,78.27,1.0000,0.2678,0.3066,0.3186,0.3266,0.3309,0.3346,0.3381,0.0000,0.2333,0.4533,0.6600,0.7200,0.7467,0.8000
prev_number_digits,train,0.7814,94.46,-0.0909,0.2802,0.3206,0.3115,0.3071,0.3005,0.2975,0.2973,0.0000,0.5733,0.9933,0.9867,1.0000,0.9933,1.0000
product-company,heldout,0.7880,76.05,0.9092,0.3352,0.3789,0.3988,0.4061,0.4085,0.4117,0.4136,0.0000,0.4867,0.5933,0.6200,0.5933,0.6200,0.6400
remove_first_letter,train,0.7796,83.75,0.9643,0.3241,0.3724,0.4010,0.4143,0.4223,0.4270,0.4297,0.0000,0.0867,0.3267,0.4000,0.4667,0.5733,0.5667
remove_last_letter,train,0.7796,92.34,0.9643,0.3269,0.3813,0.4105,0.4249,0.4322,0.4361,0.4387,0.0000,0.2267,0.3200,0.3933,0.4733,0.4600,0.4933
round_up_to_ten,train,0.7494,87.17,-0.1429,0.2733,0.3171,0.3084,0.3040,0.2995,0.2990,0.2998,0.0000,0.4467,0.5267,0.6467,0.7133,0.7533,0.7867
second_digit,train,0.8061,94.24,-0.2143,0.3121,0.3392,0.3209,0.3187,0.3154,0.3138,0.3143,0.0000,0.0867,0.1933,0.3600,0.4067,0.4600,0.5200
sentiment,train,0.7118,114.86,0.8469,0.3319,0.3553,0.3659,0.3670,0.3652,0.3637,0.3628,0.0000,0.9267,0.9533,0.9600,0.9467,0.9600,0.9400
singular-plural,heldout,0.8026,85.32,0.7207,0.3366,0.3946,0.4063,0.4078,0.4078,0.4082,0.4075,0.0000,0.7733,0.9000,0.9200,0.9533,0.9533,0.9733
singular_or_plural,train,0.7620,109.33,0.6786,0.3144,0.3386,0.3554,0.3618,0.3612,0.3606,0.3597,0.0000,0.4467,0.8600,0.9133,0.9067,0.9467,0.9600
smaller_of_pair,train,0.8090,94.04,-0.0180,0.2983,0.3357,0.3199,0.3122,0.3079,0.3085,0.3082,0.0000,0.4667,0.5133,0.5467,0.5667,0.4867,0.5133
spanish-english,train,0.9024,83.36,0.8154,0.3781,0.4159,0.4264,0.4321,0.4339,0.4354,0.4348,0.0000,0.7733,0.8400,0.8333,0.8400,0.8400,0.8867
spanish_noun_gender,train,0.6898,99.86,0.9009,0.2555,0.3032,0.3236,0.3301,0.3314,0.3331,0.3330,0.0000,0.8467,0.9533,0.9333,0.9533,0.9667,0.9867
starts_with_vowel,heldout,0.7155,98.33,0.9643,0.2759,0.3112,0.3395,0.3535,0.3594,0.3621,0.3633,0.0000,0.0267,0.4133,0.5000,0.5667,0.5467,0.6467
strip_prefix,train,0.8735,88.87,1.0000,0.3860,0.4234,0.4427,0.4516,0.4558,0.4573,0.4573,0.0200,0.4067,0.5933,0.6600,0.7533,0.8000,0.8533
synonym,train,0.8665,77.56,0.7857,0.3881,0.4308,0.4462,0.4543,0.4585,0.4606,0.4612,0.0333,0.3467,0.3800,0.3400,0.4267,0.3933,0.4200
third_person_to_base,train,0.8888,89.90,0.8154,0.3597,0.4044,0.4169,0.4180,0.4170,0.4164,0.4157,0.0000,0.8000,0.9667,0.9867,0.9800,0.9800,0.9800
times_five,train,0.7040,99.68,-0.1786,0.2761,0.3002,0.2896,0.2868,0.2851,0.2827,0.2851,0.0000,0.4333,0.7933,0.8133,0.8067,0.8200,0.9667
titlecase_phrase,train,0.8263,81.85,0.8571,0.4046,0.4237,0.4376,0.4427,0.4448,0.4443,0.4436,0.0000,0.2067,0.5400,0.8533,0.8800,0.8867,0.9333
uppercase_word,train,0.7655,81.34,0.7207,0.2919,0.3322,0.3502,0.3564,0.3606,0.3638,0.3653,0.0000,0.7067,0.9600,0.9867,0.9933,0.9867,0.9800
us-city-state,train,0.8022,86.75,0.6126,0.3359,0.3751,0.3938,0.4020,0.4048,0.4072,0.4084,0.0133,0.7600,0.8533,0.8200,0.7467,0.8200,0.8733
verb_to_third_person,heldout,0.8049,85.88,0.9643,0.3303,0.3854,0.4039,0.4097,0.4111,0.4118,0.4129,0.0000,0.5867,0.7933,0.8333,0.8867,0.9333,0.9200
word_polarity,train,0.7494,119.87,0.8929,0.3473,0.3629,0.3745,0.3808,0.3815,0.3823,0.3810,0.0000,0.4400,0.8400,0.8600,0.9533,0.9667,0.9867
