variant,n_shots,spearman_rho,spearman_p,pearson_r,pearson_p
L20,1,0.4989,2.301e-07,0.5072,1.335e-07
L20,2,0.0952,3.561e-01,0.1644,1.095e-01
L20,3,-0.0870,3.993e-01,-0.0051,9.603e-01
L20,4,-0.2067,4.337e-02,-0.1329,1.969e-01
L20,5,-0.2145,3.582e-02,-0.1433,1.636e-01
L20,6,-0.2651,9.043e-03,-0.1961,5.551e-02
L20,pooled,0.3828,7.049e-25,0.5273,2.362e-49
L21,0,0.2295,2.452e-02,0.0177,8.642e-01
L21,1,0.5466,8.381e-09,0.5541,4.727e-09
L21,2,0.1508,1.426e-01,0.2049,4.521e-02
L21,3,-0.0453,6.614e-01,0.0221,8.308e-01
L21,4,-0.1688,1.001e-01,-0.1206,2.420e-01
L21,5,-0.1925,6.025e-02,-0.1510,1.419e-01
L21,6,-0.2415,1.779e-02,-0.1982,5.289e-02
L21,pooled,0.3898,8.135e-26,0.5212,4.407e-48
L22,0,0.2644,9.247e-03,-0.0144,8.890e-01
L22,1,0.5668,1.749e-09,0.5964,1.443e-10
L22,2,0.2596,1.066e-02,0.3052,2.494e-03
L22,3,0.1120,2.772e-01,0.1610,1.172e-01
L22,4,0.0177,8.639e-01,0.0379,7.138e-01
L22,5,0.0123,9.057e-01,0.0164,8.739e-01
L22,6,-0.0397,7.011e-01,-0.0193,8.518e-01
L22,pooled,0.4825,1.796e-40,0.5942,2.257e-65
L23,0,0.2430,1.705e-02,-0.0788,4.453e-01
L23,1,0.5723,1.118e-09,0.5985,1.192e-10
L23,2,0.2910,4.020e-03,0.3535,4.112e-04
L23,3,0.1974,5.387e-02,0.2782,6.068e-03
L23,4,0.1281,2.136e-01,0.2107,3.936e-02
L23,5,0.1359,1.868e-01,0.1978,5.334e-02
L23,6,0.1071,2.989e-01,0.1902,6.341e-02
L23,pooled,0.4885,1.349e-41,0.5740,3.862e-60
L24,0,0.2465,1.550e-02,-0.1098,2.870e-01
L24,1,0.4799,7.496e-07,0.5112,1.024e-07
L24,2,0.2807,5.605e-03,0.3530,4.186e-04
L24,3,0.2182,3.267e-02,0.3221,1.372e-03
L24,4,0.1871,6.796e-02,0.2901,4.140e-03
L24,5,0.2056,4.443e-02,0.2793,5.861e-03
L24,6,0.1676,1.025e-01,0.2701,7.771e-03
L24,pooled,0.4447,6.085e-34,0.4932,1.770e-42
L25,0,0.2492,1.433e-02,-0.0479,6.427e-01
L25,1,0.4433,6.103e-06,0.4332,1.043e-05
L25,2,0.2987,3.113e-03,0.3545,3.943e-04
L25,3,0.2620,9.931e-03,0.3457,5.617e-04
L25,4,0.2466,1.542e-02,0.3420,6.476e-04
L25,5,0.2734,7.044e-03,0.3315,9.693e-04
L25,6,0.2366,2.027e-02,0.3277,1.117e-03
L25,pooled,0.4548,1.292e-35,0.4621,7.369e-37
L26,0,0.2365,2.034e-02,-0.0576,5.770e-01
L26,1,0.4062,4.025e-05,0.3898,8.644e-05
L26,2,0.2639,9.370e-03,0.3277,1.119e-03
L26,3,0.2278,2.562e-02,0.3332,9.080e-04
L26,4,0.2054,4.468e-02,0.3150,1.770e-03
L26,5,0.2397,1.868e-02,0.3161,1.705e-03
L26,6,0.2127,3.749e-02,0.3127,1.925e-03
L26,pooled,0.3310,1.207e-18,0.3257,4.571e-18
L27,0,0.2778,6.143e-03,0.1430,1.646e-01
L27,1,0.2034,4.689e-02,0.2863,4.686e-03
L27,2,0.1499,1.449e-01,0.1611,1.169e-01
L27,3,0.0473,6.472e-01,0.0682,5.093e-01
L27,4,0.0236,8.195e-01,0.0379,7.140e-01
L27,5,-0.0062,9.520e-01,0.0024,9.812e-01
L27,6,0.0087,9.333e-01,0.0165,8.732e-01
L27,pooled,0.2530,2.823e-11,0.2997,2.044e-15
maxL9-20,0,0.1469,1.534e-01,0.0045,9.656e-01
maxL9-20,1,0.3940,7.143e-05,0.4134,2.834e-05
maxL9-20,2,0.0453,6.612e-01,0.1008,3.283e-01
maxL9-20,3,-0.1137,2.699e-01,-0.0418,6.857e-01
maxL9-20,4,-0.2212,3.033e-02,-0.1592,1.213e-01
maxL9-20,5,-0.2172,3.350e-02,-0.1580,1.242e-01
maxL9-20,6,-0.2707,7.633e-03,-0.2101,3.994e-02
maxL9-20,pooled,0.3418,7.504e-20,0.4827,1.647e-40
meanL9-20,0,0.0689,5.050e-01,-0.0539,6.017e-01
meanL9-20,1,0.2060,4.407e-02,0.2026,4.778e-02
meanL9-20,2,-0.0540,6.013e-01,-0.0236,8.195e-01
meanL9-20,3,-0.1236,2.304e-01,-0.0884,3.917e-01
meanL9-20,4,-0.1956,5.614e-02,-0.1634,1.117e-01
meanL9-20,5,-0.1844,7.202e-02,-0.1467,1.537e-01
meanL9-20,6,-0.2433,1.691e-02,-0.1945,5.764e-02
meanL9-20,pooled,0.1977,2.391e-07,0.2867,3.489e-14
