icl_example_index,token_role,layer,k_act,k_fv,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,pca_train_mse,pca_test_mse,fv_recon_floor_test_mse,train_mean_squared_l2,test_mean_squared_l2
4,first_label_token,14,16,16,16,16,316.22776601683796,60.27437210083008,False,3400,1190,0.04899039233432097,0.21949360150249064,10.547240187701057,10.620624035747111,0.1780068725347519,200.664646283318,899.0457983193278
4,first_label_token,15,16,16,16,16,316.22776601683796,60.10369873046875,False,3400,1190,0.05079629337086397,0.221711328650723,11.009548160328585,11.188354184447217,0.1780068725347519,208.06162109375,908.1295857405462
4,first_label_token,16,16,16,16,16,316.22776601683796,61.49819564819336,False,3400,1190,0.04878335391773897,0.2211244006116851,10.49423900828642,11.038101427094276,0.1780068725347519,199.81660989200367,905.7255449054621
4,first_label_token,17,16,16,16,16,316.22776601683796,59.813392639160156,False,3400,1190,0.04790391136618222,0.22407178317799287,10.269102190803078,11.79263577501313,0.1780068725347519,196.214423828125,917.798033744748
4,first_label_token,18,16,16,16,16,316.22776601683796,60.89201354980469,False,3400,1190,0.04968163381604587,0.22484366873733136,10.72419729793773,11.990237349822742,0.1780068725347519,203.49597239774818,920.9596934086135
4,first_label_token,19,16,16,16,16,316.22776601683796,61.491607666015625,False,3400,1190,0.05122303531450384,0.22757408719102876,11.11879539938534,12.689227859112394,0.1780068725347519,209.80955307904412,932.1434545693278
4,first_label_token,20,16,16,16,16,316.22776601683796,60.014408111572266,False,3400,1190,0.049789046364672046,0.2301982014119124,10.751695152731502,13.361008075105042,0.1780068725347519,203.93593146829045,942.8918428308823
4,first_label_token,21,16,16,16,16,316.22776601683796,60.04533004760742,False,3400,1190,0.04729141238857718,0.228862755238509,10.112301294663373,13.019132213432249,0.1780068725347519,193.70562399471507,937.4218159138655
4,first_label_token,22,16,16,16,16,316.22776601683796,62.072113037109375,False,3400,1190,0.049646460939856134,0.23102646515149028,10.71519381354837,13.573048157251181,0.1780068725347519,203.35189697265625,946.2843848476891
4,first_label_token,23,16,16,16,16,316.22776601683796,60.65439987182617,False,3400,1190,0.04988245652002447,0.23119855768540326,10.775610647762523,13.617104102383141,0.1780068725347519,204.31854319852943,946.9892857142858
4,first_label_token,24,16,16,16,16,316.22776601683796,61.60723876953125,False,3400,1190,0.0505759633288664,0.2332110028306977,10.95314858829274,14.132291495699842,0.1780068725347519,207.15914651309743,955.2322511817227
4,first_label_token,25,16,16,16,16,316.22776601683796,62.77799987792969,False,3400,1190,0.04970389005015878,0.23269185699334666,10.72989626716165,13.999395803243173,0.1780068725347519,203.587136517693,953.1058232668067
4,first_label_token,26,16,16,16,16,316.22776601683796,62.702327728271484,False,3400,1190,0.04977692036067738,0.23391081866096047,10.748593103745405,14.31144814371061,0.1780068725347519,203.8862699620864,958.098700105042
4,first_label_token,27,16,16,16,16,316.22776601683796,64.1481704711914,False,3400,1190,0.05381345678778256,0.23714603055425051,11.781945495605468,15.13966459386489,0.1780068725347519,220.4199169921875,971.3501575630252
4,first_label_token,28,16,16,16,16,316.22776601683796,62.17770767211914,False,3400,1190,0.05510823035941404,0.23864981627263943,12.113410473991843,15.524627941997112,0.1780068725347519,225.72330867991727,977.5096408876051
4,last_label_token,0,16,16,16,16,3162.2776601683795,79.57752990722656,False,3400,1190,0.19270197559805477,0.3010363715035575,47.33740808823529,31.49560095522584,0.1780068725347519,789.3073092830882,1233.0449711134454
4,last_label_token,1,16,16,16,16,1000.0,74.80948638916016,False,3400,1190,0.12775604374268476,0.2733978207371816,30.711244040096506,24.420127035189076,0.1780068725347519,523.2887517233456,1119.8374606092436
4,last_label_token,2,16,16,16,16,1000.0,69.89910125732422,False,3400,1190,0.11084951695273904,0.2683119060612526,26.383174689797794,23.118131852350317,0.1780068725347519,454.0396266084559,1099.0055672268907
4,last_label_token,3,16,16,16,16,1000.0,67.92913818359375,False,3400,1190,0.10290758217082305,0.26068998705439206,24.350039403578815,21.16692304851628,0.1780068725347519,421.50945542279413,1067.7861804096638
4,last_label_token,4,16,16,16,16,1000.0,65.50308227539062,False,3400,1190,0.08891227946561926,0.24850139297357127,20.767239846622243,18.04663424451812,0.1780068725347519,364.1846989889706,1017.8617384453781
4,last_label_token,5,16,16,16,16,1000.0,65.02488708496094,False,3400,1190,0.07697790286120247,0.24137445337632124,17.712040907915902,16.22212457737001,0.1780068725347519,315.30149126838234,988.6697577468487
4,last_label_token,6,16,16,16,16,316.22776601683796,64.37432098388672,False,3400,1190,0.05559616418445812,0.23756555108463062,12.238317108154297,15.247045077796743,0.1780068725347519,227.72188950482536,973.0685202205882
4,last_label_token,7,16,16,16,16,316.22776601683796,62.43009567260742,False,3400,1190,0.046932936906814576,0.22229749855874967,10.020531328986673,11.338421579569328,0.1780068725347519,192.23730483111214,910.5305606617648
4,last_label_token,8,16,16,16,16,100.0,60.490699768066406,False,3400,1190,0.04343294199775247,0.21876559217436975,9.124533287497128,10.434252006466648,0.1780068725347519,177.9013245346967,896.0639049369748
4,last_label_token,9,16,16,16,16,100.0,59.40771484375,False,3400,1190,0.04042173322509317,0.21654251002463973,8.353662881290212,9.865144104516807,0.1780068725347519,165.567419720818,886.9581210609243
4,last_label_token,10,16,16,16,16,100.0,59.78950500488281,False,3400,1190,0.0395364117972991,0.21621409664634897,8.127019132726332,9.781067510011818,0.1780068725347519,161.94114229090073,885.6129464285714
4,last_label_token,11,16,16,16,16,316.22776601683796,59.08515548706055,False,3400,1190,0.040807059863034414,0.21475695922595112,8.452304750330308,9.40804366424304,0.1780068725347519,167.14571145450367,879.6445082720588
4,last_label_token,12,16,16,16,16,100.0,58.00669860839844,False,3400,1190,0.03762150638243731,0.2151968130544454,7.636803113151999,9.520636140198267,0.1780068725347519,154.09768612132353,881.4461659663865
4,last_label_token,13,16,16,16,16,100.0,58.072479248046875,False,3400,1190,0.036605629430097694,0.2148517600628508,7.376738424862133,9.432304138696495,0.1780068725347519,149.93665771484376,880.032805934874
4,last_label_token,14,16,16,16,16,100.0,56.255863189697266,False,3400,1190,0.03685244966955746,0.2167207773993997,7.439924738266889,9.910772653788078,0.1780068725347519,150.94763513901654,887.688287815126
4,last_label_token,15,16,16,16,16,100.0,57.25394821166992,False,3400,1190,0.03685850946342244,0.2193386246176327,7.441475300508387,10.580941695525867,0.1780068725347519,150.97245318244487,898.4110195640757
4,last_label_token,16,16,16,16,16,100.0,57.89634323120117,False,3400,1190,0.0370605569376665,0.22094459052847212,7.493199943093693,10.992067173549108,0.1780068725347519,151.8000410012638,904.9890034138656
4,last_label_token,17,16,16,16,16,316.22776601683796,58.98427200317383,False,3400,1190,0.039466262459754944,0.22216305532375302,8.109060345818015,11.303998725955227,0.1780068725347519,161.6538111787684,909.9799238445378
4,last_label_token,18,16,16,16,16,316.22776601683796,59.535743713378906,False,3400,1190,0.03987282009685741,0.22147496968758207,8.213139352237476,11.127850649537159,0.1780068725347519,163.31906953699448,907.1614955357143
4,last_label_token,19,16,16,16,16,100.0,59.11599349975586,False,3400,1190,0.03562876119333155,0.22345313865597508,7.126655336267808,11.634267496060925,0.1780068725347519,145.9354057042739,915.2640854779412
4,last_label_token,20,16,16,16,16,316.22776601683796,60.09727096557617,False,3400,1190,0.03728244529050939,0.22441025902243222,7.549999228084789,11.879291848575368,0.1780068725347519,152.70889318129596,919.1844176733193
4,last_label_token,21,16,16,16,16,316.22776601683796,60.309879302978516,False,3400,1190,0.03752363678287057,0.22731228035037257,7.611744375789867,12.622213565602022,0.1780068725347519,153.69681382123161,931.0710806197479
4,last_label_token,22,16,16,16,16,316.22776601683796,60.71363830566406,False,3400,1190,0.03776932583135717,0.22826000502129562,7.674641068402459,12.864833902310924,0.1780068725347519,154.70315630744486,934.952993697479
4,last_label_token,23,16,16,16,16,316.22776601683796,61.80305480957031,False,3400,1190,0.037844289786675395,0.22829972595727743,7.693831652473001,12.875003795463497,0.1780068725347519,155.0102082375919,935.1156906512605
4,last_label_token,24,16,16,16,16,316.22776601683796,61.828426361083984,False,3400,1190,0.03742937038926517,0.23019438992027474,7.587612529081457,13.360035718388918,0.1780068725347519,153.31070226332722,942.8762112657563
4,last_label_token,25,16,16,16,16,316.22776601683796,63.609214782714844,False,3400,1190,0.03786181677790249,0.23194795656604927,7.6983193790211395,13.808949087447479,0.1780068725347519,155.08200022977942,950.0587907037815
4,last_label_token,26,16,16,16,16,316.22776601683796,63.708946228027344,False,3400,1190,0.0369311151785009,0.23224012711468864,7.46005952722886,13.88374567112001,0.1780068725347519,151.26985006893383,951.2555770745798
4,last_label_token,27,16,16,16,16,316.22776601683796,66.3094711303711,False,3400,1190,0.03754670293892131,0.23574401631074793,7.617649823357077,14.780741920791755,0.1780068725347519,153.7912935144761,965.6075039390756
4,last_label_token,28,16,16,16,16,316.22776601683796,65.77936553955078,False,3400,1190,0.03795133878202999,0.2427690666262843,7.721237712186926,16.579168342141543,0.1780068725347519,155.44868436925552,994.3821100315126
